Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Chr	length	TPM_SRR6344892	TPM_SRR6344893	TPM_SRR6344900	Mmean	log_2
chr1	EviAnn	gene	5966276	5982187	.	+	.	LOC_00000029	geneID=LOC_00000029	protein_coding	LRR1:_Leucine-rich_repeat_protein_1_(Homo_sapiens)	chr1	6232	35.4017262683	31.3091305713	28.8459735277	31.8522767891	4.9933245944
chr1	EviAnn	gene	5988509	6015265	.	-	.	LOC_00000030	geneID=LOC_00000030	protein_coding	DNAAF2:_Protein_kintoun_(Homo_sapiens)	chr1	2955	4.4489281057	1.7055706596	2.8880431163	3.0141806272	1.5917658742
chr1	EviAnn	gene	6018721	6052455	.	-	.	LOC_00000031	geneID=LOC_00000031	protein_coding	POLE2:_DNA_polymerase_epsilon_subunit_2_(Gallus_gallus)	chr1	10956	84.4105809928	48.8495701284	58.4463172109	63.9021561107	5.9977927046
chr1	EviAnn	gene	6057054	6087198	.	+	.	LOC_00000032	geneID=LOC_00000032	protein_coding	KLHDC1:_Kelch_domain-containing_protein_1_(Homo_sapiens)	chr1	9921	10.8178529766	5.201048662	8.5466266142	8.1885094176	3.0336008571
chr1	EviAnn	gene	6091846	6120787	.	+	.	LOC_00000033	geneID=LOC_00000033	protein_coding	KLHDC2:_Kelch_domain-containing_protein_2_(Homo_sapiens)	chr1	4031	136.5624573997	120.2074619647	118.3546235944	125.0415143196	6.9662633451
chr1	EviAnn	gene	6121776	6152800	.	-	.	LOC_00000034	geneID=LOC_00000034	protein_coding	Nemf:_Ribosome_quality_control_complex_subunit_NEMF_(Mus_musculus)	chr1	5104	232.2850151721	153.1963157961	200.9701926648	195.483841211	7.6109055484
chr1	EviAnn	gene	6162041	6206735	.	+	.	LOC_00000035	geneID=LOC_00000035	protein_coding	Arf6:_ADP-ribosylation_factor_6_(Rattus_norvegicus)	chr1	25308	18.2284468625	10.6684813788	15.5443965529	14.8137749314	3.8888674182
chr1	EviAnn	gene	6241383	6252536	.	-	.	LOC_00000036	geneID=LOC_00000036	protein_coding	Vcpkmt:_Protein_N-lysine_methyltransferase_METTL21D_(Mus_musculus)	chr1	4695	8.7058403192	12.3193942195	12.8412701396	11.2888348928	3.4968246898
chr1	EviAnn	gene	6241431	6249685	.	-	.	LOC_00000037	geneID=LOC_00000037	protein_coding	function_unknown	chr1	5785	2.3551668279	0.8297256944	1.1896962958	1.4581962727	0.544184919
chr1	EviAnn	gene	6252681	6304380	.	-	.	LOC_00000038	geneID=LOC_00000038	protein_coding	SOS2:_Son_of_sevenless_homolog_2_(Homo_sapiens)	chr1	10919	36.9959362134	20.6390941949	27.6833687788	28.4394663957	4.8298224911
chr1	EviAnn	gene	6307606	6346315	.	-	.	LOC_00000039	geneID=LOC_00000039	protein_coding	L2HGDH:_L-2-hydroxyglutarate_dehydrogenase,_mitochondrial_(Bos_taurus)	chr1	23971	28.7281255252	16.0092216928	18.4900969421	21.07581472	4.3975164969
chr1	EviAnn	gene	6345955	6363333	.	+	.	LOC_00000040	geneID=LOC_00000040	protein_coding	DMAC2L:_ATP_synthase_subunit_s,_mitochondrial_(Bos_taurus)	chr1	7782	27.6133214515	18.3190574808	21.2963280852	22.4095690059	4.4860429972
chr1	EviAnn	gene	6361088	6392338	.	-	.	LOC_00000041	geneID=LOC_00000041	protein_coding	CDKL1:_Cyclin-dependent_kinase-like_1_(Homo_sapiens)	chr1	4431	3.1287900865	2.8706617753	2.73369709	2.9110496506	1.5415394461
chr1	EviAnn	gene	6397940	6509961	.	-	.	LOC_00000042	geneID=LOC_00000042	protein_coding	MAP4K5:_Mitogen-activated_protein_kinase_kinase_kinase_kinase_5_(Homo_sapiens)	chr1	4090	129.9171060841	79.1583163629	108.7720997885	105.9491740785	6.7272285311
chr1	EviAnn	gene	6548633	6593342	.	+	.	LOC_00000043	geneID=LOC_00000043	protein_coding	ATL1:_Atlastin-1_(Macaca_fascicularis)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	6592303	6609296	.	-	.	LOC_00000044	geneID=LOC_00000044	protein_coding	Sav1:_Protein_salvador_homolog_1_(Mus_musculus)	chr1	11042	46.7796757758	42.926676351	43.6055261071	44.4372927446	5.4736990209
chr1	EviAnn	gene	6629968	6784357	.	-	.	LOC_00000045	geneID=LOC_00000045	protein_coding	NIN:_Ninein_(Homo_sapiens)	chr1	18154	15.4709049835	9.2276475517	12.9352898312	12.5446141222	3.6489961884
chr1	EviAnn	gene	6777016	6838777	.	+	.	LOC_00000046	geneID=LOC_00000046	protein_coding	ABHD12B:_Protein_ABHD12B_(Homo_sapiens)	chr1	1467	14.1755305453	44.9894295854	11.2595387671	23.4748329659	4.5530429874
chr1	EviAnn	gene	6839434	6882891	.	-	.	LOC_00000047	geneID=LOC_00000047	protein_coding	PYGL:_Glycogen_phosphorylase,_liver_form_(Bos_taurus)	chr1	3209	62.5690775596	35.2256565886	48.7279434659	48.840892538	5.6100176597999996
chr1	EviAnn	gene	6903486	6986488	.	-	.	LOC_00000048	geneID=LOC_00000048	protein_coding	TRIM9:_E3_ubiquitin-protein_ligase_TRIM9_(Bos_taurus)	chr1	2567	0.9311600065	1.215417235	1.8231504825	1.3232425747	0.4040775584
chr1	EviAnn	gene	7037868	7083729	.	+	.	LOC_00000049	geneID=LOC_00000049	protein_coding	DDHD1:_Phospholipase_DDHD1_(Homo_sapiens)	chr1	9088	8.9951409108	7.262268178	8.5424068932	8.2666053273	3.0472950098
chr1	EviAnn	gene	7038022	7083729	.	+	.	LOC_00000050	geneID=LOC_00000050	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	7116644	7275712	.	+	.	LOC_00000051	geneID=LOC_00000051	protein_coding	FERMT2:_Fermitin_family_homolog_2_(Homo_sapiens)	chr1	6068	57.9845673785	65.7344985326	37.2928615998	53.6706425036	5.7460612539
chr1	EviAnn	gene	7292586	7323311	.	+	.	LOC_00000052	geneID=LOC_00000052	protein_coding	GNPNAT1:_Glucosamine_6-phosphate_N-acetyltransferase_(Pongo_abelii)	chr1	7609	13.4451721821	11.5441353	11.0349842911	12.0080972577	3.5859356619
chr1	EviAnn	gene	7302367	7309702	.	+	.	LOC_00000053	geneID=LOC_00000053	protein_coding	function_unknown	chr1	7108	4.4052855025	2.4648094356	4.5314574527	3.8005174636	1.9261958636
chr1	EviAnn	gene	7321814	7369260	.	-	.	LOC_00000054	geneID=LOC_00000054	protein_coding	STYX:_Serine/threonine/tyrosine-interacting_protein_(Pongo_abelii)	chr1	3479	40.5366416986	27.3179851137	27.5374853561	31.7973707228	4.990835571
chr1	EviAnn	gene	7373311	7395529	.	-	.	LOC_00000055	geneID=LOC_00000055	protein_coding	Psmc6:_26S_proteasome_regulatory_subunit_10B_(Mus_musculus)	chr1	2786	51.3062479034	40.9185659086	65.5136626897	52.5794921672	5.7164283028
chr1	EviAnn	gene	7408192	7443478	.	+	.	LOC_00000056	geneID=LOC_00000056	protein_coding	ERO1A:_ERO1-like_protein_alpha_(Homo_sapiens)	chr1	6374	14.2877255681	14.910459713	12.870744495	14.022976592	3.8097207109
chr1	EviAnn	gene	7440182	7468665	.	-	.	LOC_00000057	geneID=LOC_00000057	protein_coding	GPR137C:_Integral_membrane_protein_GPR137C_(Homo_sapiens)	chr1	8457	26.8508141177	14.1893199183	25.8140603316	22.2847314559	4.4779836706
chr1	EviAnn	gene	7468779	7523387	.	+	.	LOC_00000058	geneID=LOC_00000058	protein_coding	TXNDC16:_Thioredoxin_domain-containing_protein_16_(Homo_sapiens)	chr1	6683	6.9387374074	2.1187926483	3.6662156717	4.2412485758	2.0844890405
chr1	EviAnn	gene	7554499	7571866	.	-	.	LOC_00000059	geneID=LOC_00000059	protein_coding	Ptger2:_Prostaglandin_E2_receptor_EP2_subtype_(Rattus_norvegicus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	7590818	7611183	.	-	.	LOC_00000060	geneID=LOC_00000060	protein_coding	Ptgdr:_Prostaglandin_D2_receptor_(Mus_musculus)	chr1	1197	0.5990696082	0.8019988541	2.2998807256	1.2336497293	0.3029328276
chr1	EviAnn	gene	7681904	7751136	.	+	.	LOC_00000061	geneID=LOC_00000061	protein_coding	NID2:_Nidogen-2_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	7748143	7764308	.	-	.	LOC_00000062	geneID=LOC_00000062	protein_coding	RTRAF:_RNA_transcription,_translation_and_transport_factor_protein_(Mus_musculus)	chr1	4299	35.3622470478	37.2921072205	35.6686944942	36.1076829209	5.1742339384
chr1	EviAnn	gene	7768227	7836515	.	-	.	LOC_00000063	geneID=LOC_00000063	protein_coding	GNG2:_Guanine_nucleotide-binding_protein_G(I)/G(S)/G(O)_subunit_gamma-2_(Pongo_abelii)	chr1	4216	26.8737283498	17.1915188433	16.3897595913	20.1516689281	4.3328274202
chr1	EviAnn	gene	7859502	7939396	.	-	.	LOC_00000064	geneID=LOC_00000064	protein_coding	FRMD6:_FERM_domain-containing_protein_6_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	8047271	8118174	.	-	.	LOC_00000065	geneID=LOC_00000065	protein_coding	MROH2B:_Maestro_heat-like_repeat-containing_protein_family_member_2B_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	8448238	8469635	.	-	.	LOC_00000066	geneID=LOC_00000066	protein_coding	BMP4:_Bone_morphogenetic_protein_4_(Gallus_gallus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	8750719	8767424	.	+	.	LOC_00000067	geneID=LOC_00000067	protein_coding	CDKN3:_Cyclin-dependent_kinase_inhibitor_3_(Homo_sapiens)	chr1	1073	1.7821343797	1.565691612	0.76969913190000006	1.3725083745	0.4568149521
chr1	EviAnn	gene	8766485	8780720	.	-	.	LOC_00000068	geneID=LOC_00000068	protein_coding	Cnih1:_Protein_cornichon_homolog_1_(Mus_musculus)	chr1	6282	31.3530260283	23.6483379884	26.2499423736	27.0837687968	4.7593566036
chr1	EviAnn	gene	8819484	8821867	.	+	.	LOC_00000069	geneID=LOC_00000069	protein_coding	Heat_shock_70_kDa_protein_(Gallus_gallus)	chr1	2384	50.4326649159	55.87205419	38.2226863529	48.1758018196	5.5902367733
chr1	EviAnn	gene	8832563	8923960	.	+	.	LOC_00000070	geneID=LOC_00000070	protein_coding	CGRRF1:_Cell_growth_regulator_with_RING_finger_domain_protein_1_(Homo_sapiens)	chr1	12082	28.3502923919	15.1563146718	22.3071107992	21.9379059543	4.4553539172
chr1	EviAnn	gene	8832599	8851658	.	+	.	LOC_00000071	geneID=LOC_00000071	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	8859194	9040348	.	+	.	LOC_00000072	geneID=LOC_00000072	protein_coding	SAMD4A:_Protein_Smaug_homolog_1_(Homo_sapiens)	chr1	11436	14.1084664421	1.2591718631	16.3694553639	10.579031223	3.4031356133
chr1	EviAnn	gene	9084758	9134060	.	-	.	LOC_00000073	geneID=LOC_00000073	protein_coding	GCH1:_GTP_cyclohydrolase_1_(Homo_sapiens)	chr1	765	6.2491182661	2.1960615682	3.5986369001	4.0146055781	2.0052582546
chr1	EviAnn	gene	9148255	9199371	.	-	.	LOC_00000074	geneID=LOC_00000074	protein_coding	WDHD1:_WD_repeat_and_HMG-box_DNA-binding_protein_1_(Homo_sapiens)	chr1	10737	71.4615221667	43.9896035361	63.176740348	59.5426220169	5.8958508483
chr1	EviAnn	gene	9211165	9212475	.	+	.	LOC_00000075	geneID=LOC_00000075	protein_coding	SOCS4:_Suppressor_of_cytokine_signaling_4_(Bos_taurus)	chr1	1311	20.0558086228	19.2218203625	35.0681813249	24.7819367701	4.631217037
chr1	EviAnn	gene	9238559	9253496	.	+	.	LOC_00000076	geneID=LOC_00000076	protein_coding	Mapk1ip1l:_MAPK-interacting_and_spindle-stabilizing_protein-like_(Mus_musculus)	chr1	11881	156.5426216633	108.4344842436	177.6295775956	147.5355611675	7.2049189255
chr1	EviAnn	gene	9263309	9266912	.	-	.	LOC_00000077	geneID=LOC_00000077	protein_coding	function_unknown	chr1	2697	28.7153587955	16.2846357986	21.8440061888	22.2813335943	4.4777636791
chr1	EviAnn	gene	9264024	9300546	.	+	.	LOC_00000078	geneID=LOC_00000078	protein_coding	Lgals3:_Galectin-3_(Rattus_norvegicus)	chr1	3550	37.8406114948	19.0646423384	40.5576515644	32.4876351325	5.0218188245
chr1	EviAnn	gene	9302288	9331752	.	-	.	LOC_00000079	geneID=LOC_00000079	protein_coding	DLGAP5:_Disks_large-associated_protein_5_(Homo_sapiens)	chr1	6840	19.0104755673	20.1051087744	16.7833795952	18.6329879789	4.2197871378
chr1	EviAnn	gene	9314737	9323022	.	-	.	LOC_00000080	geneID=LOC_00000080	protein_coding	LINE-1_retrotransposable_element_ORF2_protein_(Homo_sapiens)	chr1	5043	3.1282766335	2.9030116167	2.1289972618	2.7200951707	1.4436571294
chr1	EviAnn	gene	9331790	9338874	.	+	.	LOC_00000081	geneID=LOC_00000081	protein_coding	Imp3:_U3_small_nucleolar_ribonucleoprotein_protein_IMP3_(Mus_musculus)	chr1	3869	23.5383723885	16.0660436	19.0693341239	19.5579167041	4.2896807985
chr1	EviAnn	gene	9348097	9430438	.	+	.	LOC_00000083	geneID=LOC_00000083	protein_coding	FBXO34:_F-box_only_protein_34_(Homo_sapiens)	chr1	42868	30.6787420167	25.1318402354	25.096941423	26.9691745583	4.7532394608
chr1	EviAnn	gene	9348212	9427137	.	+	.	LOC_00000084	geneID=LOC_00000084	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	9373606	9421494	.	+	.	LOC_00000082	geneID=LOC_00000082	protein_coding	function_unknown	chr1	13582	9.609020058	9.0471989717	7.9455104815	8.8672431704	3.1484856397
chr1	EviAnn	gene	9434502	9447802	.	+	.	LOC_00000085	geneID=LOC_00000085	protein_coding	CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)	chr1	9639	3.050164868	1.7180073493	1.3423486849	2.0368403007	1.0263328697
chr1	EviAnn	gene	9478041	9498091	.	-	.	LOC_00000086	geneID=LOC_00000086	protein_coding	ATG14:_Beclin_1-associated_autophagy-related_key_regulator_(Homo_sapiens)	chr1	13667	31.271196849	24.5318962073	32.9138224297	29.572305162	4.8861748008
chr1	EviAnn	gene	9499964	9511495	.	-	.	LOC_00000087	geneID=LOC_00000087	protein_coding	tbpl2:_TATA_box-binding_protein-like_2_(Xenopus_laevis)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	9516850	9537815	.	-	.	LOC_00000088	geneID=LOC_00000088	protein_coding	ACTR10:_Actin-related_protein_10_(Bos_taurus)	chr1	6037	50.1259611521	39.0389581364	48.200692241	45.7885371765	5.5169145703
chr1	EviAnn	gene	9672369	9838680	.	+	.	LOC_00000089	geneID=LOC_00000089	protein_coding	Slc35f4:_Solute_carrier_family_35_member_F4_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	9844504	9863098	.	+	.	LOC_00000090	geneID=LOC_00000090	protein_coding	CCDC198:_Factor_associated_with_metabolism_and_energy_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	9867851	9908238	.	-	.	XLOC_001634U_lncRNA	geneID=XLOC_001634U_lncRNA	lncRNA	function_unknown	chr1	9522	8.0077902545	5.4441925996	6.3894512446	6.6138113662	2.7254818987
chr1	EviAnn	gene	9870379	9892481	.	-	.	LOC_00000091	geneID=LOC_00000091	protein_coding	NAA30:_N-alpha-acetyltransferase_30_(Homo_sapiens)	chr1	6074	21.7227334655	18.2547165919	21.0754875087	20.3509791887	4.3470263064
chr1	EviAnn	gene	9963297	9978964	.	-	.	LOC_00000092	geneID=LOC_00000092	protein_coding	AP5M1:_AP-5_complex_subunit_mu-1_(Homo_sapiens)	chr1	2806	77.0923165281	62.6937452432	65.4391472362	68.4084030025	6.0961016455
chr1	EviAnn	gene	9978474	10013989	.	+	.	LOC_00000093	geneID=LOC_00000093	protein_coding	EXOC5:_Exocyst_complex_component_5_(Homo_sapiens)	chr1	4195	85.9250037437	78.8933155274	81.6371583391	82.1518258701	6.3602207351
chr1	EviAnn	gene	10493483	10507227	.	+	.	LOC_00000094	geneID=LOC_00000094	protein_coding	Otx2:_Homeobox_protein_OTX2_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	10608907	10756671	.	-	.	LOC_00000095	geneID=LOC_00000095	protein_coding	Tmem260:_Protein_O-mannosyl-transferase_TMEM260_(Mus_musculus)	chr1	10245	44.2127404703	25.7684697713	44.6599796375	38.2137299597	5.2560191778
chr1	EviAnn	gene	10852434	10989612	.	-	.	LOC_00000096	geneID=LOC_00000096	protein_coding	PELI2:_E3_ubiquitin-protein_ligase_pellino_homolog_2_(Homo_sapiens)	chr1	19064	73.1605588757	51.9928865302	55.4952508883	60.2162320981	5.9120805322
chr1	EviAnn	gene	11162119	11302291	.	-	.	LOC_00000097	geneID=LOC_00000097	protein_coding	KTN1:_Kinectin_(Gallus_gallus)	chr1	5151	2.7842606136	1.8637014723	2.6188100213	2.4222573691	1.276352162
chr1	EviAnn	gene	11162170	11301873	.	-	.	LOC_00000098	geneID=LOC_00000098	protein_coding	function_unknown	chr1	11127	12.0728112525	6.0608863255	8.9563271029	9.030008227	3.1747273021
chr1	EviAnn	gene	11327463	11363330	.	+	.	LOC_00000099	geneID=LOC_00000099	protein_coding	Psma3:_Proteasome_subunit_alpha_type-3_(Mus_musculus)	chr1	16848	49.9253474934	65.5977868847	82.7782604456	66.1004649413	6.0465885144
chr1	EviAnn	gene	11363606	11443684	.	+	.	LOC_00000100	geneID=LOC_00000100	protein_coding	ARID4A:_AT-rich_interactive_domain-containing_protein_4A_(Homo_sapiens)	chr1	20712	89.2087881674	77.9368291153	73.8348658007	80.3268276945	6.3278099969
chr1	EviAnn	gene	11446637	11450730	.	+	.	LOC_00000101	geneID=LOC_00000101	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	11448142	11454964	.	+	.	LOC_00000102	geneID=LOC_00000102	protein_coding	TOMM20L:_TOMM20-like_protein_1_(Homo_sapiens)	chr1	849	3.6600401152	1.4134167085	4.5396232273	3.204360017	1.6800362469
chr1	EviAnn	gene	11451761	11464310	.	-	.	LOC_00000103	geneID=LOC_00000103	protein_coding	Timm9:_Mitochondrial_import_inner_membrane_translocase_subunit_Tim9_(Rattus_norvegicus)	chr1	5935	14.3779734124	11.2416996922	11.4571261239	12.3589330762	3.6274822983
chr1	EviAnn	gene	11464308	11579132	.	+	.	LOC_00000104	geneID=LOC_00000104	protein_coding	TALPID3:_TALPID3_protein_(Gallus_gallus)	chr1	11891	55.8222945506	22.9886385446	43.5713186792	40.7940839248	5.3502880385
chr1	EviAnn	gene	11528419	11545885	.	-	.	LOC_00000105	geneID=LOC_00000105	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	11643092	11645830	.	+	.	LOC_00000106	geneID=LOC_00000106	protein_coding	DACT1:_Dapper_homolog_1_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	12027608	12045169	.	-	.	LOC_00000107	geneID=LOC_00000107	protein_coding	KCNK16:_Potassium_channel_subfamily_K_member_16_(Homo_sapiens)	chr1	1101	4.7762334431	0.6539459321	15.7526162942	7.0609318898	2.8198586005
chr1	EviAnn	gene	12177619	12177723	.	-	.	LOC_00000108	geneID=LOC_00000108	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	12219145	12363161	.	+	.	LOC_00000109	geneID=LOC_00000109	protein_coding	DAAM2:_Disheveled-associated_activator_of_morphogenesis_2_(Homo_sapiens)	chr1	3231	7.3240014219	11.6619345912	22.4087821452	13.7982393861	3.7864122901
chr1	EviAnn	gene	12390349	12423022	.	+	.	LOC_00000112	geneID=LOC_00000112	protein_coding	JKAMP:_JNK1/MAPK8-associated_membrane_protein_(Homo_sapiens)	chr1	22365	27.9908946238	18.983086962	24.5815139076	23.8518318311	4.576028165
