Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Chr	length	TPM_SRR6344890	TPM_SRR6344891	TPM_SRR6344901	Fmean	log_2
chr1	EviAnn	gene	6903486	6986488	.	-	.	LOC_00000048	geneID=LOC_00000048	protein_coding	TRIM9:_E3_ubiquitin-protein_ligase_TRIM9_(Bos_taurus)	chr1	2567	2.3089014443	0.1370137902	2.6599438093	1.7019530146	0.7671912095
chr1	EviAnn	gene	7037868	7083729	.	+	.	LOC_00000049	geneID=LOC_00000049	protein_coding	DDHD1:_Phospholipase_DDHD1_(Homo_sapiens)	chr1	9088	5.3105531695	4.6634666755	10.6819349598	6.8853182683	2.7835233433
chr1	EviAnn	gene	7038022	7083729	.	+	.	LOC_00000050	geneID=LOC_00000050	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	7116644	7275712	.	+	.	LOC_00000051	geneID=LOC_00000051	protein_coding	FERMT2:_Fermitin_family_homolog_2_(Homo_sapiens)	chr1	6068	37.5353035132	40.77638103	49.9028207396	42.7381684276	5.4174531766
chr1	EviAnn	gene	7292586	7323311	.	+	.	LOC_00000052	geneID=LOC_00000052	protein_coding	GNPNAT1:_Glucosamine_6-phosphate_N-acetyltransferase_(Pongo_abelii)	chr1	7609	14.4289253511	11.6020915087	15.8014861246	13.9441676615	3.8015899162
chr1	EviAnn	gene	7302367	7309702	.	+	.	LOC_00000053	geneID=LOC_00000053	protein_coding	function_unknown	chr1	7108	4.0897972156	2.9688891353	4.1348358255	3.7311740588	1.8996296633
chr1	EviAnn	gene	7321814	7369260	.	-	.	LOC_00000054	geneID=LOC_00000054	protein_coding	STYX:_Serine/threonine/tyrosine-interacting_protein_(Pongo_abelii)	chr1	3479	36.3442368959	30.6322112867	49.2370335387	38.7378272405	5.275671132
chr1	EviAnn	gene	7373311	7395529	.	-	.	LOC_00000055	geneID=LOC_00000055	protein_coding	Psmc6:_26S_proteasome_regulatory_subunit_10B_(Mus_musculus)	chr1	2786	46.2963824812	53.7166105573	64.1484067329	54.7204665905	5.7740086267
chr1	EviAnn	gene	7408192	7443478	.	+	.	LOC_00000056	geneID=LOC_00000056	protein_coding	ERO1A:_ERO1-like_protein_alpha_(Homo_sapiens)	chr1	6374	14.9220953617	8.7735471493	32.4631915233	18.7196113448	4.226478577
chr1	EviAnn	gene	7440182	7468665	.	-	.	LOC_00000057	geneID=LOC_00000057	protein_coding	GPR137C:_Integral_membrane_protein_GPR137C_(Homo_sapiens)	chr1	8457	17.0536183261	15.200616417	25.0992188994	19.1178178808	4.2568459575
chr1	EviAnn	gene	7468779	7523387	.	+	.	LOC_00000058	geneID=LOC_00000058	protein_coding	TXNDC16:_Thioredoxin_domain-containing_protein_16_(Homo_sapiens)	chr1	6683	4.3498845741	4.6312834298	4.2200989991	4.4004223343	2.1376419943
chr1	EviAnn	gene	7554499	7571866	.	-	.	LOC_00000059	geneID=LOC_00000059	protein_coding	Ptger2:_Prostaglandin_E2_receptor_EP2_subtype_(Rattus_norvegicus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	7590818	7611183	.	-	.	LOC_00000060	geneID=LOC_00000060	protein_coding	Ptgdr:_Prostaglandin_D2_receptor_(Mus_musculus)	chr1	1197	1.8862871488	0.1469149539	2.4801408443	1.504447649	0.5892339054
chr1	EviAnn	gene	7681904	7751136	.	+	.	LOC_00000061	geneID=LOC_00000061	protein_coding	NID2:_Nidogen-2_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	7748143	7764308	.	-	.	LOC_00000062	geneID=LOC_00000062	protein_coding	RTRAF:_RNA_transcription,_translation_and_transport_factor_protein_(Mus_musculus)	chr1	4299	31.2501047153	42.7882370248	36.6688737298	36.9024051566	5.2056429435
chr1	EviAnn	gene	7768227	7836515	.	-	.	LOC_00000063	geneID=LOC_00000063	protein_coding	GNG2:_Guanine_nucleotide-binding_protein_G(I)/G(S)/G(O)_subunit_gamma-2_(Pongo_abelii)	chr1	4216	20.5517942116	13.2226594711	28.0958896507	20.6234477778	4.366213634
chr1	EviAnn	gene	7859502	7939396	.	-	.	LOC_00000064	geneID=LOC_00000064	protein_coding	FRMD6:_FERM_domain-containing_protein_6_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	8047271	8118174	.	-	.	LOC_00000065	geneID=LOC_00000065	protein_coding	MROH2B:_Maestro_heat-like_repeat-containing_protein_family_member_2B_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	8448238	8469635	.	-	.	LOC_00000066	geneID=LOC_00000066	protein_coding	BMP4:_Bone_morphogenetic_protein_4_(Gallus_gallus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	8750719	8767424	.	+	.	LOC_00000067	geneID=LOC_00000067	protein_coding	CDKN3:_Cyclin-dependent_kinase_inhibitor_3_(Homo_sapiens)	chr1	1073	1.5782053009	0.6555720402	1.660053266	1.2979435357	0.3762276233
chr1	EviAnn	gene	8766485	8780720	.	-	.	LOC_00000068	geneID=LOC_00000068	protein_coding	Cnih1:_Protein_cornichon_homolog_1_(Mus_musculus)	chr1	6282	26.1479124361	27.4899347634	33.6474810021	29.0951094005	4.8627047657
chr1	EviAnn	gene	8819484	8821867	.	+	.	LOC_00000069	geneID=LOC_00000069	protein_coding	Heat_shock_70_kDa_protein_(Gallus_gallus)	chr1	2384	51.7353218539	48.8328298046	65.2522559357	55.2734691981	5.78851526
chr1	EviAnn	gene	8832563	8923960	.	+	.	LOC_00000070	geneID=LOC_00000070	protein_coding	CGRRF1:_Cell_growth_regulator_with_RING_finger_domain_protein_1_(Homo_sapiens)	chr1	12082	23.0096158687	16.738601204	18.3549102568	19.3677091098	4.2755814112
chr1	EviAnn	gene	8832599	8851658	.	+	.	LOC_00000071	geneID=LOC_00000071	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	8859194	9040348	.	+	.	LOC_00000072	geneID=LOC_00000072	protein_coding	SAMD4A:_Protein_Smaug_homolog_1_(Homo_sapiens)	chr1	11436	2.7147541633	12.9632405924	2.2065576268	5.9615174608	2.5756796049
chr1	EviAnn	gene	9084758	9134060	.	-	.	LOC_00000073	geneID=LOC_00000073	protein_coding	GCH1:_GTP_cyclohydrolase_1_(Homo_sapiens)	chr1	765	5.1650980458	3.2183016953	5.8210364523	4.7348120645	2.243307163
chr1	EviAnn	gene	9148255	9199371	.	-	.	LOC_00000074	geneID=LOC_00000074	protein_coding	WDHD1:_WD_repeat_and_HMG-box_DNA-binding_protein_1_(Homo_sapiens)	chr1	10737	68.3705964228	57.5053207066	64.1745278842	63.3501483379	5.9852760924
chr1	EviAnn	gene	9211165	9212475	.	+	.	LOC_00000075	geneID=LOC_00000075	protein_coding	SOCS4:_Suppressor_of_cytokine_signaling_4_(Bos_taurus)	chr1	1311	28.8478915045	15.0236509346	40.9870232578	28.2861885657	4.8220258882
chr1	EviAnn	gene	9238559	9253496	.	+	.	LOC_00000076	geneID=LOC_00000076	protein_coding	Mapk1ip1l:_MAPK-interacting_and_spindle-stabilizing_protein-like_(Mus_musculus)	chr1	11881	128.7057572549	170.0845957974	136.804890446	145.1984144994	7.1818818896
chr1	EviAnn	gene	9263309	9266912	.	-	.	LOC_00000077	geneID=LOC_00000077	protein_coding	function_unknown	chr1	2697	21.0342523706	46.3605743579	21.2445167964	29.5464478416	4.8849127908
chr1	EviAnn	gene	9264024	9300546	.	+	.	LOC_00000078	geneID=LOC_00000078	protein_coding	Lgals3:_Galectin-3_(Rattus_norvegicus)	chr1	3550	30.1316439015	61.3766395851	30.0217905366	40.5100246744	5.3402070586
chr1	EviAnn	gene	9302288	9331752	.	-	.	LOC_00000079	geneID=LOC_00000079	protein_coding	DLGAP5:_Disks_large-associated_protein_5_(Homo_sapiens)	chr1	6840	21.992929226	18.4598639535	22.4390742891	20.9639558228	4.3898390688
chr1	EviAnn	gene	9314737	9323022	.	-	.	LOC_00000080	geneID=LOC_00000080	protein_coding	LINE-1_retrotransposable_element_ORF2_protein_(Homo_sapiens)	chr1	5043	2.7982918367	1.9876780463	2.825678611	2.5372161646	1.3432464387
chr1	EviAnn	gene	9331790	9338874	.	+	.	LOC_00000081	geneID=LOC_00000081	protein_coding	Imp3:_U3_small_nucleolar_ribonucleoprotein_protein_IMP3_(Mus_musculus)	chr1	3869	18.8935254828	25.3172551763	24.860895926	23.023892195	4.525059837
chr1	EviAnn	gene	9348097	9430438	.	+	.	LOC_00000083	geneID=LOC_00000083	protein_coding	FBXO34:_F-box_only_protein_34_(Homo_sapiens)	chr1	42868	25.828373345	11.9130658804	28.0058281717	21.915755799	4.4538965282
chr1	EviAnn	gene	9348212	9427137	.	+	.	LOC_00000084	geneID=LOC_00000084	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	9373606	9421494	.	+	.	LOC_00000082	geneID=LOC_00000082	protein_coding	function_unknown	chr1	13582	8.9354555513	3.6253877145	7.3879418616	6.6495950425	2.7332664838
chr1	EviAnn	gene	9434502	9447802	.	+	.	LOC_00000085	geneID=LOC_00000085	protein_coding	CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)	chr1	9639	1.6397136653	1.1311491219	2.1867385614	1.6525337829	0.7246797652
chr1	EviAnn	gene	9478041	9498091	.	-	.	LOC_00000086	geneID=LOC_00000086	protein_coding	ATG14:_Beclin_1-associated_autophagy-related_key_regulator_(Homo_sapiens)	chr1	13667	25.5245001318	23.1096459211	34.3422836163	27.6588098897	4.7896671761
chr1	EviAnn	gene	9499964	9511495	.	-	.	LOC_00000087	geneID=LOC_00000087	protein_coding	tbpl2:_TATA_box-binding_protein-like_2_(Xenopus_laevis)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	9516850	9537815	.	-	.	LOC_00000088	geneID=LOC_00000088	protein_coding	ACTR10:_Actin-related_protein_10_(Bos_taurus)	chr1	6037	41.187620441	49.491698265	46.6184314055	45.7659167038	5.5162016734
chr1	EviAnn	gene	9672369	9838680	.	+	.	LOC_00000089	geneID=LOC_00000089	protein_coding	Slc35f4:_Solute_carrier_family_35_member_F4_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	9844504	9863098	.	+	.	LOC_00000090	geneID=LOC_00000090	protein_coding	CCDC198:_Factor_associated_with_metabolism_and_energy_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	9867851	9908238	.	-	.	XLOC_001634U_lncRNA	geneID=XLOC_001634U_lncRNA	lncRNA	function_unknown	chr1	9522	6.1651993957	4.6540657787	9.9768236611	6.9320296118	2.7932778173
chr1	EviAnn	gene	9870379	9892481	.	-	.	LOC_00000091	geneID=LOC_00000091	protein_coding	NAA30:_N-alpha-acetyltransferase_30_(Homo_sapiens)	chr1	6074	23.4189661148	17.1688046542	26.3930431175	22.3269379621	4.4807135006
chr1	EviAnn	gene	9963297	9978964	.	-	.	LOC_00000092	geneID=LOC_00000092	protein_coding	AP5M1:_AP-5_complex_subunit_mu-1_(Homo_sapiens)	chr1	2806	72.822044691	78.9038540708	96.488969162	82.7382893079	6.3704832237
chr1	EviAnn	gene	9978474	10013989	.	+	.	LOC_00000093	geneID=LOC_00000093	protein_coding	EXOC5:_Exocyst_complex_component_5_(Homo_sapiens)	chr1	4195	86.0499354066	88.6202909021	85.3465239652	86.6722500913	6.4374982537
chr1	EviAnn	gene	10493483	10507227	.	+	.	LOC_00000094	geneID=LOC_00000094	protein_coding	Otx2:_Homeobox_protein_OTX2_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	10608907	10756671	.	-	.	LOC_00000095	geneID=LOC_00000095	protein_coding	Tmem260:_Protein_O-mannosyl-transferase_TMEM260_(Mus_musculus)	chr1	10245	36.4468375281	22.4520465897	37.1489512272	32.015945115	5.000718694
chr1	EviAnn	gene	10852434	10989612	.	-	.	LOC_00000096	geneID=LOC_00000096	protein_coding	PELI2:_E3_ubiquitin-protein_ligase_pellino_homolog_2_(Homo_sapiens)	chr1	19064	64.3705878764	51.5284472288	67.6310756885	61.1767035979	5.9349104667
chr1	EviAnn	gene	11162119	11302291	.	-	.	LOC_00000097	geneID=LOC_00000097	protein_coding	KTN1:_Kinectin_(Gallus_gallus)	chr1	5151	2.4108661317	1.707019994	1.440850607	1.8529122442	0.8897945555
chr1	EviAnn	gene	11162170	11301873	.	-	.	LOC_00000098	geneID=LOC_00000098	protein_coding	function_unknown	chr1	11127	9.4103936491	5.926705304	9.1513786879	8.1628258803	3.0290686838
chr1	EviAnn	gene	11327463	11363330	.	+	.	LOC_00000099	geneID=LOC_00000099	protein_coding	Psma3:_Proteasome_subunit_alpha_type-3_(Mus_musculus)	chr1	16848	58.8493628649	58.775634613	69.2139476741	62.279648384	5.9606888942
chr1	EviAnn	gene	11363606	11443684	.	+	.	LOC_00000100	geneID=LOC_00000100	protein_coding	ARID4A:_AT-rich_interactive_domain-containing_protein_4A_(Homo_sapiens)	chr1	20712	80.2747486951	55.2737722367	99.6456216797	78.3980475371	6.2927458201
chr1	EviAnn	gene	11446637	11450730	.	+	.	LOC_00000101	geneID=LOC_00000101	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	11448142	11454964	.	+	.	LOC_00000102	geneID=LOC_00000102	protein_coding	TOMM20L:_TOMM20-like_protein_1_(Homo_sapiens)	chr1	849	2.9918980351	2.899883153	0.3496735678	2.0804849186	1.0569198304
chr1	EviAnn	gene	11451761	11464310	.	-	.	LOC_00000103	geneID=LOC_00000103	protein_coding	Timm9:_Mitochondrial_import_inner_membrane_translocase_subunit_Tim9_(Rattus_norvegicus)	chr1	5935	12.364159361	12.4448228993	16.5568519547	13.788611405	3.7854052711
chr1	EviAnn	gene	11464308	11579132	.	+	.	LOC_00000104	geneID=LOC_00000104	protein_coding	TALPID3:_TALPID3_protein_(Gallus_gallus)	chr1	11891	40.6109921586	31.2937376784	41.4937929332	37.79950759	5.2402955356
chr1	EviAnn	gene	11528419	11545885	.	-	.	LOC_00000105	geneID=LOC_00000105	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	11643092	11645830	.	+	.	LOC_00000106	geneID=LOC_00000106	protein_coding	DACT1:_Dapper_homolog_1_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	12027608	12045169	.	-	.	LOC_00000107	geneID=LOC_00000107	protein_coding	KCNK16:_Potassium_channel_subfamily_K_member_16_(Homo_sapiens)	chr1	1101	27.9415920947	4.6320243357	4.0445893606	12.206068597	3.6095266982
chr1	EviAnn	gene	12177619	12177723	.	-	.	LOC_00000108	geneID=LOC_00000108	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	12219145	12363161	.	+	.	LOC_00000109	geneID=LOC_00000109	protein_coding	DAAM2:_Disheveled-associated_activator_of_morphogenesis_2_(Homo_sapiens)	chr1	3231	7.1628995979	5.2250978579	5.8804899351	6.089495797	2.6063227796
chr1	EviAnn	gene	12390349	12423022	.	+	.	LOC_00000112	geneID=LOC_00000112	protein_coding	JKAMP:_JNK1/MAPK8-associated_membrane_protein_(Homo_sapiens)	chr1	22365	23.005397174	23.0623369977	25.1276692248	23.7318011322	4.5687496933
chr1	EviAnn	gene	12391432	12406863	.	-	.	LOC_00000110	geneID=LOC_00000110	protein_coding	L3HYPDH:_Trans-3-hydroxy-L-proline_dehydratase_(Homo_sapiens)	chr1	11127	3.2213476912	4.0933777966	3.8953390333	3.7366881737	1.901760176
