"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","rna_10","rna_16","rna_KI01","Mmean","value"
"chr1","EviAnn","gene",7292586,7323311,".","+",".","LOC_00000052","geneID=LOC_00000052","protein_coding","GNPNAT1:_Glucosamine_6-phosphate_N-acetyltransferase_(Pongo_abelii)",4924.45,186.907,112.942,92.3344,130.7278,7.03042216072715
"chr1","EviAnn","gene",7302367,7309702,".","+",".","LOC_00000053","geneID=LOC_00000053","protein_coding","function_unknown",7108,61.1209,51.7528,69.4963,60.79,5.92576211367192
"chr1","EviAnn","gene",7373311,7395529,".","-",".","LOC_00000055","geneID=LOC_00000055","protein_coding","Psmc6:_26S_proteasome_regulatory_subunit_10B_(Mus_musculus)",2786,2.3189,0.891138,0,1.07001266666667,0.0976278751582174
"chr1","EviAnn","gene",7440182,7468665,".","-",".","LOC_00000057","geneID=LOC_00000057","protein_coding","GPR137C:_Integral_membrane_protein_GPR137C_(Homo_sapiens)",8429.18,55.509,55.3208,43.5778,51.4692,5.68563745339835
"chr1","EviAnn","gene",7468779,7523387,".","+",".","LOC_00000058","geneID=LOC_00000058","protein_coding","TXNDC16:_Thioredoxin_domain-containing_protein_16_(Homo_sapiens)",5965,14.638,15.7112,18.6608,16.3366666666667,4.03004174091388
"chr1","EviAnn","gene",7554499,7571866,".","-",".","LOC_00000059","geneID=LOC_00000059","protein_coding","Ptger2:_Prostaglandin_E2_receptor_EP2_subtype_(Rattus_norvegicus)",1027.5,0,4.79143,10.0677,4.95304333333333,2.30831524292097
"chr1","EviAnn","gene",7590818,7611183,".","-",".","LOC_00000060","geneID=LOC_00000060","protein_coding","Ptgdr:_Prostaglandin_D2_receptor_(Mus_musculus)",1197,3.98562,2.28927,4.76902,3.68130333333333,1.88021663031577
"chr1","EviAnn","gene",7681904,7751136,".","+",".","LOC_00000061","geneID=LOC_00000061","protein_coding","NID2:_Nidogen-2_(Homo_sapiens)",5527,16.9189,14.7546,10.4172,14.0302333333333,3.81046709714836
"chr1","EviAnn","gene",8750719,8767424,".","+",".","LOC_00000067","geneID=LOC_00000067","protein_coding","CDKN3:_Cyclin-dependent_kinase_inhibitor_3_(Homo_sapiens)",959,7.82857,5.98473,9.34342,7.71890666666667,2.94839651351884
"chr1","EviAnn","gene",8819484,8821867,".","+",".","LOC_00000069","geneID=LOC_00000069","protein_coding","Heat_shock_70_kDa_protein_(Gallus_gallus)",2384,0,1.05399,1.0993,0.717763333333333,-0.478419869377982
"chr1","EviAnn","gene",8832563,8923960,".","+",".","LOC_00000070","geneID=LOC_00000070","protein_coding","CGRRF1:_Cell_growth_regulator_with_RING_finger_domain_protein_1_(Homo_sapiens)",5947,0,1.31081,1.36679,0.892533333333333,-0.164022044584076
"chr1","EviAnn","gene",8832599,8851658,".","+",".","LOC_00000071","geneID=LOC_00000071","protein_coding","function_unknown",10332,2.57342,0.913915,3.57773,2.35502166666667,1.23574033297978
"chr1","EviAnn","gene",8859194,9040348,".","+",".","LOC_00000072","geneID=LOC_00000072","protein_coding","SAMD4A:_Protein_Smaug_homolog_1_(Homo_sapiens)",11436,0.535272,1.23637,0.215118,0.662253333333333,-0.594544894727547
"chr1","EviAnn","gene",9148255,9199371,".","-",".","LOC_00000074","geneID=LOC_00000074","protein_coding","WDHD1:_WD_repeat_and_HMG-box_DNA-binding_protein_1_(Homo_sapiens)",8089.91,3.37065,8.74143,4.9316,5.68122666666667,2.50620246403442
"chr1","EviAnn","gene",9238559,9253496,".","+",".","LOC_00000076","geneID=LOC_00000076","protein_coding","Mapk1ip1l:_MAPK-interacting_and_spindle-stabilizing_protein-like_(Mus_musculus)",11881,0.686529,1.58577,0.827741,1.03334666666667,0.0473243300781406
"chr1","EviAnn","gene",9264024,9300546,".","+",".","LOC_00000078","geneID=LOC_00000078","protein_coding","Lgals3:_Galectin-3_(Rattus_norvegicus)",2797.34,291.68,175.052,204.134,223.622,7.80491831771248
"chr1","EviAnn","gene",9302288,9331752,".","-",".","LOC_00000079","geneID=LOC_00000079","protein_coding","DLGAP5:_Disks_large-associated_protein_5_(Homo_sapiens)",4215.49,31.4037,8.46825,12.0993,17.32375,4.11467935294331
"chr1","EviAnn","gene",9314737,9323022,".","-",".","LOC_00000080","geneID=LOC_00000080","protein_coding","LINE-1_retrotransposable_element_ORF2_protein_(Homo_sapiens)",5043,28.7342,15.8132,19.4935,21.3469666666667,4.4159591771049
"chr1","EviAnn","gene",9331790,9338874,".","+",".","LOC_00000081","geneID=LOC_00000081","protein_coding","Imp3:_U3_small_nucleolar_ribonucleoprotein_protein_IMP3_(Mus_musculus)",3176.5,0,0,1.31315,0.437716666666667,-1.1919307772582
"chr1","EviAnn","gene",9348097,9430438,".","+",".","LOC_00000083","geneID=LOC_00000083","protein_coding","FBXO34:_F-box_only_protein_34_(Homo_sapiens)",30361.6,14.6368,5.64837,9.40921,9.89812666666667,3.307155504541
"chr1","EviAnn","gene",9348212,9427137,".","+",".","LOC_00000084","geneID=LOC_00000084","protein_coding","function_unknown",13751,1.07832,0,0,0.35944,-1.47617712791337
"chr1","EviAnn","gene",9373606,9421494,".","+",".","LOC_00000082","geneID=LOC_00000082","protein_coding","function_unknown",13582,1.67008,1.21579,1.15292,1.34626333333333,0.428960633228998
"chr1","EviAnn","gene",9434502,9447802,".","+",".","LOC_00000085","geneID=LOC_00000085","protein_coding","CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)",9639,9.96783,11.2014,9.8883,10.35251,3.37190869116612
"chr1","EviAnn","gene",9478041,9498091,".","-",".","LOC_00000086","geneID=LOC_00000086","protein_coding","ATG14:_Beclin_1-associated_autophagy-related_key_regulator_(Homo_sapiens)",11264.6,13.996,13.5873,6.01013,11.19781,3.48514470118117
"chr1","EviAnn","gene",9672369,9838680,".","+",".","LOC_00000089","geneID=LOC_00000089","protein_coding","Slc35f4:_Solute_carrier_family_35_member_F4_(Mus_musculus)",1605,1.41816,0,0,0.47272,-1.08094219086262
"chr1","EviAnn","gene",9870379,9892481,".","-",".","LOC_00000091","geneID=LOC_00000091","protein_coding","NAA30:_N-alpha-acetyltransferase_30_(Homo_sapiens)",3361.75,0,1.28178,0,0.42726,-1.22681383638191
"chr1","EviAnn","gene",9963297,9978964,".","-",".","LOC_00000092","geneID=LOC_00000092","protein_coding","AP5M1:_AP-5_complex_subunit_mu-1_(Homo_sapiens)",2806,35.2846,38.0266,33.2111,35.5074333333333,5.1500491733228
"chr1","EviAnn","gene",9978474,10013989,".","+",".","LOC_00000093","geneID=LOC_00000093","protein_coding","EXOC5:_Exocyst_complex_component_5_(Homo_sapiens)",3437.43,17.9192,19.3021,17.2957,18.1723333333333,4.18367176885142
"chr1","EviAnn","gene",10608907,10756671,".","-",".","LOC_00000095","geneID=LOC_00000095","protein_coding","Tmem260:_Protein_O-mannosyl-transferase_TMEM260_(Mus_musculus)",5006.33,41.8178,36.2869,40.5193,39.5413333333333,5.30528961443591
"chr1","EviAnn","gene",11162119,11302291,".","-",".","LOC_00000097","geneID=LOC_00000097","protein_coding","KTN1:_Kinectin_(Gallus_gallus)",4995,1.67041,0,0,0.556803333333333,-0.844760246902813
"chr1","EviAnn","gene",11162170,11301873,".","-",".","LOC_00000098","geneID=LOC_00000098","protein_coding","function_unknown",11127,0.591099,0.439861,0,0.343653333333333,-1.54097414175046
"chr1","EviAnn","gene",11327463,11363330,".","+",".","LOC_00000099","geneID=LOC_00000099","protein_coding","Psma3:_Proteasome_subunit_alpha_type-3_(Mus_musculus)",16694.8,556.8,420.38,460.141,479.107,8.90420408191652
"chr1","EviAnn","gene",11363606,11443684,".","+",".","LOC_00000100","geneID=LOC_00000100","protein_coding","ARID4A:_AT-rich_interactive_domain-containing_protein_4A_(Homo_sapiens)",9386.19,16.8101,9.06868,11.7064,12.5283933333333,3.6471295072603
"chr1","EviAnn","gene",11446637,11450730,".","+",".","LOC_00000101","geneID=LOC_00000101","protein_coding","function_unknown",2411,89.7488,33.5825,73.6295,65.6536,6.03680221582656
"chr1","EviAnn","gene",11448142,11454964,".","+",".","LOC_00000102","geneID=LOC_00000102","protein_coding","TOMM20L:_TOMM20-like_protein_1_(Homo_sapiens)",849,33.4904,48.8143,32.6437,38.3161333333333,5.2598800739602
"chr1","EviAnn","gene",11451761,11464310,".","-",".","LOC_00000103","geneID=LOC_00000103","protein_coding","Timm9:_Mitochondrial_import_inner_membrane_translocase_subunit_Tim9_(Rattus_norvegicus)",4089.23,18.0115,3.7224,14.1855,11.9731333333333,3.58172884557449
"chr1","EviAnn","gene",11464308,11579132,".","+",".","LOC_00000104","geneID=LOC_00000104","protein_coding","TALPID3:_TALPID3_protein_(Gallus_gallus)",11891,0.171486,1.45373,0.620276,0.748497333333333,-0.417930918474918
"chr1","EviAnn","gene",11528419,11545885,".","-",".","LOC_00000105","geneID=LOC_00000105","protein_coding","function_unknown",17467,204.5,118.451,157.366,160.105666666667,7.32288056025989
"chr1","EviAnn","gene",12027608,12045169,".","-",".","LOC_00000107","geneID=LOC_00000107","protein_coding","KCNK16:_Potassium_channel_subfamily_K_member_16_(Homo_sapiens)",1030,11.9452,7.85853,23.1594,14.3210433333333,3.84006469621823
"chr1","EviAnn","gene",12390349,12423022,".","+",".","LOC_00000112","geneID=LOC_00000112","protein_coding","JKAMP:_JNK1/MAPK8-associated_membrane_protein_(Homo_sapiens)",17284.6,120.878,70.4959,104.541,98.6383,6.62407603044823
"chr1","EviAnn","gene",12391432,12406863,".","-",".","LOC_00000110","geneID=LOC_00000110","protein_coding","L3HYPDH:_Trans-3-hydroxy-L-proline_dehydratase_(Homo_sapiens)",11127,29.2626,22.4475,30.3136,27.3412333333333,4.7730064177052
"chr1","EviAnn","gene",12391572,12405790,".","-",".","LOC_00000111","geneID=LOC_00000111","protein_coding","function_unknown",7161,11.0822,14.4815,19.4803,15.0146666666667,3.90830054156497
"chr1","EviAnn","gene",12417679,12494736,".","-",".","LOC_00000113","geneID=LOC_00000113","protein_coding","Ccdc175:_Coiled-coil_domain-containing_protein_175_(Mus_musculus)",2435,0,3.09032,5.37211,2.82081,1.49610949425061
"chr1","EviAnn","gene",12713357,12806894,".","+",".","LOC_00000115","geneID=LOC_00000115","protein_coding","LRRC9:_Leucine-rich_repeat-containing_protein_9_(Homo_sapiens)",8957,14.6044,12.4941,15.924,14.3408333333333,3.84205695511519
"chr1","EviAnn","gene",12834541,12861121,".","+",".","LOC_00000116","geneID=LOC_00000116","protein_coding","pcnx4:_Pecanex-like_protein_4_(Xenopus_laevis)",4914.95,58.1809,47.1742,49.1258,51.4936333333333,5.68632216356711
"chr1","EviAnn","gene",12859925,12898824,".","-",".","LOC_00000117","geneID=LOC_00000117","protein_coding","DHRS7:_Dehydrogenase/reductase_SDR_family_member_7_(Homo_sapiens)",2281.92,39.3285,28.0725,34.3243,33.9084333333333,5.08357222415061
"chr1","EviAnn","gene",12899949,12902745,".","-",".","LOC_00000118","geneID=LOC_00000118","protein_coding","function_unknown",835,24.8845,33.7092,19.4768,26.0235,4.70174310356371
"chr1","EviAnn","gene",12936873,12994195,".","+",".","LOC_00000119","geneID=LOC_00000119","protein_coding","PPM1A:_Protein_phosphatase_1A_(Bos_taurus)",17392,2.10567,3.01821,2.60069,2.57485666666667,1.36449212470571
"chr1","EviAnn","gene",13296379,13320019,".","-",".","LOC_00000122","geneID=LOC_00000122","protein_coding","Six4:_Homeobox_protein_SIX4_(Mus_musculus)",2105.33,0,1.04496,0,0.34832,-1.52151478224861
"chr1","EviAnn","gene",13326776,13495427,".","+",".","LOC_00000123","geneID=LOC_00000123","protein_coding","MNAT1:_CDK-activating_kinase_assembly_factor_MAT1_(Homo_sapiens)",3660.17,393.252,358.371,356.269,369.297333333333,8.52863903476974
"chr1","EviAnn","gene",13450115,13506981,".","-",".","LOC_00000125","geneID=LOC_00000125","protein_coding","TRMT5:_tRNA_(guanine(37)-N(1))-methyltransferase_(Bos_taurus)",23347.7,83.0488,52.1885,45.2842,60.1738333333333,5.91106436049397
"chr1","EviAnn","gene",13463918,13506911,".","-",".","LOC_00000124","geneID=LOC_00000124","protein_coding","function_unknown",22403,6.51407,3.94676,26.9109,12.4572433333333,3.63891294420146
"chr1","EviAnn","gene",13506809,13587676,".","+",".","LOC_00000126","geneID=LOC_00000126","protein_coding","Slc38a6:_Solute_carrier_family_38_member_6_(Rattus_norvegicus)",3971,0.568628,3.31144,7.90893,3.929666,1.97440669654983
"chr1","EviAnn","gene",13986936,14054955,".","+",".","LOC_00000128","geneID=LOC_00000128","protein_coding","HIF1A:_Hypoxia-inducible_factor_1-alpha_(Gallus_gallus)",3916,5.38539,3.10649,12.1873,6.89306,2.78514457317551
"chr1","EviAnn","gene",15210685,15236307,".","+",".","LOC_00000135","geneID=LOC_00000135","protein_coding","function_unknown",21305,191.885,149.275,151.457,164.205666666667,7.35936010453255
"chr1","EviAnn","gene",15276402,15316257,".","-",".","LOC_00000137","geneID=LOC_00000137","protein_coding","gag:_Gag_polyprotein_(Fragment)_(Avian_spleen_necrosis_virus)",10589,1.5158,0.489326,0.308951,0.771359,-0.374525630368264
"chr1","EviAnn","gene",15277659,15278873,".","-",".","LOC_00000136","geneID=LOC_00000136","protein_coding","WDR89:_WD_repeat-containing_protein_89_(Bos_taurus)",1215,6.15603,8.55653,0,4.90418666666667,2.2940138929661
"chr1","EviAnn","gene",15336455,15368267,".","-",".","LOC_00000138","geneID=LOC_00000138","protein_coding","SGPP1:_Sphingosine-1-phosphate_phosphatase_1_(Homo_sapiens)",10095,0.607741,1.6376,2.68639,1.64391033333333,0.71713160973537
"chr1","EviAnn","gene",16057270,16072894,".","+",".","LOC_00000143","geneID=LOC_00000143","protein_coding","AKAP5:_A-kinase_anchor_protein_5_(Bos_taurus)",6044,2.39939,0,0.412978,0.937456,-0.0931771164677231
"chr1","EviAnn","gene",16203626,16481870,".","+",".","LOC_00000148","geneID=LOC_00000148","protein_coding","Brf1:_Transcription_factor_IIIB_90_kDa_subunit_(Mus_musculus)",3756.99,51.8211,23.5433,25.5326,33.6323333333333,5.0717769680621
"chr1","EviAnn","gene",16313448,16319468,".","-",".","LOC_00000149","geneID=LOC_00000149","protein_coding","btbd6:_BTB/POZ_domain-containing_protein_6_(Xenopus_laevis)",3432.18,94.6925,76.3944,64.9487,78.6785333333333,6.29789815910715
"chr1","EviAnn","gene",17299768,17303024,".","+",".","LOC_00000150","geneID=LOC_00000150","protein_coding","function_unknown",3257,88.3516,38.4817,49.5961,58.8098,5.87798467908728
"chr1","EviAnn","gene",17304203,17377192,".","+",".","LOC_00000151","geneID=LOC_00000151","protein_coding","NUDT14:_Uridine_diphosphate_glucose_pyrophosphatase_NUDT14_(Homo_sapiens)",2486.09,12.2351,64.1372,57.4586,44.6103,5.47930494501761
"chr1","EviAnn","gene",17464261,17590407,".","+",".","LOC_00000152","geneID=LOC_00000152","protein_coding","JAG2:_Protein_jagged-2_(Homo_sapiens)",6157,0.672556,0,0,0.224185333333333,-2.15723619774046
"chr1","EviAnn","gene",17869494,17892744,".","+",".","LOC_00000153","geneID=LOC_00000153","protein_coding","Gpr132:_Probable_G-protein_coupled_receptor_132_(Mus_musculus)",2310,9.46528,2.18136,5.68763,5.77809,2.53059267561289
"chr1","EviAnn","gene",17899799,17933840,".","+",".","LOC_00000154","geneID=LOC_00000154","protein_coding","CDCA4:_Cell_division_cycle-associated_protein_4_(Homo_sapiens)",7552.73,21.3925,3.10341,10.6557,11.7172033333333,3.55055636271928
"chr1","EviAnn","gene",17944093,17975137,".","+",".","LOC_00000156","geneID=LOC_00000156","protein_coding","Sertad2:_SERTA_domain-containing_protein_2_(Mus_musculus)",5364,17.8397,12.5332,3.27017,11.2143566666667,3.4872749546846
"chr1","EviAnn","gene",17977224,18004084,".","-",".","LOC_00000157","geneID=LOC_00000157","protein_coding","Clba1:_Uncharacterized_protein_CLBA1_(Mus_musculus)",3197,2.66925,7.6957,1.60581,3.99025333333333,1.99648034322495
"chr1","EviAnn","gene",18046807,18081318,".","+",".","LOC_00000158","geneID=LOC_00000158","protein_coding","adss1-a:_Adenylosuccinate_synthetase_isozyme_1_A_(Xenopus_laevis)",2415,0,0,1.79913,0.59971,-0.737663065338417
"chr1","EviAnn","gene",18088563,18094617,".","+",".","LOC_00000159","geneID=LOC_00000159","protein_coding","SIVA1:_Apoptosis_regulatory_protein_Siva_(Homo_sapiens)",1784,7.55336,22.2016,17.3497,15.7015533333333,3.97283538492429
"chr1","EviAnn","gene",18200311,18244104,".","-",".","LOC_00000161","geneID=LOC_00000161","protein_coding","Transposon_TX1_uncharacterized_149_kDa_protein_(Xenopus_laevis)",10293,0.419033,0.235746,0.502702,0.385827,-1.37397398881729
"chr1","EviAnn","gene",18753753,18843929,".","-",".","LOC_00000164","geneID=LOC_00000164","protein_coding","Inf2:_Inverted_formin-2_(Mus_musculus)",4349.6,0,0,1.73163,0.57721,-0.792831800558188
"chr1","EviAnn","gene",19960756,19969081,".","+",".","LOC_00000167","geneID=LOC_00000167","protein_coding","function_unknown",7747,0.796572,4.29204,1.92008,2.33623066666667,1.22418272508567
"chr1","EviAnn","gene",19969339,19982820,".","-",".","LOC_00000168","geneID=LOC_00000168","protein_coding","function_unknown",13482,81.8063,88.9724,196.396,122.391566666667,6.93536034300676
"chr1","EviAnn","gene",20451051,20475390,".","-",".","LOC_00000169","geneID=LOC_00000169","protein_coding","function_unknown",2414,0.902264,0,0,0.300754666666667,-1.73334097170172
"chr1","EviAnn","gene",20738319,20937069,".","-",".","LOC_00000170","geneID=LOC_00000170","protein_coding","KIF26A:_Kinesin-like_protein_KIF26A_(Homo_sapiens)",6936,0,0.391595,0,0.130531666666667,-2.93752825130342
"chr1","EviAnn","gene",21321678,21336822,".","+",".","LOC_00000174","geneID=LOC_00000174","protein_coding","function_unknown",9102,35.8567,22.8223,26.3008,28.3266,4.82408554243793
"chr1","EviAnn","gene",21352280,21448943,".","+",".","LOC_00000175","geneID=LOC_00000175","protein_coding","Ppp1r13b:_Apoptosis-stimulating_of_p53_protein_1_(Mus_musculus)",6429.06,651.212,602.551,573.672,609.145,9.25064187583937
"chr1","EviAnn","gene",21352298,21367115,".","+",".","LOC_00000176","geneID=LOC_00000176","protein_coding","function_unknown",12340,138.762,126.194,109.45,124.802,6.96349724390247
"chr1","EviAnn","gene",21447128,21471875,".","-",".","LOC_00000177","geneID=LOC_00000177","protein_coding","ZFYVE21:_Zinc_finger_FYVE_domain-containing_protein_21_(Homo_sapiens)",2818,76.3554,52.8186,77.1628,68.7789333333333,6.10389483670957
"chr1","EviAnn","gene",21471447,21492278,".","+",".","LOC_00000178","geneID=LOC_00000178","protein_coding","XRCC3:_DNA_repair_protein_XRCC3_(Homo_sapiens)",3007.13,39.1759,46.1729,45.6887,43.6791666666667,5.44887342693872
"chr1","EviAnn","gene",21495756,21552600,".","-",".","LOC_00000179","geneID=LOC_00000179","protein_coding","KLC1:_Kinesin_light_chain_1_(Pongo_abelii)",9859.26,26.1474,4.18896,13.7222,14.6861866666667,3.87638793725747
