"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","rna_30","rna_35","rna_L007","Fmean","value"
"chr1","EviAnn","gene",9314737,9323022,".","-",".","LOC_00000080","geneID=LOC_00000080","protein_coding","LINE-1_retrotransposable_element_ORF2_protein_(Homo_sapiens)",1041,77.5256,37.664,32.7733,49.3209666666667,5.6241291710178
"chr1","EviAnn","gene",9331790,9338874,".","+",".","LOC_00000081","geneID=LOC_00000081","protein_coding","Imp3:_U3_small_nucleolar_ribonucleoprotein_protein_IMP3_(Mus_musculus)",564,0,10.4928,0,3.4976,1.80636530612246
"chr1","EviAnn","gene",9348097,9430438,".","+",".","LOC_00000083","geneID=LOC_00000083","protein_coding","FBXO34:_F-box_only_protein_34_(Homo_sapiens)",1692,9.3548,27.0498,10.3833,15.5959666666667,3.96310107125991
"chr1","EviAnn","gene",9348212,9427137,".","+",".","LOC_00000084","geneID=LOC_00000084","protein_coding","function_unknown",297,0,29.4946,0,9.83153333333333,3.29741643791724
"chr1","EviAnn","gene",9373606,9421494,".","+",".","LOC_00000082","geneID=LOC_00000082","protein_coding","function_unknown",669,56.8598,33.088,40.9629,43.6369,5.44747670998878
"chr1","EviAnn","gene",9434502,9447802,".","+",".","LOC_00000085","geneID=LOC_00000085","protein_coding","CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)",3144,115.419,172.695,158.054,148.722666666667,7.21648073357055
"chr1","EviAnn","gene",9478041,9498091,".","-",".","LOC_00000086","geneID=LOC_00000086","protein_coding","ATG14:_Beclin_1-associated_autophagy-related_key_regulator_(Homo_sapiens)",1140,14.6649,12.332,12.6078,13.2015666666667,3.72263724326745
"chr1","EviAnn","gene",9672369,9838680,".","+",".","LOC_00000089","geneID=LOC_00000089","protein_coding","Slc35f4:_Solute_carrier_family_35_member_F4_(Mus_musculus)",1434,15.0141,0,0,5.0047,2.32328359124227
"chr1","EviAnn","gene",9870379,9892481,".","-",".","LOC_00000091","geneID=LOC_00000091","protein_coding","NAA30:_N-alpha-acetyltransferase_30_(Homo_sapiens)",879,6.68161,23.1853,11.5122,13.7930366666667,3.78586820958175
"chr1","EviAnn","gene",9963297,9978964,".","-",".","LOC_00000092","geneID=LOC_00000092","protein_coding","AP5M1:_AP-5_complex_subunit_mu-1_(Homo_sapiens)",1461,0,3.16617,0,1.05539,0.0777762189272025
"chr1","EviAnn","gene",9978474,10013989,".","+",".","LOC_00000093","geneID=LOC_00000093","protein_coding","EXOC5:_Exocyst_complex_component_5_(Homo_sapiens)",1975.5,0,0,2.63896,0.879653333333333,-0.18499301752154
"chr1","EviAnn","gene",10608907,10756671,".","-",".","LOC_00000095","geneID=LOC_00000095","protein_coding","Tmem260:_Protein_O-mannosyl-transferase_TMEM260_(Mus_musculus)",1281,0,64.9584,9.19077,24.71639,4.62739613791036
"chr1","EviAnn","gene",11162119,11302291,".","-",".","LOC_00000097","geneID=LOC_00000097","protein_coding","KTN1:_Kinectin_(Gallus_gallus)",3550.5,0,4.62351,1.10018,1.90789666666667,0.931983035848353
"chr1","EviAnn","gene",11162170,11301873,".","-",".","LOC_00000098","geneID=LOC_00000098","protein_coding","function_unknown",255,27355,30738.8,20239,26110.9333333333,14.6723664071468
"chr1","EviAnn","gene",11327463,11363330,".","+",".","LOC_00000099","geneID=LOC_00000099","protein_coding","Psma3:_Proteasome_subunit_alpha_type-3_(Mus_musculus)",687,45.7426,23.9423,6.82967,25.5048566666667,4.67270008792293
"chr1","EviAnn","gene",11363606,11443684,".","+",".","LOC_00000100","geneID=LOC_00000100","protein_coding","ARID4A:_AT-rich_interactive_domain-containing_protein_4A_(Homo_sapiens)",3437.88,37.7928,12.1756,12.1638,20.7107333333333,4.37230673283171
"chr1","EviAnn","gene",11446637,11450730,".","+",".","LOC_00000101","geneID=LOC_00000101","protein_coding","function_unknown",558,996.515,771.919,929.182,899.205333333333,9.81250678221827
"chr1","EviAnn","gene",11448142,11454964,".","+",".","LOC_00000102","geneID=LOC_00000102","protein_coding","TOMM20L:_TOMM20-like_protein_1_(Homo_sapiens)",447,0,29.8728,44.1293,24.6673666666667,4.62453180567264
"chr1","EviAnn","gene",11451761,11464310,".","-",".","LOC_00000103","geneID=LOC_00000103","protein_coding","Timm9:_Mitochondrial_import_inner_membrane_translocase_subunit_Tim9_(Rattus_norvegicus)",135,256.897,0,0,85.6323333333333,6.4200837318404
"chr1","EviAnn","gene",11464308,11579132,".","+",".","LOC_00000104","geneID=LOC_00000104","protein_coding","TALPID3:_TALPID3_protein_(Gallus_gallus)",3768,0,4.51325,0,1.50441666666667,0.589204194463575
"chr1","EviAnn","gene",11528419,11545885,".","-",".","LOC_00000105","geneID=LOC_00000105","protein_coding","function_unknown",363,356.023,608.278,187.132,383.811,8.58425224945298
"chr1","EviAnn","gene",12027608,12045169,".","-",".","LOC_00000107","geneID=LOC_00000107","protein_coding","KCNK16:_Potassium_channel_subfamily_K_member_16_(Homo_sapiens)",501,14.2304,35.6398,29.6367,26.5023,4.72804566417094
"chr1","EviAnn","gene",12390349,12423022,".","+",".","LOC_00000112","geneID=LOC_00000112","protein_coding","JKAMP:_JNK1/MAPK8-associated_membrane_protein_(Homo_sapiens)",1845,76.514,65.7883,211.465,117.922433333333,6.88169438968765
"chr1","EviAnn","gene",12391432,12406863,".","-",".","LOC_00000110","geneID=LOC_00000110","protein_coding","L3HYPDH:_Trans-3-hydroxy-L-proline_dehydratase_(Homo_sapiens)",1074.82,26.1975,33.6585,78.3309,46.0623,5.52551454500531
"chr1","EviAnn","gene",12391572,12405790,".","-",".","LOC_00000111","geneID=LOC_00000111","protein_coding","function_unknown",333,0,0,72.3842,24.1280666666667,4.59264041482742
"chr1","EviAnn","gene",12417679,12494736,".","-",".","LOC_00000113","geneID=LOC_00000113","protein_coding","Ccdc175:_Coiled-coil_domain-containing_protein_175_(Mus_musculus)",2217,2.31947,9.95975,11.9296,8.06960666666667,3.01249835455895
"chr1","EviAnn","gene",12713357,12806894,".","+",".","LOC_00000115","geneID=LOC_00000115","protein_coding","LRRC9:_Leucine-rich_repeat-containing_protein_9_(Homo_sapiens)",4515,0,0.93637,0,0.312123333333333,-1.67981188237234
"chr1","EviAnn","gene",12834541,12861121,".","+",".","LOC_00000116","geneID=LOC_00000116","protein_coding","pcnx4:_Pecanex-like_protein_4_(Xenopus_laevis)",2177.98,70.9349,58.8807,47.5821,59.1325666666667,5.88588099395689
"chr1","EviAnn","gene",12859925,12898824,".","-",".","LOC_00000117","geneID=LOC_00000117","protein_coding","DHRS7:_Dehydrogenase/reductase_SDR_family_member_7_(Homo_sapiens)",1008,39.5924,34.2671,14.6008,29.4867666666667,4.88199572909753
"chr1","EviAnn","gene",12899949,12902745,".","-",".","LOC_00000118","geneID=LOC_00000118","protein_coding","function_unknown",396,102.528,75.8148,53.8711,77.4046333333333,6.27434802155365
"chr1","EviAnn","gene",12936873,12994195,".","+",".","LOC_00000119","geneID=LOC_00000119","protein_coding","PPM1A:_Protein_phosphatase_1A_(Bos_taurus)",1109.25,0,10.1955,0,3.3985,1.76489812281471
"chr1","EviAnn","gene",13296379,13320019,".","-",".","LOC_00000122","geneID=LOC_00000122","protein_coding","Six4:_Homeobox_protein_SIX4_(Mus_musculus)",1880,0,7.43187,0,2.47729,1.30876276526264
"chr1","EviAnn","gene",13326776,13495427,".","+",".","LOC_00000123","geneID=LOC_00000123","protein_coding","MNAT1:_CDK-activating_kinase_assembly_factor_MAT1_(Homo_sapiens)",798.375,0,0,31.4527,10.4842333333333,3.39014946212655
"chr1","EviAnn","gene",13450115,13506981,".","-",".","LOC_00000125","geneID=LOC_00000125","protein_coding","TRMT5:_tRNA_(guanine(37)-N(1))-methyltransferase_(Bos_taurus)",1416,11.4229,13.1252,9.80845,11.4521833333333,3.51755076603878
"chr1","EviAnn","gene",13463918,13506911,".","-",".","LOC_00000124","geneID=LOC_00000124","protein_coding","function_unknown",396,123.034,181.15,107.742,137.308666666667,7.10127887835091
"chr1","EviAnn","gene",13506809,13587676,".","+",".","LOC_00000126","geneID=LOC_00000126","protein_coding","Slc38a6:_Solute_carrier_family_38_member_6_(Rattus_norvegicus)",1563,17.0326,8.79873,20.4661,15.4324766666667,3.94789770494843
"chr1","EviAnn","gene",13986936,14054955,".","+",".","LOC_00000128","geneID=LOC_00000128","protein_coding","HIF1A:_Hypoxia-inducible_factor_1-alpha_(Gallus_gallus)",1932,10.7765,11.1586,10.7325,10.8892,3.44482606194236
"chr1","EviAnn","gene",15210685,15236307,".","+",".","LOC_00000135","geneID=LOC_00000135","protein_coding","function_unknown",495,593.878,420.851,515.394,510.041,8.99446941356314
"chr1","EviAnn","gene",15276402,15316257,".","-",".","LOC_00000137","geneID=LOC_00000137","protein_coding","gag:_Gag_polyprotein_(Fragment)_(Avian_spleen_necrosis_virus)",483,0,132.281,13.0456,48.4422,5.59819248132788
"chr1","EviAnn","gene",15277659,15278873,".","-",".","LOC_00000136","geneID=LOC_00000136","protein_coding","WDR89:_WD_repeat-containing_protein_89_(Bos_taurus)",1152,14.4862,8.34235,12.4533,11.7606166666667,3.55589180460389
"chr1","EviAnn","gene",15336455,15368267,".","-",".","LOC_00000138","geneID=LOC_00000138","protein_coding","SGPP1:_Sphingosine-1-phosphate_phosphatase_1_(Homo_sapiens)",1299,8.40274,47.1112,32.4827,29.3322133333333,4.87441403214475
"chr1","EviAnn","gene",16057270,16072894,".","+",".","LOC_00000143","geneID=LOC_00000143","protein_coding","AKAP5:_A-kinase_anchor_protein_5_(Bos_taurus)",1485,0,0,3.09754,1.03251333333333,0.0461604119688628
"chr1","EviAnn","gene",16203626,16481870,".","+",".","LOC_00000148","geneID=LOC_00000148","protein_coding","Brf1:_Transcription_factor_IIIB_90_kDa_subunit_(Mus_musculus)",336,54.1467,0,30.4529,28.1998666666667,4.81761643624216
"chr1","EviAnn","gene",16313448,16319468,".","-",".","LOC_00000149","geneID=LOC_00000149","protein_coding","btbd6:_BTB/POZ_domain-containing_protein_6_(Xenopus_laevis)",1668.27,88.6924,60.6257,132.706,94.0080333333333,6.55471214056017
"chr1","EviAnn","gene",17299768,17303024,".","+",".","LOC_00000150","geneID=LOC_00000150","protein_coding","function_unknown",189,174.797,452.045,230.942,285.928,8.15950809509939
"chr1","EviAnn","gene",17304203,17377192,".","+",".","LOC_00000151","geneID=LOC_00000151","protein_coding","NUDT14:_Uridine_diphosphate_glucose_pyrophosphatase_NUDT14_(Homo_sapiens)",471,62.4609,0,0,20.8203,4.3799189514879
"chr1","EviAnn","gene",17464261,17590407,".","+",".","LOC_00000152","geneID=LOC_00000152","protein_coding","JAG2:_Protein_jagged-2_(Homo_sapiens)",2699,0,3.55723,0,1.18574333333333,0.245791757100571
"chr1","EviAnn","gene",17869494,17892744,".","+",".","LOC_00000153","geneID=LOC_00000153","protein_coding","Gpr132:_Probable_G-protein_coupled_receptor_132_(Mus_musculus)",1044,10.8475,28.1501,9.33156,16.10972,4.00985951393979
"chr1","EviAnn","gene",17899799,17933840,".","+",".","LOC_00000154","geneID=LOC_00000154","protein_coding","CDCA4:_Cell_division_cycle-associated_protein_4_(Homo_sapiens)",777,23.3956,33.9187,6.72792,21.3474066666667,4.41598891338013
"chr1","EviAnn","gene",17944093,17975137,".","+",".","LOC_00000156","geneID=LOC_00000156","protein_coding","Sertad2:_SERTA_domain-containing_protein_2_(Mus_musculus)",852,20.8355,30.1434,0,16.9929666666667,4.0868658380311
"chr1","EviAnn","gene",17977224,18004084,".","-",".","LOC_00000157","geneID=LOC_00000157","protein_coding","Clba1:_Uncharacterized_protein_CLBA1_(Mus_musculus)",751,0,20.9855,0,6.99516666666667,2.80635843141562
"chr1","EviAnn","gene",18046807,18081318,".","+",".","LOC_00000158","geneID=LOC_00000158","protein_coding","adss1-a:_Adenylosuccinate_synthetase_isozyme_1_A_(Xenopus_laevis)",1395,0,3.33795,0,1.11265,0.153999843646131
"chr1","EviAnn","gene",18088563,18094617,".","+",".","LOC_00000159","geneID=LOC_00000159","protein_coding","SIVA1:_Apoptosis_regulatory_protein_Siva_(Homo_sapiens)",531,26.1224,0,33.9997,20.0407,4.32486099607973
"chr1","EviAnn","gene",18200311,18244104,".","-",".","LOC_00000161","geneID=LOC_00000161","protein_coding","Transposon_TX1_uncharacterized_149_kDa_protein_(Xenopus_laevis)",1845,20.261,19.5496,48.3814,29.3973333333333,4.87761338732105
"chr1","EviAnn","gene",18753753,18843929,".","-",".","LOC_00000164","geneID=LOC_00000164","protein_coding","Inf2:_Inverted_formin-2_(Mus_musculus)",2439,0,28.8543,0,9.6181,3.26575192608408
"chr1","EviAnn","gene",19960756,19969081,".","+",".","LOC_00000167","geneID=LOC_00000167","protein_coding","function_unknown",324,57.6459,0,25.3532,27.6663666666667,4.79006128685979
"chr1","EviAnn","gene",19969339,19982820,".","-",".","LOC_00000168","geneID=LOC_00000168","protein_coding","function_unknown",102,233.022,19985.7,39.8445,6752.8555,12.7212819712048
"chr1","EviAnn","gene",20451051,20475390,".","-",".","LOC_00000169","geneID=LOC_00000169","protein_coding","function_unknown",282,0,32.4833,0,10.8277666666667,3.43666379848103
"chr1","EviAnn","gene",20738319,20937069,".","-",".","LOC_00000170","geneID=LOC_00000170","protein_coding","KIF26A:_Kinesin-like_protein_KIF26A_(Homo_sapiens)",5856,0,5.48123,0,1.82707666666667,0.869537172716997
"chr1","EviAnn","gene",21321678,21336822,".","+",".","LOC_00000174","geneID=LOC_00000174","protein_coding","function_unknown",495,55.6157,47.4401,140.479,81.1782666666667,6.34302163056104
"chr1","EviAnn","gene",21352280,21448943,".","+",".","LOC_00000175","geneID=LOC_00000175","protein_coding","Ppp1r13b:_Apoptosis-stimulating_of_p53_protein_1_(Mus_musculus)",3432,208.235,299.315,238.01,248.52,7.95721814916694
"chr1","EviAnn","gene",21352298,21367115,".","+",".","LOC_00000176","geneID=LOC_00000176","protein_coding","function_unknown",444,2919.4,2056.81,2106.91,2361.04,11.2052067681231
"chr1","EviAnn","gene",21447128,21471875,".","-",".","LOC_00000177","geneID=LOC_00000177","protein_coding","ZFYVE21:_Zinc_finger_FYVE_domain-containing_protein_21_(Homo_sapiens)",729,33.8595,21.4843,0,18.4479333333333,4.2053872994249
"chr1","EviAnn","gene",21471447,21492278,".","+",".","LOC_00000178","geneID=LOC_00000178","protein_coding","XRCC3:_DNA_repair_protein_XRCC3_(Homo_sapiens)",1065,5.29682,13.7416,36.4475,18.4953066666667,4.20908731656102
"chr1","EviAnn","gene",21495756,21552600,".","-",".","LOC_00000179","geneID=LOC_00000179","protein_coding","KLC1:_Kinesin_light_chain_1_(Pongo_abelii)",1670.33,0,0,2.69675,0.898916666666667,-0.153740716810854
"chr1","EviAnn","gene",21752005,21823912,".","-",".","LOC_00000182","geneID=LOC_00000182","protein_coding","Trmt61a:_tRNA_(adenine(58)-N(1))-methyltransferase_catalytic_subunit_TRMT61A_(Rattus_norvegicus)",766.5,0,9.47424,0,3.15808,1.65904771779138
"chr1","EviAnn","gene",21888000,21985417,".","-",".","LOC_00000184","geneID=LOC_00000184","protein_coding","MARK3:_MAP/microtubule_affinity-regulating_kinase_3_(Homo_sapiens)",2255.25,0,0,6.02674,2.00891333333333,1.00641532600888
