"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","SRR2889295","SRR2889296","SRR2889297","Mmean","value"
"NC_052532.1","Gnomon","gene",202153,205570,".","+",".","gene-LOC121109239","Name=LOC121109239","protein_coding","Dbxref=CGNC:89105,GeneID:121109239",597,3.77083,6.11919,3.50239,4.46413666666667,2.15838119502197
"NC_052532.1","Gnomon","gene",219372,220976,".","+",".","gene-LOC101747821","Name=LOC101747821","protein_coding","Dbxref=CGNC:67314,GeneID:101747821",612,6.12431,4.45915,4.60428,5.06258,2.33987280084835
"NC_052532.1","Gnomon","gene",235495,237160,".","+",".","gene-LOC121113360","Name=LOC121113360","protein_coding","Dbxref=CGNC:93204,GeneID:121113360",597,6.03889,5.45016,4.00834,5.16579666666667,2.36899085798071
"NC_052532.1","Gnomon","gene",254982,257868,".","+",".","gene-LOC121113328","Name=LOC121113328","protein_coding","Dbxref=CGNC:93172,GeneID:121113328",756,2.10923,2.25844,1.62919,1.99895333333333,0.999244791965258
"NC_052532.1","Gnomon","gene",261564,396399,".","+",".","gene-LOC107055489","Name=LOC107055489","protein_coding","Dbxref=CGNC:78445,GeneID:107055489",599.384,55.5193,40.2713,65.172,53.6542,5.74561920309202
"NC_052532.1","Gnomon","gene",263808,268117,".","+",".","gene-LOC121106485","Name=LOC121106485","protein_coding","Dbxref=CGNC:86367,GeneID:121106485",733.398,24.2479,17.2879,22.4024,21.3127333333333,4.41364372383943
"NC_052532.1","Gnomon","gene",281015,284230,".","+",".","gene-CLC2DL5","Name=CLC2DL5","protein_coding","Dbxref=GeneID:776458",566.976,68.7404,27.5717,75.757,57.3563666666667,5.8418817319327
"NC_052532.1","Gnomon","gene",302848,305571,".","-",".","gene-LOC121109243","Name=LOC121109243","protein_coding","Dbxref=CGNC:89109,GeneID:121109243",768,26.4709,12.1642,21.0372,19.8907666666667,4.31402697914759
"NC_052532.1","Gnomon","gene",332452,335004,".","-",".","gene-LOC121113331","Name=LOC121113331","protein_coding","Dbxref=CGNC:93175,GeneID:121113331",768,5.70606,3.53128,6.47331,5.23688333333333,2.38870846495601
"NC_052532.1","Gnomon","gene",364859,378030,".","+",".","gene-LOC121109235","Name=LOC121109235","protein_coding","Dbxref=CGNC:89101,GeneID:121109235",1021.63,43.5775,35.5581,38.61,39.2485333333333,5.29456683826076
"NC_052532.1","Gnomon","gene",410765,414113,".","-",".","gene-CD69L","Name=CD69L","protein_coding","Dbxref=CGNC:50599,GeneID:417816",597,71.4579,92.5543,63.0608,75.691,6.24204986237339
"NC_052532.1","Gnomon","gene",417860,422416,".","+",".","gene-LOC124418404","Name=LOC124418404","protein_coding","Dbxref=GeneID:124418404",609,2.29903,0.765599,1.18209,1.415573,0.501386149824647
"NC_052532.1","Gnomon","gene",417860,421495,".","+",".","gene-LOC121113329","Name=LOC121113329","protein_coding","Dbxref=CGNC:93173,GeneID:121113329",978,3.51564,2.36807,3.36117,3.08162666666667,1.62369209262076
"NC_052532.1","Gnomon","gene",429715,436651,".","+",".","gene-LOC107049847","Name=LOC107049847","protein_coding","Dbxref=CGNC:72863,GeneID:107049847",778.992,11.4827,11.3438,12.3078,11.7114333333333,3.5498457494068
"NC_052532.1","Gnomon","gene",444128,446305,".","-",".","gene-LOC121113363","Name=LOC121113363","protein_coding","Dbxref=CGNC:93207,GeneID:121113363",978,0.219606,1.13197,0,0.450525333333333,-1.15031986288455
"NC_052532.1","Gnomon","gene",456863,493923,".","+",".","gene-GOLGB1","Name=GOLGB1","protein_coding","Dbxref=CGNC:7433,GeneID:426868",9529.7,2.98933,2.85294,3.03316,2.95847666666667,1.56485451668095
"NC_052532.1","BestRefSeq%2CGnomon","gene",495336,507494,".","+",".","gene-HCLS1","Name=HCLS1","protein_coding","Dbxref=CGNC:7430,GeneID:426867",1555.49,4.28176,5.05839,5.02454,4.78823,2.2594924530103
"NC_052532.1","Gnomon","gene",520731,524108,".","-",".","gene-NME6","Name=NME6","protein_coding","Dbxref=CGNC:7425,GeneID:426866",561,3.41948,0.427033,1.75965,1.868721,0.902051190826023
"NC_052532.1","BestRefSeq%2CGnomon","gene",524142,528113,".","+",".","gene-RABL2A","Name=RABL2A","protein_coding","Dbxref=CGNC:52914,GeneID:426865",672,0.337322,2.3589,2.42607,1.70743066666667,0.7718269964439
"NC_052532.1","Gnomon","gene",529035,531524,".","-",".","gene-ACR","Name=ACR","protein_coding","Dbxref=CGNC:16917,GeneID:426864",1065,0.386248,0.192909,0.197882,0.259013,-1.94890358552819
"NC_052532.1","Gnomon","gene",532303,537908,".","-",".","gene-ARSA","Name=ARSA","protein_coding","Dbxref=CGNC:7409,GeneID:426863",1318.39,5.29883,7.53714,4.94724,5.92773666666667,2.56748135888995
"NC_052532.1","Gnomon","gene",565904,848673,".","+",".","gene-SHANK3","Name=SHANK3","protein_coding","Dbxref=CGNC:68428,GeneID:101748950",5625,6.31848,5.11328,6.78552,6.07242666666667,2.60227316233744
"NC_052532.1","Gnomon","gene",843258,848673,".","+",".","gene-LOC121109250","Name=LOC121109250","protein_coding","Dbxref=CGNC:89116,GeneID:121109250",1275,0.786062,1.4133,1.93171,1.377024,0.461553704265357
"NC_052532.1","Gnomon","gene",844264,848673,".","+",".","gene-LOC124417014","Name=LOC124417014","protein_coding","Dbxref=GeneID:124417014",909,0.697777,0.929363,0.954003,0.860381,-0.216952429155257
"NC_052532.1","Gnomon","gene",844264,848673,".","+",".","gene-LOC124417137","Name=LOC124417137","protein_coding","Dbxref=GeneID:124417137",1422,3.75585,3.05679,1.99342,2.93535333333333,1.55353417337509
"NC_052532.1","Gnomon","gene",973215,989435,".","+",".","gene-PAX4","Name=PAX4","protein_coding","Dbxref=CGNC:77943,GeneID:107054978",1011,0.820704,0.409899,0.210278,0.480293666666667,-1.05801131010724
"NC_052532.1","BestRefSeq%2CGnomon","gene",994957,1005851,".","-",".","gene-ARF5","Name=ARF5","protein_coding","Dbxref=CGNC:49726,GeneID:396265",543,3.57434,8.03484,5.06009,5.55642333333333,2.47415651969988
"NC_052532.1","BestRefSeq","gene",1006182,1011082,".","+",".","gene-GCC1","Name=GCC1","protein_coding","Dbxref=CGNC:10143,GeneID:430581",2355,2.41083,2.88954,3.12229,2.80755333333333,1.48931342886085
"NC_052532.1","Gnomon","gene",1012012,1031255,".","-",".","gene-DENND6B","Name=DENND6B","protein_coding","Dbxref=CGNC:10312,GeneID:426252",1527,0.642658,1.01443,1.03906,0.898716,-0.154062807982696
"NC_052532.1","Gnomon","gene",1038412,1109892,".","+",".","gene-PPP6R2","Name=PPP6R2","protein_coding","Dbxref=CGNC:10141,GeneID:430580",2790,18.1953,19.7828,18.1875,18.7218666666667,4.22665238111659
"NC_052532.1","Gnomon","gene",1119024,1180429,".","-",".","gene-SBF1","Name=SBF1","protein_coding","Dbxref=CGNC:9447,GeneID:417071",5746.11,22.6351,22.0842,21.7444,22.1545666666667,4.46953220352278
"NC_052532.1","Gnomon","gene",1180497,1183491,".","+",".","gene-ADM2","Name=ADM2","protein_coding","Dbxref=CGNC:70814,GeneID:112532887",471,0,0.545193,0,0.181731,-2.46012355681484
"NC_052532.1","Gnomon","gene",1184775,1188178,".","+",".","gene-MIOX","Name=MIOX","protein_coding","Dbxref=CGNC:75521,GeneID:107052518",834,0,0.519854,0,0.173284666666667,-2.52878409360711
"NC_052532.1","BestRefSeq%2CGnomon","gene",1188297,1195042,".","-",".","gene-LMF2","Name=LMF2","protein_coding","Dbxref=CGNC:53638,GeneID:429380",2143.2,45.4187,51.3305,48.0942,48.2811333333333,5.59338763666359
"NC_052532.1","Gnomon","gene",1194971,1204574,".","+",".","gene-NCAPH2","Name=NCAPH2","protein_coding","Dbxref=CGNC:10337,GeneID:426276",1842.53,3.55746,3.95015,3.19117,3.56626,1.83441188721328
"NC_052532.1","Gnomon","gene",1204678,1205929,".","-",".","gene-SCO2","Name=SCO2","protein_coding","Dbxref=CGNC:66581,GeneID:429671",756,16.2903,16.8546,21.7992,18.3147,4.19493016437189
"NC_052532.1","BestRefSeq%2CGnomon","gene",1207608,1217623,".","+",".","gene-IRF5","Name=IRF5","protein_coding","Dbxref=CGNC:53929,GeneID:430409",1419,0.976033,0.835636,0.856339,0.889336,-0.169199508282982
"NC_052532.1","Gnomon","gene",1218341,1241678,".","-",".","gene-TNPO3","Name=TNPO3","protein_coding","Dbxref=CGNC:10345,GeneID:426277",2685.98,18.1017,15.5616,18.0199,17.2277333333333,4.10666099239478
"NC_052532.1","Gnomon","gene",1235066,1238216,".","+",".","gene-LOC112532892","Name=LOC112532892","protein_coding","Dbxref=CGNC:85844,GeneID:112532892",792,2.19757,1.37204,0.2819,1.28383666666667,0.360461670389513
"NC_052532.1","BestRefSeq","gene",1241744,1250136,".","+",".","gene-SMO","Name=SMO","protein_coding","Dbxref=CGNC:5983,GeneID:395949",2451,28.1103,28.6151,30.2358,28.9870666666667,4.8573374427893
"NC_052532.1","Gnomon","gene",1251066,1295884,".","+",".","gene-AHCYL2","Name=AHCYL2","protein_coding","Dbxref=CGNC:50318,GeneID:416675",1332.03,14.0676,10.6062,10.072,11.5819333333333,3.53380419256707
"NC_052532.1","Gnomon","gene",1296502,1312012,".","+",".","gene-STRIP2","Name=STRIP2","protein_coding","Dbxref=CGNC:66264,GeneID:416676",2403,0.550566,0.39279,0.402079,0.448478333333333,-1.15688980683895
"NC_052532.1","BestRefSeq%2CGnomon","gene",1330249,1378306,".","+",".","gene-NRF1","Name=NRF1","protein_coding","Dbxref=CGNC:6034,GeneID:416677",1512,6.49713,8.56597,7.31416,7.45908666666667,2.89899898944319
"NC_052532.1","BestRefSeq%2CGnomon","gene",1391668,1435859,".","-",".","gene-UBE2H","Name=UBE2H","protein_coding","Dbxref=CGNC:6039,GeneID:416678",552,17.9128,10.0393,14.3915,14.1145333333333,3.81910952485701
"NC_052532.1","BestRefSeq","gene",1437164,1445984,".","-",".","gene-ZC3HC1","Name=ZC3HC1","protein_coding","Dbxref=CGNC:6057,GeneID:416679",1455,2.98319,3.7924,2.35941,3.045,1.60644222813161
"NC_052532.1","Gnomon","gene",1446346,1461717,".","+",".","gene-KLHDC10","Name=KLHDC10","protein_coding","Dbxref=CGNC:53164,GeneID:427683",1182,4.45434,6.70559,5.615,5.59164333333333,2.48327234039115
"NC_052532.1","Gnomon","gene",1471505,1483339,".","-",".","gene-TMEM209","Name=TMEM209","protein_coding","Dbxref=CGNC:50319,GeneID:416681",1683,1.96331,1.4996,1.29976,1.58755666666667,0.666808088741443
"NC_052532.1","BestRefSeq%2CGnomon","gene",1508573,1516897,".","-",".","gene-CEP41","Name=CEP41","protein_coding","Dbxref=CGNC:6138,GeneID:416684",921,0.228992,0.914977,0.70438,0.616116333333333,-0.698725312673081
"NC_052532.1","Gnomon","gene",1517053,1522237,".","+",".","gene-MEST","Name=MEST","protein_coding","Dbxref=CGNC:6146,GeneID:427684",990,3.36447,2.54773,3.3749,3.0957,1.63026566867773
"NC_052532.1","Gnomon","gene",1522137,1541139,".","-",".","gene-COPG2","Name=COPG2","protein_coding","Dbxref=CGNC:50322,GeneID:416685",2616,7.25893,6.02987,6.61254,6.63378,2.72983116796376
"NC_052532.1","Gnomon","gene",1552251,1556861,".","+",".","gene-IL15RA","Name=IL15RA","protein_coding","Dbxref=CGNC:50323,GeneID:416686",686.584,0.656456,1.78676,1.47067,1.30462866666667,0.383639234387694
"NC_052532.1","BestRefSeq%2CGnomon","gene",1557871,1582322,".","-",".","gene-FBXO18","Name=FBXO18","protein_coding","Dbxref=CGNC:6188,GeneID:416687",3057,6.89117,6.21282,5.90311,6.3357,2.66350402437601
"NC_052532.1","BestRefSeq%2CGnomon","gene",1582457,1598992,".","+",".","gene-ANKRD16","Name=ANKRD16","protein_coding","Dbxref=CGNC:6194,GeneID:416688",1152,3.52856,5.44847,3.34076,4.10593,2.03770903185136
"NC_052532.1","BestRefSeq%2CGnomon","gene",1600031,1614891,".","+",".","gene-GDI1","Name=GDI1","protein_coding","Dbxref=CGNC:49512,GeneID:395854",1347,59.4116,56.8339,54.3171,56.8542,5.82919502439812
"NC_052532.1","Gnomon","gene",1600984,1648496,".","-",".","gene-FAM208B","Name=FAM208B","protein_coding","Dbxref=CGNC:50324,GeneID:416689",7629,2.7284,3.52361,3.00478,3.08559666666667,1.62554949255388
"NC_052532.1","BestRefSeq%2CGnomon","gene",1649743,1666207,".","+",".","gene-ASB13","Name=ASB13","protein_coding","Dbxref=CGNC:6365,GeneID:416691",837,7.9613,9.48648,9.4846,8.97746,3.16630731982753
"NC_052532.1","BestRefSeq%2CGnomon","gene",1675662,1727670,".","-",".","gene-NET1","Name=NET1","protein_coding","Dbxref=CGNC:6397,GeneID:416693",1628.37,9.57955,9.12297,8.60791,9.10347666666667,3.18641762353794
"NC_052532.1","BestRefSeq","gene",1736945,1743451,".","+",".","gene-TUBAL3","Name=TUBAL3","protein_coding","Dbxref=CGNC:50327,GeneID:416694",1380,0,0.287347,0.441735,0.243027333333333,-2.04080951172786
"NC_052532.1","Gnomon","gene",1765103,1860279,".","-",".","gene-LOC416696","Name=LOC416696","protein_coding","Dbxref=CGNC:50329,GeneID:416696",7473,0.121152,0.193603,0.148489,0.154414666666667,-2.69511830521956
"NC_052532.1","Gnomon","gene",1880051,1894790,".","+",".","gene-SLC35B4","Name=SLC35B4","protein_coding","Dbxref=CGNC:6418,GeneID:416698",996,4.17591,3.96274,4.06605,4.06823333333333,2.02440242727531
"NC_052532.1","BestRefSeq","gene",1959621,2369443,".","-",".","gene-EXOC4","Name=EXOC4","protein_coding","Dbxref=CGNC:6429,GeneID:416700",2847,9.07001,9.4157,9.00238,9.16269666666667,3.1957722593561
"NC_052532.1","Gnomon","gene",2187139,2191146,".","+",".","gene-LOC121109261","Name=LOC121109261","protein_coding","Dbxref=CGNC:89127,GeneID:121109261",1440,0,0,0.421205,0.140401666666667,-2.83236803333703
"NC_052532.1","Gnomon","gene",2201044,2204145,".","+",".","gene-LOC101750035","Name=LOC101750035","protein_coding","Dbxref=CGNC:69491,GeneID:101750035",1560,0,0.137013,0,0.045671,-4.4525778108479
"NC_052532.1","Gnomon","gene",2209308,2217099,".","+",".","gene-LOC101749355","Name=LOC101749355","protein_coding","Dbxref=CGNC:68827,GeneID:101749355",1299,0,0,0.157616,0.0525386666666667,-4.25047660174696
"NC_052532.1","Gnomon","gene",2511431,2721092,".","+",".","gene-CHCHD3","Name=CHCHD3","protein_coding","Dbxref=CGNC:4892,GeneID:418435",712.059,42.0045,46.8492,43.1059,43.9865333333333,5.45898999893408
"NC_052532.1","Gnomon","gene",2555652,2556957,".","-",".","gene-LOC121109715","Name=LOC121109715","protein_coding","Dbxref=CGNC:89581,GeneID:121109715",621,0,0.373138,0,0.124379333333333,-3.00718130535485
"NC_052532.1","Gnomon","gene",2594898,2596684,".","-",".","gene-LOC107054320","Name=LOC107054320","protein_coding","Dbxref=CGNC:77298,GeneID:107054320",624,0.371162,0,0,0.123720666666667,-3.0148415823894
"NC_052532.1","Gnomon","gene",2783385,2786052,".","-",".","gene-LOC121109412","Name=LOC121109412","protein_coding","Dbxref=CGNC:89278,GeneID:121109412",903,0,0.468364,0,0.156121333333333,-2.67926040580151
"NC_052532.1","Gnomon","gene",2830517,3284954,".","+",".","gene-PLXNA4","Name=PLXNA4","protein_coding","Dbxref=CGNC:4879,GeneID:427941",5478.4,29.7974,23.9709,28.4734,27.4139,4.77683568063648
"NC_052532.1","BestRefSeq%2CGnomon","gene",3637221,3677378,".","+",".","gene-PODXL","Name=PODXL","protein_coding","Dbxref=CGNC:49459,GeneID:395755",1747.49,8.53461,9.92337,8.67539,9.04445666666667,3.17703383752315
"NC_052532.1","BestRefSeq%2CGnomon","gene",3685581,3784871,".","-",".","gene-MKLN1","Name=MKLN1","protein_coding","Dbxref=CGNC:4784,GeneID:418250",2202,3.62629,4.57058,5.03247,4.40978,2.14070668280636
"NC_052532.1","BestRefSeq%2CGnomon","gene",4008646,4020411,".","+",".","gene-K123","Name=K123","protein_coding","Dbxref=CGNC:49525,GeneID:395873",831,0.518129,3.36425,1.59467,1.825683,0.868436286663878
"NC_052532.1","Gnomon","gene",4060981,4127133,".","+",".","gene-PFKFB3","Name=PFKFB3","protein_coding","Dbxref=CGNC:4755,GeneID:418247",1449,1.36224,1.2246,1.29841,1.29508333333333,0.373044932443626
"NC_052532.1","Gnomon","gene",4060981,4073646,".","+",".","gene-RBM17","Name=RBM17","protein_coding","Dbxref=CGNC:4762,GeneID:418248",1206,13.3954,10.23,12.6863,12.1039,3.59740006834612
"NC_052532.1","Gnomon","gene",4208579,4263385,".","-",".","gene-PRKCQ","Name=PRKCQ","protein_coding","Dbxref=CGNC:57974,GeneID:776459",2145,0.532811,0.798265,0.363241,0.564772333333333,-0.824258678269124
"NC_052532.1","Gnomon","gene",4467485,4583186,".","-",".","gene-SFMBT2","Name=SFMBT2","protein_coding","Dbxref=CGNC:7051,GeneID:425485",2682,4.06002,4.40471,2.71921,3.72798,1.89839412019117
"NC_052532.1","BestRefSeq%2CGnomon","gene",4737265,4767481,".","+",".","gene-LOC419112","Name=LOC419112","protein_coding","Dbxref=CGNC:66335,GeneID:419112",803,0,0,0.336919,0.112306333333333,-3.15448880641018
"NC_052532.1","Gnomon","gene",4769260,4816728,".","-",".","gene-ITIH5","Name=ITIH5","protein_coding","Dbxref=CGNC:5201,GeneID:419111",2860.48,2.02735,4.89961,4.67673,3.86789666666667,1.95154925280883
"NC_052532.1","BestRefSeq%2CGnomon","gene",4823798,4848977,".","+",".","gene-ITIH2","Name=ITIH2","protein_coding","Dbxref=CGNC:5157,GeneID:419110",2823.99,963.051,873.69,691.679,842.806666666667,9.71905791580572
"NC_052532.1","Gnomon","gene",4850472,4865306,".","-",".","gene-KIN","Name=KIN","protein_coding","Dbxref=CGNC:5108,GeneID:419109",1170,0.866638,2.41677,1.42025,1.567886,0.648820665821954
"NC_052532.1","BestRefSeq%2CGnomon","gene",4865363,4872155,".","+",".","gene-ATP5C1","Name=ATP5C1","protein_coding","Dbxref=CGNC:5096,GeneID:419108",871.755,187.305,196.238,173.38,185.641,7.53637156384104
"NC_052532.1","BestRefSeq%2CGnomon","gene",4874712,4988615,".","+",".","gene-TAF3","Name=TAF3","protein_coding","Dbxref=CGNC:5084,GeneID:419107",2793,6.5724,6.0286,7.47239,6.69113,2.7422498742046
"NC_052532.1","BestRefSeq%2CGnomon","gene",5010557,5039662,".","+",".","gene-GATA3","Name=GATA3","protein_coding","Dbxref=CGNC:5080,GeneID:419106",1332,0.299317,0.747437,0.36361,0.470121333333333,-1.08889494574078
"NC_052532.1","BestRefSeq","gene",6366812,6562688,".","+",".","gene-CELF2","Name=CELF2","protein_coding","Dbxref=CGNC:49047,GeneID:374111",1467,0.940576,0.402638,0.550101,0.631105,-0.664048041538309
"NC_052532.1","BestRefSeq%2CGnomon","gene",6621627,6732265,".","-",".","gene-USP6NL","Name=USP6NL","protein_coding","Dbxref=CGNC:50919,GeneID:419104",2526,2.16305,1.93696,1.29633,1.79878,0.847018748391734
"NC_052532.1","BestRefSeq","gene",6752074,6756798,".","+",".","gene-ECHDC3","Name=ECHDC3","protein_coding","Dbxref=CGNC:5051,GeneID:419098",873,51.7502,49.0123,49.0706,49.9443666666667,5.64225005738178
"NC_052532.1","Gnomon","gene",6774546,6799359,".","+",".","gene-PROSER2","Name=PROSER2","protein_coding","Dbxref=CGNC:5059,GeneID:419101",1410.26,4.07149,2.80528,4.02477,3.63384666666667,1.86149754507927
"NC_052532.1","Gnomon","gene",6805166,6855424,".","-",".","gene-UPF2","Name=UPF2","protein_coding","Dbxref=CGNC:5054,GeneID:419100",3819,3.86666,3.3792,3.34238,3.52941333333333,1.81942839555583
"NC_052532.1","Gnomon","gene",6864852,6881758,".","+",".","gene-DHTKD1","Name=DHTKD1","protein_coding","Dbxref=CGNC:2685,GeneID:426076",2769,58.6776,56.1733,44.1381,52.9963333333333,5.72782064201964
"NC_052532.1","BestRefSeq%2CGnomon","gene",6888413,6904045,".","+",".","gene-SEC61A2","Name=SEC61A2","protein_coding","Dbxref=CGNC:10485,GeneID:426369",1431,5.38713,6.07078,5.65549,5.70446666666667,2.51209200950731
"NC_052532.1","BestRefSeq","gene",6904751,6916347,".","-",".","gene-NUDT5","Name=NUDT5","protein_coding","Dbxref=CGNC:52764,GeneID:426368",663,277.641,264.99,256.024,266.218333333333,8.05646611676582
"NC_052532.1","Gnomon","gene",6916395,6954045,".","+",".","gene-CDC123","Name=CDC123","protein_coding","Dbxref=CGNC:10487,GeneID:426366",1008,6.38258,5.34723,8.44051,6.72344,2.74919956650335
"NC_052532.1","Gnomon","gene",6978363,7205166,".","+",".","gene-CAMK1D","Name=CAMK1D","protein_coding","Dbxref=CGNC:52484,GeneID:425522",1182,4.28302,5.75343,8.18109,6.07251333333333,2.60229375257012
"NC_052532.1","Gnomon","gene",7213796,7255281,".","-",".","gene-CCDC3","Name=CCDC3","protein_coding","Dbxref=CGNC:13134,GeneID:769832",864,0,0,0.253512,0.084504,-3.56483655673989
"NC_052532.1","BestRefSeq%2CGnomon","gene",7280547,7300290,".","+",".","gene-OPTN","Name=OPTN","protein_coding","Dbxref=CGNC:10284,GeneID:374079",1669.11,9.43991,8.02628,12.8619,10.1093633333333,3.33762023705755
"NC_052532.1","Gnomon","gene",7303803,7320191,".","+",".","gene-MCM10","Name=MCM10","protein_coding","Dbxref=CGNC:53688,GeneID:429525",2610,0.720456,0.215877,0.147303,0.361212,-1.46908227279695
"NC_052532.1","Gnomon","gene",7323426,7335163,".","-",".","gene-PHYH","Name=PHYH","protein_coding","Dbxref=CGNC:10813,GeneID:426601",1020,42.8465,53.3468,49.9453,48.7128666666667,5.60623098063381
"NC_052532.1","BestRefSeq%2CGnomon","gene",7342745,7366627,".","-",".","gene-SEPHS1","Name=SEPHS1","protein_coding","Dbxref=CGNC:10819,GeneID:426612",1179,22.8518,20.9382,19.7097,21.1665666666667,4.40371537015283
"NC_052532.1","BestRefSeq%2CGnomon","gene",7379569,7427704,".","-",".","gene-BEND7","Name=BEND7","protein_coding","Dbxref=CGNC:5047,GeneID:419037",1293,3.09492,3.5551,2.69353,3.11451666666667,1.63900829271748
"NC_052532.1","Gnomon","gene",7439503,7456716,".","+",".","gene-PRPF18","Name=PRPF18","protein_coding","Dbxref=CGNC:5036,GeneID:419036",920.65,8.24746,4.81854,6.38529,6.48376333333333,2.69683143137708
"NC_052532.1","Gnomon","gene",7458558,7816662,".","-",".","gene-FRMD4A","Name=FRMD4A","protein_coding","Dbxref=CGNC:50902,GeneID:419035",3084.5,3.50396,6.57305,6.25134,5.44278333333333,2.44434460630972
"NC_052532.1","Gnomon","gene",7880753,7943918,".","-",".","gene-FAM107B","Name=FAM107B","protein_coding","Dbxref=CGNC:10491,GeneID:426376",486,1.04322,3.30161,2.89965,2.41482666666667,1.27191963787473
"NC_052532.1","BestRefSeq","gene",8026709,8037636,".","+",".","gene-HSPA14","Name=HSPA14","protein_coding","Dbxref=CGNC:5014,GeneID:418802",1518,2.84624,2.32604,3.17765,2.78331,1.47680160236539
"NC_052532.1","BestRefSeq","gene",8039132,8048882,".","+",".","gene-SUV39H2","Name=SUV39H2","protein_coding","Dbxref=CGNC:52742,GeneID:426314",1224,2.46972,3.45369,1.85474,2.59271666666667,1.37446455639211
"NC_052532.1","BestRefSeq%2CGnomon","gene",8049148,8059758,".","-",".","gene-DCLRE1C","Name=DCLRE1C","protein_coding","Dbxref=CGNC:10415,GeneID:430764",2179.5,0.698365,0.709569,0.355911,0.587948333333333,-0.766238712816873
"NC_052532.1","Gnomon","gene",8076832,8083888,".","+",".","gene-TMEM243","Name=TMEM243","protein_coding","Dbxref=CGNC:5004,GeneID:418647",358.432,6.67355,3.3573,4.35593,4.79559333333333,2.26170932329373
"NC_052532.1","BestRefSeq%2CGnomon","gene",8083881,8112305,".","-",".","gene-DMTF1","Name=DMTF1","protein_coding","Dbxref=CGNC:50816,GeneID:418646",1869.31,5.04727,5.34317,3.1067,4.49904666666667,2.16961933144672
"NC_052532.1","Gnomon","gene",8110215,8112690,".","-",".","gene-LOC121108084","Name=LOC121108084","protein_coding","Dbxref=CGNC:87962,GeneID:121108084",627,0.737701,0,0.379199,0.3723,-1.42546247869794
"NC_052532.1","Gnomon","gene",8146271,8239574,".","+",".","gene-ELAPOR2","Name=ELAPOR2","protein_coding","Dbxref=CGNC:4983,GeneID:418645",2943,0.888568,0.950886,1.03798,0.959144666666667,-0.0601796632288812
"NC_052532.1","BestRefSeq%2CGnomon","gene",8899181,9041982,".","+",".","gene-SEMA3D","Name=SEMA3D","protein_coding","Dbxref=CGNC:4949,GeneID:396332",2286,2.15675,2.15719,1.27407,1.86267,0.897372101797426
"NC_052532.1","BestRefSeq%2CGnomon","gene",9286630,9576166,".","+",".","gene-SEMA3A","Name=SEMA3A","protein_coding","Dbxref=CGNC:4946,GeneID:395825",2319,0.408461,0.699584,0.584701,0.564248666666667,-0.82559699058972
"NC_052532.1","BestRefSeq%2CGnomon","gene",10427697,10787262,".","+",".","gene-CACNA2D1","Name=CACNA2D1","protein_coding","Dbxref=CGNC:6436,GeneID:768444",2954.4,0,0.11765,0.241035,0.119561666666667,-3.0641731817268
