Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Length	SRR2889295	SRR2889296	SRR2889297
NC_052532.1	Gnomon	gene	254982	257868	.	+	.	gene-LOC121113328	Name=LOC121113328	protein_coding	Dbxref=CGNC:93172,GeneID:121113328	756	2.10923	2.25844	1.62919
NC_052532.1	Gnomon	gene	261564	396399	.	+	.	gene-LOC107055489	Name=LOC107055489	protein_coding	Dbxref=CGNC:78445,GeneID:107055489	599.384	55.5193	40.2713	65.172
NC_052532.1	Gnomon	gene	263808	268117	.	+	.	gene-LOC121106485	Name=LOC121106485	protein_coding	Dbxref=CGNC:86367,GeneID:121106485	733.398	24.2479	17.2879	22.4024
NC_052532.1	Gnomon	gene	281015	284230	.	+	.	gene-CLC2DL5	Name=CLC2DL5	protein_coding	Dbxref=GeneID:776458	566.976	68.7404	27.5717	75.757
NC_052532.1	Gnomon	gene	284389	286643	.	+	.	gene-LOC124418403	Name=LOC124418403	protein_coding	Dbxref=GeneID:124418403	903	0	0	0
NC_052532.1	Gnomon	gene	302848	305571	.	-	.	gene-LOC121109243	Name=LOC121109243	protein_coding	Dbxref=CGNC:89109,GeneID:121109243	768	26.4709	12.1642	21.0372
NC_052532.1	Gnomon	gene	328845	331405	.	-	.	gene-LOC121113330	Name=LOC121113330	protein_coding	Dbxref=CGNC:93174,GeneID:121113330	903	0	0	0
NC_052532.1	Gnomon	gene	332452	335004	.	-	.	gene-LOC121113331	Name=LOC121113331	protein_coding	Dbxref=CGNC:93175,GeneID:121113331	768	5.70606	3.53128	6.47331
NC_052532.1	Gnomon	gene	347656	364453	.	-	.	gene-LOC121109246	Name=LOC121109246	protein_coding	Dbxref=CGNC:89112,GeneID:121109246	486	0	0	0
NC_052532.1	Gnomon	gene	364859	378030	.	+	.	gene-LOC121109235	Name=LOC121109235	protein_coding	Dbxref=CGNC:89101,GeneID:121109235	1021.63	43.5775	35.5581	38.61
NC_052532.1	Gnomon	gene	396280	417775	.	-	.	gene-LOC124418405	Name=LOC124418405	lncRNA	Dbxref=GeneID:124418405	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	410765	414113	.	-	.	gene-CD69L	Name=CD69L	protein_coding	Dbxref=CGNC:50599,GeneID:417816	597	71.4579	92.5543	63.0608
NC_052532.1	Gnomon	gene	417860	422416	.	+	.	gene-LOC124418404	Name=LOC124418404	protein_coding	Dbxref=GeneID:124418404	609	2.29903	0.765599	1.18209
NC_052532.1	Gnomon	gene	417860	421495	.	+	.	gene-LOC121113329	Name=LOC121113329	protein_coding	Dbxref=CGNC:93173,GeneID:121113329	978	3.51564	2.36807	3.36117
NC_052532.1	Gnomon	gene	429715	436651	.	+	.	gene-LOC107049847	Name=LOC107049847	protein_coding	Dbxref=CGNC:72863,GeneID:107049847	778.992	11.4827	11.3438	12.3078
NC_052532.1	Gnomon	gene	444128	446305	.	-	.	gene-LOC121113363	Name=LOC121113363	protein_coding	Dbxref=CGNC:93207,GeneID:121113363	978	0.219606	1.13197	0
NC_052532.1	Gnomon	gene	445321	453573	.	-	.	gene-LOC430443	Name=LOC430443	protein_coding	Dbxref=CGNC:53939,GeneID:430443	567	0	0	0
NC_052532.1	Gnomon	gene	456863	493923	.	+	.	gene-GOLGB1	Name=GOLGB1	protein_coding	Dbxref=CGNC:7433,GeneID:426868	9529.7	2.98933	2.85294	3.03316
NC_052532.1	BestRefSeq%2CGnomon	gene	495336	507494	.	+	.	gene-HCLS1	Name=HCLS1	protein_coding	Dbxref=CGNC:7430,GeneID:426867	1555.49	4.28176	5.05839	5.02454
NC_052532.1	Gnomon	gene	509661	511097	.	-	.	gene-OR9Q1	Name=OR9Q1	protein_coding	Dbxref=CGNC:7428,GeneID:431295	984	0	0	0
NC_052532.1	Gnomon	gene	520731	524108	.	-	.	gene-NME6	Name=NME6	protein_coding	Dbxref=CGNC:7425,GeneID:426866	561	3.41948	0.427033	1.75965
NC_052532.1	BestRefSeq%2CGnomon	gene	524142	528113	.	+	.	gene-RABL2A	Name=RABL2A	protein_coding	Dbxref=CGNC:52914,GeneID:426865	672	0.337322	2.3589	2.42607
NC_052532.1	Gnomon	gene	529035	531524	.	-	.	gene-ACR	Name=ACR	protein_coding	Dbxref=CGNC:16917,GeneID:426864	1065	0.386248	0.192909	0.197882
NC_052532.1	Gnomon	gene	532303	537908	.	-	.	gene-ARSA	Name=ARSA	protein_coding	Dbxref=CGNC:7409,GeneID:426863	1318.39	5.29883	7.53714	4.94724
NC_052532.1	Gnomon	gene	539690	541508	.	-	.	gene-ACRL	Name=ACRL	protein_coding	Dbxref=CGNC:55044,GeneID:769176	1065	0	0	0
NC_052532.1	BestRefSeq	gene	558308	558368	.	+	.	gene-MIR12207	Name=MIR12207	miRNA	Dbxref=CGNC:86289,GeneID:114483681,miRBase:MI0040655	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	565904	848673	.	+	.	gene-SHANK3	Name=SHANK3	protein_coding	Dbxref=CGNC:68428,GeneID:101748950	5625	6.31848	5.11328	6.78552
NC_052532.1	BestRefSeq	gene	709518	709627	.	+	.	gene-MIR6708	Name=MIR6708	miRNA	Dbxref=CGNC:71845,GeneID:102465417,miRBase:MI0022530	NA	NA	NA	NA
NC_052532.1	BestRefSeq	gene	734201	734297	.	+	.	gene-MIR1604	Name=MIR1604	miRNA	Dbxref=CGNC:60770,GeneID:100315910,miRBase:MI0007331	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	843258	848673	.	+	.	gene-LOC121109250	Name=LOC121109250	protein_coding	Dbxref=CGNC:89116,GeneID:121109250	1275	0.786062	1.4133	1.93171
NC_052532.1	Gnomon	gene	844264	848673	.	+	.	gene-LOC124417014	Name=LOC124417014	protein_coding	Dbxref=GeneID:124417014	909	0.697777	0.929363	0.954003
NC_052532.1	Gnomon	gene	844264	848673	.	+	.	gene-LOC124417137	Name=LOC124417137	protein_coding	Dbxref=GeneID:124417137	1422	3.75585	3.05679	1.99342
NC_052532.1	Gnomon	gene	956515	976724	.	-	.	gene-LOC124417863	Name=LOC124417863	protein_coding	Dbxref=GeneID:124417863	2853	0	0	0
NC_052532.1	Gnomon	gene	973215	989435	.	+	.	gene-PAX4	Name=PAX4	protein_coding	Dbxref=CGNC:77943,GeneID:107054978	1011	0.820704	0.409899	0.210278
NC_052532.1	BestRefSeq%2CGnomon	gene	994957	1005851	.	-	.	gene-ARF5	Name=ARF5	protein_coding	Dbxref=CGNC:49726,GeneID:396265	543	3.57434	8.03484	5.06009
NC_052532.1	BestRefSeq	gene	1006182	1011082	.	+	.	gene-GCC1	Name=GCC1	protein_coding	Dbxref=CGNC:10143,GeneID:430581	2355	2.41083	2.88954	3.12229
NC_052532.1	Gnomon	gene	1012012	1031255	.	-	.	gene-DENND6B	Name=DENND6B	protein_coding	Dbxref=CGNC:10312,GeneID:426252	1527	0.642658	1.01443	1.03906
NC_052532.1	Gnomon	gene	1038412	1109892	.	+	.	gene-PPP6R2	Name=PPP6R2	protein_coding	Dbxref=CGNC:10141,GeneID:430580	2790	18.1953	19.7828	18.1875
NC_052532.1	BestRefSeq	gene	1082968	1083051	.	+	.	gene-MIR1651	Name=MIR1651	miRNA	Dbxref=CGNC:60740,GeneID:100315880,miRBase:MI0007383	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	1119024	1180429	.	-	.	gene-SBF1	Name=SBF1	protein_coding	Dbxref=CGNC:9447,GeneID:417071	5746.11	22.6351	22.0842	21.7444
NC_052532.1	Gnomon	gene	1172974	1174631	.	-	.	gene-LOC121109567	Name=LOC121109567	lncRNA	Dbxref=CGNC:89433,GeneID:121109567	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	1180497	1183491	.	+	.	gene-ADM2	Name=ADM2	protein_coding	Dbxref=CGNC:70814,GeneID:112532887	471	0	0.545193	0
NC_052532.1	Gnomon	gene	1184775	1188178	.	+	.	gene-MIOX	Name=MIOX	protein_coding	Dbxref=CGNC:75521,GeneID:107052518	834	0	0.519854	0
NC_052532.1	BestRefSeq%2CGnomon	gene	1188297	1195042	.	-	.	gene-LMF2	Name=LMF2	protein_coding	Dbxref=CGNC:53638,GeneID:429380	2143.2	45.4187	51.3305	48.0942
NC_052532.1	Gnomon	gene	1194971	1204574	.	+	.	gene-NCAPH2	Name=NCAPH2	protein_coding	Dbxref=CGNC:10337,GeneID:426276	1842.53	3.55746	3.95015	3.19117
NC_052532.1	Gnomon	gene	1201729	1203925	.	-	.	gene-LOC121109254	Name=LOC121109254	lncRNA	Dbxref=CGNC:89120,GeneID:121109254	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	1204678	1205929	.	-	.	gene-SCO2	Name=SCO2	protein_coding	Dbxref=CGNC:66581,GeneID:429671	756	16.2903	16.8546	21.7992
NC_052532.1	BestRefSeq%2CGnomon	gene	1207608	1217623	.	+	.	gene-IRF5	Name=IRF5	protein_coding	Dbxref=CGNC:53929,GeneID:430409	1419	0.976033	0.835636	0.856339
NC_052532.1	Gnomon	gene	1218341	1241678	.	-	.	gene-TNPO3	Name=TNPO3	protein_coding	Dbxref=CGNC:10345,GeneID:426277	2685.98	18.1017	15.5616	18.0199
NC_052532.1	Gnomon	gene	1235066	1238216	.	+	.	gene-LOC112532892	Name=LOC112532892	protein_coding	Dbxref=CGNC:85844,GeneID:112532892	792	2.19757	1.37204	0.2819
NC_052532.1	BestRefSeq	gene	1241744	1250136	.	+	.	gene-SMO	Name=SMO	protein_coding	Dbxref=CGNC:5983,GeneID:395949	2451	28.1103	28.6151	30.2358
NC_052532.1	Gnomon	gene	1251066	1295884	.	+	.	gene-AHCYL2	Name=AHCYL2	protein_coding	Dbxref=CGNC:50318,GeneID:416675	1332.03	14.0676	10.6062	10.072
NC_052532.1	Gnomon	gene	1257440	1262663	.	+	.	gene-LOC121109256	Name=LOC121109256	lncRNA	Dbxref=CGNC:89122,GeneID:121109256	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	1259673	1260487	.	-	.	gene-LOC121109255	Name=LOC121109255	lncRNA	Dbxref=CGNC:89121,GeneID:121109255	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	1296502	1312012	.	+	.	gene-STRIP2	Name=STRIP2	protein_coding	Dbxref=CGNC:66264,GeneID:416676	2403	0.550566	0.39279	0.402079
NC_052532.1	Gnomon	gene	1310854	1331754	.	-	.	gene-LOC107053537	Name=LOC107053537	protein_coding	Dbxref=CGNC:76529,GeneID:107053537	552	0	0	0
NC_052532.1	Gnomon	gene	1317077	1320205	.	+	.	gene-SMKR1	Name=SMKR1	lncRNA	Dbxref=CGNC:54778,GeneID:768819	NA	NA	NA	NA
NC_052532.1	BestRefSeq%2CGnomon	gene	1330249	1378306	.	+	.	gene-NRF1	Name=NRF1	protein_coding	Dbxref=CGNC:6034,GeneID:416677	1512	6.49713	8.56597	7.31416
NC_052532.1	Gnomon	gene	1369943	1372400	.	-	.	gene-LOC121109257	Name=LOC121109257	lncRNA	Dbxref=CGNC:89123,GeneID:121109257	NA	NA	NA	NA
NC_052532.1	BestRefSeq	gene	1380872	1380953	.	-	.	gene-MIR182	Name=MIR182	miRNA	Dbxref=CGNC:86286,GeneID:114483522,miRBase:MI0029339	NA	NA	NA	NA
NC_052532.1	BestRefSeq	gene	1381942	1382027	.	-	.	gene-MIR96	Name=MIR96	miRNA	Dbxref=CGNC:86202,GeneID:114482472,miRBase:MI0029336	NA	NA	NA	NA
NC_052532.1	BestRefSeq	gene	1382053	1382150	.	-	.	gene-MIR183	Name=MIR183	miRNA	Dbxref=CGNC:59166,GeneID:777882,miRBase:MI0001278	NA	NA	NA	NA
NC_052532.1	BestRefSeq%2CGnomon	gene	1391668	1435859	.	-	.	gene-UBE2H	Name=UBE2H	protein_coding	Dbxref=CGNC:6039,GeneID:416678	552	17.9128	10.0393	14.3915
NC_052532.1	BestRefSeq	gene	1437164	1445984	.	-	.	gene-ZC3HC1	Name=ZC3HC1	protein_coding	Dbxref=CGNC:6057,GeneID:416679	1455	2.98319	3.7924	2.35941
NC_052532.1	Gnomon	gene	1446346	1461717	.	+	.	gene-KLHDC10	Name=KLHDC10	protein_coding	Dbxref=CGNC:53164,GeneID:427683	1182	4.45434	6.70559	5.615
NC_052532.1	BestRefSeq	gene	1455180	1455289	.	+	.	gene-MIR6629	Name=MIR6629	miRNA	Dbxref=CGNC:71795,GeneID:102465367,miRBase:MI0022448	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	1462129	1468425	.	-	.	gene-LOC100859230	Name=LOC100859230	protein_coding	Dbxref=CGNC:63900,GeneID:100859230	2223	0	0	0
NC_052532.1	Gnomon	gene	1471505	1483339	.	-	.	gene-TMEM209	Name=TMEM209	protein_coding	Dbxref=CGNC:50319,GeneID:416681	1683	1.9633100000000001	1.4996	1.29976
NC_052532.1	BestRefSeq%2CGnomon	gene	1486907	1496412	.	+	.	gene-CPA2	Name=CPA2	protein_coding	Dbxref=CGNC:50320,GeneID:416682	1427	0	0	0
NC_052532.1	BestRefSeq	gene	1498128	1502431	.	+	.	gene-CPA5	Name=CPA5	protein_coding	Dbxref=CGNC:50321,GeneID:416683	1260	0	0	0
NC_052532.1	BestRefSeq	gene	1503315	1507083	.	+	.	gene-CPA1	Name=CPA1	protein_coding	Dbxref=CGNC:49239,GeneID:395276	1260	0.159329	0.477442	0
NC_052532.1	BestRefSeq%2CGnomon	gene	1508573	1516897	.	-	.	gene-CEP41	Name=CEP41	protein_coding	Dbxref=CGNC:6138,GeneID:416684	921	0.228992	0.914977	0.70438
NC_052532.1	Gnomon	gene	1517053	1522237	.	+	.	gene-MEST	Name=MEST	protein_coding	Dbxref=CGNC:6146,GeneID:427684	990	3.36447	2.54773	3.3749
NC_052532.1	Gnomon	gene	1522137	1541139	.	-	.	gene-COPG2	Name=COPG2	protein_coding	Dbxref=CGNC:50322,GeneID:416685	2616	7.25893	6.02987	6.61254
NC_052532.1	Gnomon	gene	1552251	1556861	.	+	.	gene-IL15RA	Name=IL15RA	protein_coding	Dbxref=CGNC:50323,GeneID:416686	686.584	0.656456	1.78676	1.47067
NC_052532.1	BestRefSeq%2CGnomon	gene	1557871	1582322	.	-	.	gene-FBXO18	Name=FBXO18	protein_coding	Dbxref=CGNC:6188,GeneID:416687	3057	6.89117	6.21282	5.90311
NC_052532.1	BestRefSeq%2CGnomon	gene	1582457	1598992	.	+	.	gene-ANKRD16	Name=ANKRD16	protein_coding	Dbxref=CGNC:6194,GeneID:416688	1152	3.52856	5.44847	3.34076
NC_052532.1	BestRefSeq%2CGnomon	gene	1600031	1614891	.	+	.	gene-GDI1	Name=GDI1	protein_coding	Dbxref=CGNC:49512,GeneID:395854	1347	59.4116	56.8339	54.3171
NC_052532.1	Gnomon	gene	1600984	1648496	.	-	.	gene-FAM208B	Name=FAM208B	protein_coding	Dbxref=CGNC:50324,GeneID:416689	7629	2.7284	3.52361	3.00478
NC_052532.1	Gnomon	gene	1625992	1632285	.	+	.	gene-LOC107053421	Name=LOC107053421	lncRNA	Dbxref=CGNC:76413,GeneID:107053421	NA	NA	NA	NA
NC_052532.1	BestRefSeq%2CGnomon	gene	1649743	1666207	.	+	.	gene-ASB13	Name=ASB13	protein_coding	Dbxref=CGNC:6365,GeneID:416691	837	7.9613	9.48648	9.4846
NC_052532.1	BestRefSeq	gene	1671742	1672766	.	-	.	gene-CALML3	Name=CALML3	protein_coding	Dbxref=CGNC:50326,GeneID:416692	450	0	0	0
NC_052532.1	BestRefSeq%2CGnomon	gene	1675662	1727670	.	-	.	gene-NET1	Name=NET1	protein_coding	Dbxref=CGNC:6397,GeneID:416693	1628.37	9.57955	9.12297	8.60791
NC_052532.1	BestRefSeq	gene	1736945	1743451	.	+	.	gene-TUBAL3	Name=TUBAL3	protein_coding	Dbxref=CGNC:50327,GeneID:416694	1380	0	0.287347	0.441735
NC_052532.1	Gnomon	gene	1743527	1751553	.	-	.	gene-LOC416695	Name=LOC416695	protein_coding	Dbxref=CGNC:50328,GeneID:416695	711	0	0	0.32253
NC_052532.1	Gnomon	gene	1748687	1755830	.	-	.	gene-UCN3	Name=UCN3	protein_coding	Dbxref=CGNC:16844,GeneID:769274	465	0	0	0
NC_052532.1	Gnomon	gene	1765103	1860279	.	-	.	gene-LOC416696	Name=LOC416696	protein_coding	Dbxref=CGNC:50329,GeneID:416696	7473	0.121152	0.193603	0.148489
NC_052532.1	BestRefSeq	gene	1811738	1811835	.	-	.	gene-MIR205B	Name=MIR205B	miRNA	Dbxref=CGNC:59127,GeneID:777842,miRBase:MI0001238	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	1880051	1894790	.	+	.	gene-SLC35B4	Name=SLC35B4	protein_coding	Dbxref=CGNC:6418,GeneID:416698	996	4.17591	3.96274	4.06605
NC_052532.1	Gnomon	gene	1901233	1950389	.	-	.	gene-LRGUK	Name=LRGUK	protein_coding	Dbxref=CGNC:66265,GeneID:416699	2224.5	0	0	0
NC_052532.1	Gnomon	gene	1917083	1921694	.	+	.	gene-LOC121109260	Name=LOC121109260	lncRNA	Dbxref=CGNC:89126,GeneID:121109260	NA	NA	NA	NA
NC_052532.1	BestRefSeq	gene	1959621	2369443	.	-	.	gene-EXOC4	Name=EXOC4	protein_coding	Dbxref=CGNC:6429,GeneID:416700	2847	9.07001	9.4157	9.00238
NC_052532.1	Gnomon	gene	2169339	2173642	.	+	.	gene-LOC112532918	Name=LOC112532918	protein_coding	Dbxref=CGNC:85858,GeneID:112532918	1509	0	0	0
NC_052532.1	Gnomon	gene	2174827	2178480	.	+	.	gene-LOC107053233	Name=LOC107053233	protein_coding	Dbxref=CGNC:76227,GeneID:107053233	1014	0	0.204241	0
NC_052532.1	Gnomon	gene	2182567	2186710	.	+	.	gene-LOC101747803	Name=LOC101747803	protein_coding	Dbxref=CGNC:67296,GeneID:101747803	909	0	0	0
NC_052532.1	Gnomon	gene	2187139	2191146	.	+	.	gene-LOC121109261	Name=LOC121109261	protein_coding	Dbxref=CGNC:89127,GeneID:121109261	1440	0	0	0.421205
NC_052532.1	Gnomon	gene	2195589	2197505	.	+	.	gene-LOC107055494	Name=LOC107055494	protein_coding	Dbxref=CGNC:78450,GeneID:107055494	795	0.273428	0.273139	0
NC_052532.1	Gnomon	gene	2201044	2204145	.	+	.	gene-LOC101750035	Name=LOC101750035	protein_coding	Dbxref=CGNC:69491,GeneID:101750035	1560	0	0.137013	0
NC_052532.1	Gnomon	gene	2209308	2217099	.	+	.	gene-LOC101749355	Name=LOC101749355	protein_coding	Dbxref=CGNC:68827,GeneID:101749355	1299	0	0	0.157616
NC_052532.1	BestRefSeq	gene	2247775	2247884	.	-	.	gene-MIR6659	Name=MIR6659	miRNA	Dbxref=CGNC:71909,GeneID:102466183,miRBase:MI0022479	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	2397260	2399967	.	-	.	gene-LOC121109676	Name=LOC121109676	protein_coding	Dbxref=CGNC:89542,GeneID:121109676	910.5	0	0	0
NC_052532.1	Gnomon	gene	2403717	2407822	.	-	.	gene-LOC121110529	Name=LOC121110529	protein_coding	Dbxref=CGNC:90391,GeneID:121110529	1434	0	0	0
NC_052532.1	Gnomon	gene	2409585	2414879	.	-	.	gene-LOC121109657	Name=LOC121109657	protein_coding	Dbxref=CGNC:89523,GeneID:121109657	1669.5	0	0	0
NC_052532.1	Gnomon	gene	2416720	2420281	.	-	.	gene-LOC121110531	Name=LOC121110531	protein_coding	Dbxref=CGNC:90393,GeneID:121110531	1308	0	0	0
NC_052532.1	Gnomon	gene	2439376	2442768	.	-	.	gene-LOC107053701	Name=LOC107053701	protein_coding	Dbxref=CGNC:76689,GeneID:107053701	910.5	0	0	0
NC_052532.1	Gnomon	gene	2446476	2449796	.	-	.	gene-LOC121109359	Name=LOC121109359	protein_coding	Dbxref=CGNC:89225,GeneID:121109359	1512	0.032486	0	0
NC_052532.1	Gnomon	gene	2452996	2457484	.	-	.	gene-LOC121109689	Name=LOC121109689	protein_coding	Dbxref=CGNC:89555,GeneID:121109689	1512	0.032486	0	0
NC_052532.1	Gnomon	gene	2460011	2464431	.	-	.	gene-LOC121109268	Name=LOC121109268	protein_coding	Dbxref=CGNC:89134,GeneID:121109268	1512	0.032486	0	0
NC_052532.1	Gnomon	gene	2468828	2473245	.	-	.	gene-LOC121109273	Name=LOC121109273	protein_coding	Dbxref=CGNC:89139,GeneID:121109273	1512	0.032486	0	0
NC_052532.1	Gnomon	gene	2473664	2511212	.	-	.	gene-LOC112532931	Name=LOC112532931	lncRNA	Dbxref=CGNC:85865,GeneID:112532931	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	2511431	2721092	.	+	.	gene-CHCHD3	Name=CHCHD3	protein_coding	Dbxref=CGNC:4892,GeneID:418435	712.059	42.0045	46.8492	43.1059
NC_052532.1	Gnomon	gene	2548126	2550129	.	-	.	gene-LOC101750196	Name=LOC101750196	protein_coding	Dbxref=CGNC:69651,GeneID:101750196	777	0	0	0
NC_052532.1	Gnomon	gene	2555652	2556957	.	-	.	gene-LOC121109715	Name=LOC121109715	protein_coding	Dbxref=CGNC:89581,GeneID:121109715	621	0	0.373138	0
NC_052532.1	Gnomon	gene	2557178	2558808	.	-	.	gene-LOC121109712	Name=LOC121109712	protein_coding	Dbxref=CGNC:89578,GeneID:121109712	678	0	0	0
NC_052532.1	Gnomon	gene	2563244	2564550	.	-	.	gene-LOC121109716	Name=LOC121109716	protein_coding	Dbxref=CGNC:89582,GeneID:121109716	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	2564771	2566389	.	-	.	gene-LOC121109274	Name=LOC121109274	protein_coding	Dbxref=CGNC:89140,GeneID:121109274	678	0	0	0
NC_052532.1	Gnomon	gene	2570832	2572117	.	-	.	gene-LOC121109714	Name=LOC121109714	protein_coding	Dbxref=CGNC:89580,GeneID:121109714	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	2578440	2581564	.	-	.	gene-LOC107054205	Name=LOC107054205	protein_coding	Dbxref=CGNC:77187,GeneID:107054205	1440	0.274342	0	0
