Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Length	rna_10	rna_16	rna_KI01
chr1	EviAnn	gene	3371189	3390843	.	-	.	LOC_00000010	geneID=LOC_00000010	protein_coding	tc1a:_Transposable_element_Tc1_transposase_(Caenorhabditis_elegans)	15887	1.77148	10.4743	1.97734
chr1	EviAnn	gene	3373719	3391684	.	-	.	LOC_00000011	geneID=LOC_00000011	protein_coding	TMX1:_Thioredoxin-related_transmembrane_protein_1_(Homo_sapiens)	12176	5.4758	1.99971	4.89564
chr1	EviAnn	gene	3392570	3452900	.	-	.	LOC_00000012	geneID=LOC_00000012	protein_coding	Klhl28:_Kelch-like_protein_28_(Mus_musculus)	12111.4	119.305	108.288	113.622
chr1	EviAnn	gene	3414851	3466752	.	+	.	LOC_00000013	geneID=LOC_00000013	protein_coding	Togaram1:_TOG_array_regulator_of_axonemal_microtubules_protein_1_(Mus_musculus)	2272.07	82.8845	51.8367	63.8802
chr1	EviAnn	gene	3477124	3518037	.	+	.	LOC_00000014	geneID=LOC_00000014	protein_coding	PRPF39:_Pre-mRNA-processing_factor_39_(Homo_sapiens)	4516.69	70.1084	49.5087	58.3751
chr1	EviAnn	gene	3521818	3536191	.	-	.	LOC_00000015	geneID=LOC_00000015	protein_coding	FKBP3:_Peptidyl-prolyl_cis-trans_isomerase_FKBP3_(Bos_taurus)	8851	232.311	172.809	299.642
chr1	EviAnn	gene	3528534	3596164	.	+	.	LOC_00000016	geneID=LOC_00000016	protein_coding	FANCM:_Fanconi_anemia_group_M_protein_(Gallus_gallus)	11907.2	1.54124	2.1364899999999998	1.08531
chr1	EviAnn	gene	3592972	3629693	.	-	.	LOC_00000017	geneID=LOC_00000017	protein_coding	MIS18BP1:_Mis18-binding_protein_1_(Homo_sapiens)	4236.12	62.9831	50.6818	57.5325
chr1	EviAnn	gene	3743897	3751391	.	-	.	LOC_00000018	geneID=LOC_00000018	protein_coding	function_unknown	7495	71.2523	53.5203	101.692
chr1	EviAnn	gene	4082487	4088442	.	+	.	XLOC_000006U_lncRNA	geneID=XLOC_000006U_lncRNA	lncRNA	function_unknown	248	0	0	0
chr1	EviAnn	gene	4301178	4980788	.	-	.	LOC_00000019	geneID=LOC_00000019	protein_coding	MDGA2:_MAM_domain-containing_glycosylphosphatidylinositol_anchor_protein_2_(Homo_sapiens)	2871	0	0	0
chr1	EviAnn	gene	4359741	4360256	.	+	.	LOC_00000020	geneID=LOC_00000020	processed_pseudogene	pseudo=true	NA	NA	NA	NA
chr1	EviAnn	gene	4548991	4549821	.	+	.	LOC_00000021	geneID=LOC_00000021	protein_coding	F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)	831	3.12997	3.58356	11.1826
chr1	EviAnn	gene	5692739	5705226	.	-	.	LOC_00000022	geneID=LOC_00000022	protein_coding	Hjv:_Hemojuvelin_(Mus_musculus)	2407	0	0	0
chr1	EviAnn	gene	5759677	5782594	.	+	.	LOC_00000023	geneID=LOC_00000023	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	22918	54.8657	68.5541	193.383
chr1	EviAnn	gene	5761831	5782581	.	+	.	LOC_00000024	geneID=LOC_00000024	protein_coding	function_unknown	13427	6.6588	35.4618	31.6635
chr1	EviAnn	gene	5805157	5818362	.	-	.	LOC_00000025	geneID=LOC_00000025	protein_coding	function_unknown	10881	83.079	125.577	129.077
chr1	EviAnn	gene	5931556	5937422	.	+	.	LOC_00000026	geneID=LOC_00000026	protein_coding	rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)	3601	224.247	111.334	130.06
chr1	EviAnn	gene	5937462	5953984	.	+	.	LOC_00000027	geneID=LOC_00000027	protein_coding	SCAND3:_SCAN_domain-containing_protein_3_(Homo_sapiens)	4864.76	148.565	115.196	175.058
chr1	EviAnn	gene	5954052	5959849	.	-	.	LOC_00000028	geneID=LOC_00000028	protein_coding	rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)	3538	20.5649	14.2099	11.6552
chr1	EviAnn	gene	5966276	5982187	.	+	.	LOC_00000029	geneID=LOC_00000029	protein_coding	LRR1:_Leucine-rich_repeat_protein_1_(Homo_sapiens)	4613.88	30.4087	35.4319	25.75
chr1	EviAnn	gene	5988509	6015265	.	-	.	LOC_00000030	geneID=LOC_00000030	protein_coding	DNAAF2:_Protein_kintoun_(Homo_sapiens)	2955	104.504	61.922	71.5832
chr1	EviAnn	gene	6018721	6052455	.	-	.	LOC_00000031	geneID=LOC_00000031	protein_coding	POLE2:_DNA_polymerase_epsilon_subunit_2_(Gallus_gallus)	8227.36	156.413	101.938	118.008
chr1	EviAnn	gene	6057054	6087198	.	+	.	LOC_00000032	geneID=LOC_00000032	protein_coding	KLHDC1:_Kelch_domain-containing_protein_1_(Homo_sapiens)	5140.42	15.306	7.32272	15.3749
chr1	EviAnn	gene	6091846	6120787	.	+	.	LOC_00000033	geneID=LOC_00000033	protein_coding	KLHDC2:_Kelch_domain-containing_protein_2_(Homo_sapiens)	2483.07	53.6258	23.5089	18.8467
chr1	EviAnn	gene	6121776	6152800	.	-	.	LOC_00000034	geneID=LOC_00000034	protein_coding	Nemf:_Ribosome_quality_control_complex_subunit_NEMF_(Mus_musculus)	3809.69	51.507	29.2575	31.043
chr1	EviAnn	gene	6162041	6206735	.	+	.	LOC_00000035	geneID=LOC_00000035	protein_coding	Arf6:_ADP-ribosylation_factor_6_(Rattus_norvegicus)	24010.6	12.8918	4.25813	8.13292
chr1	EviAnn	gene	6241383	6252536	.	-	.	LOC_00000036	geneID=LOC_00000036	protein_coding	Vcpkmt:_Protein_N-lysine_methyltransferase_METTL21D_(Mus_musculus)	2197.42	201.856	131.874	154.88
chr1	EviAnn	gene	6241431	6249685	.	-	.	LOC_00000037	geneID=LOC_00000037	protein_coding	function_unknown	5785	20.2748	6.76395	12.6266
chr1	EviAnn	gene	6252681	6304380	.	-	.	LOC_00000038	geneID=LOC_00000038	protein_coding	SOS2:_Son_of_sevenless_homolog_2_(Homo_sapiens)	10919	211.52	135.071	157.156
chr1	EviAnn	gene	6307606	6346315	.	-	.	LOC_00000039	geneID=LOC_00000039	protein_coding	L2HGDH:_L-2-hydroxyglutarate_dehydrogenase,_mitochondrial_(Bos_taurus)	18226.9	54.7188	60.4014	59.4954
chr1	EviAnn	gene	6345955	6363333	.	+	.	LOC_00000040	geneID=LOC_00000040	protein_coding	DMAC2L:_ATP_synthase_subunit_s,_mitochondrial_(Bos_taurus)	5623.1	7.02856	8.87722	8.30555
chr1	EviAnn	gene	6361088	6392338	.	-	.	LOC_00000041	geneID=LOC_00000041	protein_coding	CDKL1:_Cyclin-dependent_kinase-like_1_(Homo_sapiens)	4431	20.345	15.8327	13.104
chr1	EviAnn	gene	6397940	6509961	.	-	.	LOC_00000042	geneID=LOC_00000042	protein_coding	MAP4K5:_Mitogen-activated_protein_kinase_kinase_kinase_kinase_5_(Homo_sapiens)	4030	0.52255	0	0
chr1	EviAnn	gene	6548633	6593342	.	+	.	LOC_00000043	geneID=LOC_00000043	protein_coding	ATL1:_Atlastin-1_(Macaca_fascicularis)	2644	15.5362	6.17155	9.83225
chr1	EviAnn	gene	6592303	6609296	.	-	.	LOC_00000044	geneID=LOC_00000044	protein_coding	Sav1:_Protein_salvador_homolog_1_(Mus_musculus)	11042	2.77353	1.70831	2.90124
chr1	EviAnn	gene	6629968	6784357	.	-	.	LOC_00000045	geneID=LOC_00000045	protein_coding	NIN:_Ninein_(Homo_sapiens)	16079.2	84.172	78.6856	87.4322
chr1	EviAnn	gene	6777016	6838777	.	+	.	LOC_00000046	geneID=LOC_00000046	protein_coding	ABHD12B:_Protein_ABHD12B_(Homo_sapiens)	1382.5	0	0	0
chr1	EviAnn	gene	6839434	6882891	.	-	.	LOC_00000047	geneID=LOC_00000047	protein_coding	PYGL:_Glycogen_phosphorylase,_liver_form_(Bos_taurus)	3181	1.34177	3.09472	0
chr1	EviAnn	gene	6903486	6986488	.	-	.	LOC_00000048	geneID=LOC_00000048	protein_coding	TRIM9:_E3_ubiquitin-protein_ligase_TRIM9_(Bos_taurus)	2323.65	0	0	1.49416
chr1	EviAnn	gene	7037868	7083729	.	+	.	LOC_00000049	geneID=LOC_00000049	protein_coding	DDHD1:_Phospholipase_DDHD1_(Homo_sapiens)	5693	0.413228	2.30844	0.277257
chr1	EviAnn	gene	7038022	7083729	.	+	.	LOC_00000050	geneID=LOC_00000050	protein_coding	function_unknown	6408	12.2169	22.9629	16.0736
chr1	EviAnn	gene	7116644	7275712	.	+	.	LOC_00000051	geneID=LOC_00000051	protein_coding	FERMT2:_Fermitin_family_homolog_2_(Homo_sapiens)	3812.81	13.847	5.91823	5.62292
chr1	EviAnn	gene	7292586	7323311	.	+	.	LOC_00000052	geneID=LOC_00000052	protein_coding	GNPNAT1:_Glucosamine_6-phosphate_N-acetyltransferase_(Pongo_abelii)	4924.45	186.907	112.942	92.3344
chr1	EviAnn	gene	7302367	7309702	.	+	.	LOC_00000053	geneID=LOC_00000053	protein_coding	function_unknown	7108	61.1209	51.7528	69.4963
chr1	EviAnn	gene	7321814	7369260	.	-	.	LOC_00000054	geneID=LOC_00000054	protein_coding	STYX:_Serine/threonine/tyrosine-interacting_protein_(Pongo_abelii)	3479	21.3533	12.6667	15.419
chr1	EviAnn	gene	7373311	7395529	.	-	.	LOC_00000055	geneID=LOC_00000055	protein_coding	Psmc6:_26S_proteasome_regulatory_subunit_10B_(Mus_musculus)	2786	2.3189	0.891138	0
chr1	EviAnn	gene	7408192	7443478	.	+	.	LOC_00000056	geneID=LOC_00000056	protein_coding	ERO1A:_ERO1-like_protein_alpha_(Homo_sapiens)	6374	13.3036	3.74577	7.81938
chr1	EviAnn	gene	7440182	7468665	.	-	.	LOC_00000057	geneID=LOC_00000057	protein_coding	GPR137C:_Integral_membrane_protein_GPR137C_(Homo_sapiens)	8429.18	55.509	55.3208	43.5778
chr1	EviAnn	gene	7468779	7523387	.	+	.	LOC_00000058	geneID=LOC_00000058	protein_coding	TXNDC16:_Thioredoxin_domain-containing_protein_16_(Homo_sapiens)	5965	14.638	15.7112	18.6608
chr1	EviAnn	gene	7554499	7571866	.	-	.	LOC_00000059	geneID=LOC_00000059	protein_coding	Ptger2:_Prostaglandin_E2_receptor_EP2_subtype_(Rattus_norvegicus)	1027.5	0	4.79143	10.0677
chr1	EviAnn	gene	7590818	7611183	.	-	.	LOC_00000060	geneID=LOC_00000060	protein_coding	Ptgdr:_Prostaglandin_D2_receptor_(Mus_musculus)	1197	3.98562	2.28927	4.76902
chr1	EviAnn	gene	7681904	7751136	.	+	.	LOC_00000061	geneID=LOC_00000061	protein_coding	NID2:_Nidogen-2_(Homo_sapiens)	5527	16.9189	14.7546	10.4172
chr1	EviAnn	gene	7748143	7764308	.	-	.	LOC_00000062	geneID=LOC_00000062	protein_coding	RTRAF:_RNA_transcription,_translation_and_transport_factor_protein_(Mus_musculus)	4299	0.48834	0.563468	0
chr1	EviAnn	gene	7768227	7836515	.	-	.	LOC_00000063	geneID=LOC_00000063	protein_coding	GNG2:_Guanine_nucleotide-binding_protein_G(I)/G(S)/G(O)_subunit_gamma-2_(Pongo_abelii)	2141.75	0	3.90069	0
chr1	EviAnn	gene	7859502	7939396	.	-	.	LOC_00000064	geneID=LOC_00000064	protein_coding	FRMD6:_FERM_domain-containing_protein_6_(Homo_sapiens)	2408.67	0	0	0
chr1	EviAnn	gene	8047271	8118174	.	-	.	LOC_00000065	geneID=LOC_00000065	protein_coding	MROH2B:_Maestro_heat-like_repeat-containing_protein_family_member_2B_(Homo_sapiens)	4419	0	0	0
chr1	EviAnn	gene	8448238	8469635	.	-	.	LOC_00000066	geneID=LOC_00000066	protein_coding	BMP4:_Bone_morphogenetic_protein_4_(Gallus_gallus)	1849.25	0	0	0
chr1	EviAnn	gene	8750719	8767424	.	+	.	LOC_00000067	geneID=LOC_00000067	protein_coding	CDKN3:_Cyclin-dependent_kinase_inhibitor_3_(Homo_sapiens)	959	7.82857	5.98473	9.34342
chr1	EviAnn	gene	8766485	8780720	.	-	.	LOC_00000068	geneID=LOC_00000068	protein_coding	Cnih1:_Protein_cornichon_homolog_1_(Mus_musculus)	6282	2.9644	0.380229	0
chr1	EviAnn	gene	8819484	8821867	.	+	.	LOC_00000069	geneID=LOC_00000069	protein_coding	Heat_shock_70_kDa_protein_(Gallus_gallus)	2384	0	1.05399	1.0993
chr1	EviAnn	gene	8832563	8923960	.	+	.	LOC_00000070	geneID=LOC_00000070	protein_coding	CGRRF1:_Cell_growth_regulator_with_RING_finger_domain_protein_1_(Homo_sapiens)	5947	0	1.31081	1.36679
chr1	EviAnn	gene	8832599	8851658	.	+	.	LOC_00000071	geneID=LOC_00000071	protein_coding	function_unknown	10332	2.57342	0.913915	3.57773
chr1	EviAnn	gene	8859194	9040348	.	+	.	LOC_00000072	geneID=LOC_00000072	protein_coding	SAMD4A:_Protein_Smaug_homolog_1_(Homo_sapiens)	11436	0.535272	1.23637	0.215118
chr1	EviAnn	gene	9084758	9134060	.	-	.	LOC_00000073	geneID=LOC_00000073	protein_coding	GCH1:_GTP_cyclohydrolase_1_(Homo_sapiens)	765	0	0	0
chr1	EviAnn	gene	9148255	9199371	.	-	.	LOC_00000074	geneID=LOC_00000074	protein_coding	WDHD1:_WD_repeat_and_HMG-box_DNA-binding_protein_1_(Homo_sapiens)	8089.91	3.37065	8.74143	4.9316
chr1	EviAnn	gene	9211165	9212475	.	+	.	LOC_00000075	geneID=LOC_00000075	protein_coding	SOCS4:_Suppressor_of_cytokine_signaling_4_(Bos_taurus)	1311	0	0	0
chr1	EviAnn	gene	9238559	9253496	.	+	.	LOC_00000076	geneID=LOC_00000076	protein_coding	Mapk1ip1l:_MAPK-interacting_and_spindle-stabilizing_protein-like_(Mus_musculus)	11881	0.686529	1.58577	0.827741
chr1	EviAnn	gene	9263309	9266912	.	-	.	LOC_00000077	geneID=LOC_00000077	protein_coding	function_unknown	2697	17.8083	23.0091	42.8119
chr1	EviAnn	gene	9264024	9300546	.	+	.	LOC_00000078	geneID=LOC_00000078	protein_coding	Lgals3:_Galectin-3_(Rattus_norvegicus)	2797.34	291.68	175.052	204.134
chr1	EviAnn	gene	9302288	9331752	.	-	.	LOC_00000079	geneID=LOC_00000079	protein_coding	DLGAP5:_Disks_large-associated_protein_5_(Homo_sapiens)	4215.49	31.4037	8.46825	12.0993
chr1	EviAnn	gene	9314737	9323022	.	-	.	LOC_00000080	geneID=LOC_00000080	protein_coding	LINE-1_retrotransposable_element_ORF2_protein_(Homo_sapiens)	5043	28.7342	15.8132	19.4935
chr1	EviAnn	gene	9331790	9338874	.	+	.	LOC_00000081	geneID=LOC_00000081	protein_coding	Imp3:_U3_small_nucleolar_ribonucleoprotein_protein_IMP3_(Mus_musculus)	3176.5	0	0	1.31315
chr1	EviAnn	gene	9348097	9430438	.	+	.	LOC_00000083	geneID=LOC_00000083	protein_coding	FBXO34:_F-box_only_protein_34_(Homo_sapiens)	30361.6	14.6368	5.64837	9.40921
chr1	EviAnn	gene	9348212	9427137	.	+	.	LOC_00000084	geneID=LOC_00000084	protein_coding	function_unknown	13751	1.07832	0	0
chr1	EviAnn	gene	9373606	9421494	.	+	.	LOC_00000082	geneID=LOC_00000082	protein_coding	function_unknown	13582	1.67008	1.21579	1.15292
chr1	EviAnn	gene	9434502	9447802	.	+	.	LOC_00000085	geneID=LOC_00000085	protein_coding	CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)	9639	9.96783	11.2014	9.8883
chr1	EviAnn	gene	9478041	9498091	.	-	.	LOC_00000086	geneID=LOC_00000086	protein_coding	ATG14:_Beclin_1-associated_autophagy-related_key_regulator_(Homo_sapiens)	11264.6	13.996	13.5873	6.01013
chr1	EviAnn	gene	9499964	9511495	.	-	.	LOC_00000087	geneID=LOC_00000087	protein_coding	tbpl2:_TATA_box-binding_protein-like_2_(Xenopus_laevis)	963	0	0	0
chr1	EviAnn	gene	9516850	9537815	.	-	.	LOC_00000088	geneID=LOC_00000088	protein_coding	ACTR10:_Actin-related_protein_10_(Bos_taurus)	5443	3.0559	1.32267	1.38046
chr1	EviAnn	gene	9672369	9838680	.	+	.	LOC_00000089	geneID=LOC_00000089	protein_coding	Slc35f4:_Solute_carrier_family_35_member_F4_(Mus_musculus)	1605	1.41816	0	0
chr1	EviAnn	gene	9844504	9863098	.	+	.	LOC_00000090	geneID=LOC_00000090	protein_coding	CCDC198:_Factor_associated_with_metabolism_and_energy_(Homo_sapiens)	894	5.70034	3.26589	0
chr1	EviAnn	gene	9867851	9908238	.	-	.	XLOC_001634U_lncRNA	geneID=XLOC_001634U_lncRNA	lncRNA	function_unknown	9522	6.60221	0.694831	3.9132
chr1	EviAnn	gene	9870379	9892481	.	-	.	LOC_00000091	geneID=LOC_00000091	protein_coding	NAA30:_N-alpha-acetyltransferase_30_(Homo_sapiens)	3361.75	0	1.28178	0
chr1	EviAnn	gene	9963297	9978964	.	-	.	LOC_00000092	geneID=LOC_00000092	protein_coding	AP5M1:_AP-5_complex_subunit_mu-1_(Homo_sapiens)	2806	35.2846	38.0266	33.2111
chr1	EviAnn	gene	9978474	10013989	.	+	.	LOC_00000093	geneID=LOC_00000093	protein_coding	EXOC5:_Exocyst_complex_component_5_(Homo_sapiens)	3437.43	17.9192	19.3021	17.2957
chr1	EviAnn	gene	10493483	10507227	.	+	.	LOC_00000094	geneID=LOC_00000094	protein_coding	Otx2:_Homeobox_protein_OTX2_(Mus_musculus)	891	5.72473	0	0
chr1	EviAnn	gene	10608907	10756671	.	-	.	LOC_00000095	geneID=LOC_00000095	protein_coding	Tmem260:_Protein_O-mannosyl-transferase_TMEM260_(Mus_musculus)	5006.33	41.8178	36.2869	40.5193
chr1	EviAnn	gene	10852434	10989612	.	-	.	LOC_00000096	geneID=LOC_00000096	protein_coding	PELI2:_E3_ubiquitin-protein_ligase_pellino_homolog_2_(Homo_sapiens)	19064	17.4559	10.1716	15.0097
chr1	EviAnn	gene	11162119	11302291	.	-	.	LOC_00000097	geneID=LOC_00000097	protein_coding	KTN1:_Kinectin_(Gallus_gallus)	4995	1.67041	0	0
chr1	EviAnn	gene	11162170	11301873	.	-	.	LOC_00000098	geneID=LOC_00000098	protein_coding	function_unknown	11127	0.591099	0.439861	0
chr1	EviAnn	gene	11327463	11363330	.	+	.	LOC_00000099	geneID=LOC_00000099	protein_coding	Psma3:_Proteasome_subunit_alpha_type-3_(Mus_musculus)	16694.8	556.8	420.38	460.141
chr1	EviAnn	gene	11363606	11443684	.	+	.	LOC_00000100	geneID=LOC_00000100	protein_coding	ARID4A:_AT-rich_interactive_domain-containing_protein_4A_(Homo_sapiens)	9386.19	16.8101	9.06868	11.7064
chr1	EviAnn	gene	11446637	11450730	.	+	.	LOC_00000101	geneID=LOC_00000101	protein_coding	function_unknown	2411	89.7488	33.5825	73.6295
chr1	EviAnn	gene	11448142	11454964	.	+	.	LOC_00000102	geneID=LOC_00000102	protein_coding	TOMM20L:_TOMM20-like_protein_1_(Homo_sapiens)	849	33.4904	48.8143	32.6437
chr1	EviAnn	gene	11451761	11464310	.	-	.	LOC_00000103	geneID=LOC_00000103	protein_coding	Timm9:_Mitochondrial_import_inner_membrane_translocase_subunit_Tim9_(Rattus_norvegicus)	4089.23	18.0115	3.7224	14.1855
chr1	EviAnn	gene	11464308	11579132	.	+	.	LOC_00000104	geneID=LOC_00000104	protein_coding	TALPID3:_TALPID3_protein_(Gallus_gallus)	11891	0.171486	1.45373	0.620276
chr1	EviAnn	gene	11528419	11545885	.	-	.	LOC_00000105	geneID=LOC_00000105	protein_coding	function_unknown	17467	204.5	118.451	157.366
chr1	EviAnn	gene	11643092	11645830	.	+	.	LOC_00000106	geneID=LOC_00000106	protein_coding	DACT1:_Dapper_homolog_1_(Homo_sapiens)	2739	0	0	0
chr1	EviAnn	gene	12027608	12045169	.	-	.	LOC_00000107	geneID=LOC_00000107	protein_coding	KCNK16:_Potassium_channel_subfamily_K_member_16_(Homo_sapiens)	1030	11.9452	7.85853	23.1594
chr1	EviAnn	gene	12177619	12177723	.	-	.	LOC_00000108	geneID=LOC_00000108	protein_coding	function_unknown	105	0	0	0
chr1	EviAnn	gene	12219145	12363161	.	+	.	LOC_00000109	geneID=LOC_00000109	protein_coding	DAAM2:_Disheveled-associated_activator_of_morphogenesis_2_(Homo_sapiens)	3231	0	0	0
chr1	EviAnn	gene	12390349	12423022	.	+	.	LOC_00000112	geneID=LOC_00000112	protein_coding	JKAMP:_JNK1/MAPK8-associated_membrane_protein_(Homo_sapiens)	17284.6	120.878	70.4959	104.541
chr1	EviAnn	gene	12391432	12406863	.	-	.	LOC_00000110	geneID=LOC_00000110	protein_coding	L3HYPDH:_Trans-3-hydroxy-L-proline_dehydratase_(Homo_sapiens)	11127	29.2626	22.4475	30.3136
chr1	EviAnn	gene	12391572	12405790	.	-	.	LOC_00000111	geneID=LOC_00000111	protein_coding	function_unknown	7161	11.0822	14.4815	19.4803
chr1	EviAnn	gene	12417679	12494736	.	-	.	LOC_00000113	geneID=LOC_00000113	protein_coding	Ccdc175:_Coiled-coil_domain-containing_protein_175_(Mus_musculus)	2435	0	3.09032	5.37211
chr1	EviAnn	gene	12500590	12687816	.	-	.	LOC_00000114	geneID=LOC_00000114	protein_coding	RTN1:_Reticulon-1_(Pan_troglodytes)	2076.6	0	3.85107	0
chr1	EviAnn	gene	12713357	12806894	.	+	.	LOC_00000115	geneID=LOC_00000115	protein_coding	LRRC9:_Leucine-rich_repeat-containing_protein_9_(Homo_sapiens)	8957	14.6044	12.4941	15.924
chr1	EviAnn	gene	12834541	12861121	.	+	.	LOC_00000116	geneID=LOC_00000116	protein_coding	pcnx4:_Pecanex-like_protein_4_(Xenopus_laevis)	4914.95	58.1809	47.1742	49.1258
chr1	EviAnn	gene	12859925	12898824	.	-	.	LOC_00000117	geneID=LOC_00000117	protein_coding	DHRS7:_Dehydrogenase/reductase_SDR_family_member_7_(Homo_sapiens)	2281.92	39.3285	28.0725	34.3243
chr1	EviAnn	gene	12899949	12902745	.	-	.	LOC_00000118	geneID=LOC_00000118	protein_coding	function_unknown	835	24.8845	33.7092	19.4768
chr1	EviAnn	gene	12936873	12994195	.	+	.	LOC_00000119	geneID=LOC_00000119	protein_coding	PPM1A:_Protein_phosphatase_1A_(Bos_taurus)	17392	2.10567	3.01821	2.60069
chr1	EviAnn	gene	13152991	13166476	.	+	.	LOC_00000120	geneID=LOC_00000120	protein_coding	SIX6:_Homeobox_protein_SIX6_(Homo_sapiens)	758	0	0	0
chr1	EviAnn	gene	13233630	13241986	.	-	.	LOC_00000121	geneID=LOC_00000121	protein_coding	SIX1:_Homeobox_protein_SIX1_(Lagothrix_lagotricha)	855	0	0	0
chr1	EviAnn	gene	13296379	13320019	.	-	.	LOC_00000122	geneID=LOC_00000122	protein_coding	Six4:_Homeobox_protein_SIX4_(Mus_musculus)	2105.33	0	1.0449600000000001	0
chr1	EviAnn	gene	13326776	13495427	.	+	.	LOC_00000123	geneID=LOC_00000123	protein_coding	MNAT1:_CDK-activating_kinase_assembly_factor_MAT1_(Homo_sapiens)	3660.17	393.252	358.371	356.269
chr1	EviAnn	gene	13450115	13506981	.	-	.	LOC_00000125	geneID=LOC_00000125	protein_coding	TRMT5:_tRNA_(guanine(37)-N(1))-methyltransferase_(Bos_taurus)	23347.7	83.0488	52.1885	45.2842
chr1	EviAnn	gene	13463918	13506911	.	-	.	LOC_00000124	geneID=LOC_00000124	protein_coding	function_unknown	22403	6.51407	3.94676	26.9109
chr1	EviAnn	gene	13506809	13587676	.	+	.	LOC_00000126	geneID=LOC_00000126	protein_coding	Slc38a6:_Solute_carrier_family_38_member_6_(Rattus_norvegicus)	3971	0.568628	3.31144	7.90893
chr1	EviAnn	gene	13634755	13637267	.	+	.	XLOC_000054U_lncRNA	geneID=XLOC_000054U_lncRNA	lncRNA	function_unknown	428	88.605	94.9571	114.482
chr1	EviAnn	gene	13717847	13868823	.	+	.	LOC_00000127	geneID=LOC_00000127	protein_coding	PRKCH:_Protein_kinase_C_eta_type_(Homo_sapiens)	2077	0	0	0
chr1	EviAnn	gene	13986936	14054955	.	+	.	LOC_00000128	geneID=LOC_00000128	protein_coding	HIF1A:_Hypoxia-inducible_factor_1-alpha_(Gallus_gallus)	3916	5.38539	3.10649	12.1873
chr1	EviAnn	gene	14063018	14094863	.	+	.	LOC_00000129	geneID=LOC_00000129	protein_coding	SNAPC1:_snRNA-activating_protein_complex_subunit_1_(Macaca_fascicularis)	2086.75	0	0	0
chr1	EviAnn	gene	14174319	14217696	.	+	.	LOC_00000130	geneID=LOC_00000130	protein_coding	SYT16:_Synaptotagmin-16_(Homo_sapiens)	1759.2	0	0	0
chr1	EviAnn	gene	14583615	14905766	.	-	.	LOC_00000131	geneID=LOC_00000131	protein_coding	KCNH5:_Voltage-gated_delayed_rectifier_potassium_channel_KCNH5_(Homo_sapiens)	3156	0	0	0
chr1	EviAnn	gene	14976431	15081960	.	+	.	LOC_00000132	geneID=LOC_00000132	protein_coding	RHOJ:_Rho-related_GTP-binding_protein_RhoJ_(Homo_sapiens)	1914	0	0	0
chr1	EviAnn	gene	15095560	15100031	.	-	.	LOC_00000133	geneID=LOC_00000133	protein_coding	GPHB5:_Glycoprotein_hormone_beta-5_(Homo_sapiens)	393	0	0	0
