Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Length	rna_30	rna_35	rna_L007
chr1	EviAnn	gene	5759677	5782594	.	+	.	LOC_00000023	geneID=LOC_00000023	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	789	22.9439	33.2525	26.3875
chr1	EviAnn	gene	5761831	5782581	.	+	.	LOC_00000024	geneID=LOC_00000024	protein_coding	function_unknown	603	156.989	109.681	43.973
chr1	EviAnn	gene	5805157	5818362	.	-	.	LOC_00000025	geneID=LOC_00000025	protein_coding	function_unknown	339	427.793	359.217	283.565
chr1	EviAnn	gene	5931556	5937422	.	+	.	LOC_00000026	geneID=LOC_00000026	protein_coding	rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)	171	228.771	98.9678	0
chr1	EviAnn	gene	5937462	5953984	.	+	.	LOC_00000027	geneID=LOC_00000027	protein_coding	SCAND3:_SCAN_domain-containing_protein_3_(Homo_sapiens)	1287	4.24641	7.32635	10.9442
chr1	EviAnn	gene	5954052	5959849	.	-	.	LOC_00000028	geneID=LOC_00000028	protein_coding	rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)	NA	NA	NA	NA
chr1	EviAnn	gene	5966276	5982187	.	+	.	LOC_00000029	geneID=LOC_00000029	protein_coding	LRR1:_Leucine-rich_repeat_protein_1_(Homo_sapiens)	1674	44.1774	16.2913	27.6592
chr1	EviAnn	gene	5988509	6015265	.	-	.	LOC_00000030	geneID=LOC_00000030	protein_coding	DNAAF2:_Protein_kintoun_(Homo_sapiens)	2955	293.325	163.798	289.247
chr1	EviAnn	gene	6018721	6052455	.	-	.	LOC_00000031	geneID=LOC_00000031	protein_coding	POLE2:_DNA_polymerase_epsilon_subunit_2_(Gallus_gallus)	1494	39.421	23.6495	56.2742
chr1	EviAnn	gene	6057054	6087198	.	+	.	LOC_00000032	geneID=LOC_00000032	protein_coding	KLHDC1:_Kelch_domain-containing_protein_1_(Homo_sapiens)	894.333	0	0	12.1331
chr1	EviAnn	gene	6091846	6120787	.	+	.	LOC_00000033	geneID=LOC_00000033	protein_coding	KLHDC2:_Kelch_domain-containing_protein_2_(Homo_sapiens)	1284	21.2891	25.7118	32.9213
chr1	EviAnn	gene	6121776	6152800	.	-	.	LOC_00000034	geneID=LOC_00000034	protein_coding	Nemf:_Ribosome_quality_control_complex_subunit_NEMF_(Mus_musculus)	1973.25	0	2.57571	4.08312
chr1	EviAnn	gene	6162041	6206735	.	+	.	LOC_00000035	geneID=LOC_00000035	protein_coding	Arf6:_ADP-ribosylation_factor_6_(Rattus_norvegicus)	960	5.99865	25.978	15.4912
chr1	EviAnn	gene	6241383	6252536	.	-	.	LOC_00000036	geneID=LOC_00000036	protein_coding	Vcpkmt:_Protein_N-lysine_methyltransferase_METTL21D_(Mus_musculus)	616.277	349.428	338.807	625.674
chr1	EviAnn	gene	6241431	6249685	.	-	.	LOC_00000037	geneID=LOC_00000037	protein_coding	function_unknown	573	35.1506	61.5281	0
chr1	EviAnn	gene	6252681	6304380	.	-	.	LOC_00000038	geneID=LOC_00000038	protein_coding	SOS2:_Son_of_sevenless_homolog_2_(Homo_sapiens)	3981	83.5187	38.4433	30.9502
chr1	EviAnn	gene	6307606	6346315	.	-	.	LOC_00000039	geneID=LOC_00000039	protein_coding	L2HGDH:_L-2-hydroxyglutarate_dehydrogenase,_mitochondrial_(Bos_taurus)	786	69.1656	24.0172	0
chr1	EviAnn	gene	6345955	6363333	.	+	.	LOC_00000040	geneID=LOC_00000040	protein_coding	DMAC2L:_ATP_synthase_subunit_s,_mitochondrial_(Bos_taurus)	453	0	0	0
chr1	EviAnn	gene	6361088	6392338	.	-	.	LOC_00000041	geneID=LOC_00000041	protein_coding	CDKL1:_Cyclin-dependent_kinase-like_1_(Homo_sapiens)	1059	0	0	0
chr1	EviAnn	gene	6397940	6509961	.	-	.	LOC_00000042	geneID=LOC_00000042	protein_coding	MAP4K5:_Mitogen-activated_protein_kinase_kinase_kinase_kinase_5_(Homo_sapiens)	2617.5	0	1.68036	0
chr1	EviAnn	gene	6548633	6593342	.	+	.	LOC_00000043	geneID=LOC_00000043	protein_coding	ATL1:_Atlastin-1_(Macaca_fascicularis)	1374	0	0	3.26948
chr1	EviAnn	gene	6592303	6609296	.	-	.	LOC_00000044	geneID=LOC_00000044	protein_coding	Sav1:_Protein_salvador_homolog_1_(Mus_musculus)	1056	0	0	0
chr1	EviAnn	gene	6629968	6784357	.	-	.	LOC_00000045	geneID=LOC_00000045	protein_coding	NIN:_Ninein_(Homo_sapiens)	5899.36	0	3.4432	0
chr1	EviAnn	gene	6777016	6838777	.	+	.	LOC_00000046	geneID=LOC_00000046	protein_coding	ABHD12B:_Protein_ABHD12B_(Homo_sapiens)	859.5	0	9.47424	18.7634
chr1	EviAnn	gene	6839434	6882891	.	-	.	LOC_00000047	geneID=LOC_00000047	protein_coding	PYGL:_Glycogen_phosphorylase,_liver_form_(Bos_taurus)	2580	0	1.69085	1.68843
chr1	EviAnn	gene	6903486	6986488	.	-	.	LOC_00000048	geneID=LOC_00000048	protein_coding	TRIM9:_E3_ubiquitin-protein_ligase_TRIM9_(Bos_taurus)	2183.65	0	14.0055	0
chr1	EviAnn	gene	7037868	7083729	.	+	.	LOC_00000049	geneID=LOC_00000049	protein_coding	DDHD1:_Phospholipase_DDHD1_(Homo_sapiens)	2097	4.92746	12.1082	6.33684
chr1	EviAnn	gene	7038022	7083729	.	+	.	LOC_00000050	geneID=LOC_00000050	protein_coding	function_unknown	327	1106.62	1075.75	971.165
chr1	EviAnn	gene	7116644	7275712	.	+	.	LOC_00000051	geneID=LOC_00000051	protein_coding	FERMT2:_Fermitin_family_homolog_2_(Homo_sapiens)	2229	4.61194	0	6.51982
chr1	EviAnn	gene	7292586	7323311	.	+	.	LOC_00000052	geneID=LOC_00000052	protein_coding	GNPNAT1:_Glucosamine_6-phosphate_N-acetyltransferase_(Pongo_abelii)	654	107.451	147.268	167.077
chr1	EviAnn	gene	7302367	7309702	.	+	.	LOC_00000053	geneID=LOC_00000053	protein_coding	function_unknown	840	162.569	184.141	134.036
chr1	EviAnn	gene	7321814	7369260	.	-	.	LOC_00000054	geneID=LOC_00000054	protein_coding	STYX:_Serine/threonine/tyrosine-interacting_protein_(Pongo_abelii)	540	0	0	0
chr1	EviAnn	gene	7373311	7395529	.	-	.	LOC_00000055	geneID=LOC_00000055	protein_coding	Psmc6:_26S_proteasome_regulatory_subunit_10B_(Mus_musculus)	1170	0	4.09545	0
chr1	EviAnn	gene	7408192	7443478	.	+	.	LOC_00000056	geneID=LOC_00000056	protein_coding	ERO1A:_ERO1-like_protein_alpha_(Homo_sapiens)	1413	0	0	0
chr1	EviAnn	gene	7440182	7468665	.	-	.	LOC_00000057	geneID=LOC_00000057	protein_coding	GPR137C:_Integral_membrane_protein_GPR137C_(Homo_sapiens)	744	8.24466	7.17709	0
chr1	EviAnn	gene	7468779	7523387	.	+	.	LOC_00000058	geneID=LOC_00000058	protein_coding	TXNDC16:_Thioredoxin_domain-containing_protein_16_(Homo_sapiens)	2161.5	0	5.88918	0
chr1	EviAnn	gene	7554499	7571866	.	-	.	LOC_00000059	geneID=LOC_00000059	protein_coding	Ptger2:_Prostaglandin_E2_receptor_EP2_subtype_(Rattus_norvegicus)	1140	9.77662	29.5626	0
chr1	EviAnn	gene	7590818	7611183	.	-	.	LOC_00000060	geneID=LOC_00000060	protein_coding	Ptgdr:_Prostaglandin_D2_receptor_(Mus_musculus)	1104	15.2287	26.3251	4.3651
chr1	EviAnn	gene	7681904	7751136	.	+	.	LOC_00000061	geneID=LOC_00000061	protein_coding	NID2:_Nidogen-2_(Homo_sapiens)	4620	0	14.6277	2.74168
chr1	EviAnn	gene	7748143	7764308	.	-	.	LOC_00000062	geneID=LOC_00000062	protein_coding	RTRAF:_RNA_transcription,_translation_and_transport_factor_protein_(Mus_musculus)	750	0	0	0
chr1	EviAnn	gene	7768227	7836515	.	-	.	LOC_00000063	geneID=LOC_00000063	protein_coding	GNG2:_Guanine_nucleotide-binding_protein_G(I)/G(S)/G(O)_subunit_gamma-2_(Pongo_abelii)	216	0	0	0
chr1	EviAnn	gene	7859502	7939396	.	-	.	LOC_00000064	geneID=LOC_00000064	protein_coding	FRMD6:_FERM_domain-containing_protein_6_(Homo_sapiens)	1876.5	0	14.1361	0
chr1	EviAnn	gene	8047271	8118174	.	-	.	LOC_00000065	geneID=LOC_00000065	protein_coding	MROH2B:_Maestro_heat-like_repeat-containing_protein_family_member_2B_(Homo_sapiens)	4419	0	0	0
chr1	EviAnn	gene	8448238	8469635	.	-	.	LOC_00000066	geneID=LOC_00000066	protein_coding	BMP4:_Bone_morphogenetic_protein_4_(Gallus_gallus)	928.5	0	18.4155	0
chr1	EviAnn	gene	8750719	8767424	.	+	.	LOC_00000067	geneID=LOC_00000067	protein_coding	CDKN3:_Cyclin-dependent_kinase_inhibitor_3_(Homo_sapiens)	572	0	0	9.12884
chr1	EviAnn	gene	8766485	8780720	.	-	.	LOC_00000068	geneID=LOC_00000068	protein_coding	Cnih1:_Protein_cornichon_homolog_1_(Mus_musculus)	435	0	0	0
chr1	EviAnn	gene	8819484	8821867	.	+	.	LOC_00000069	geneID=LOC_00000069	protein_coding	Heat_shock_70_kDa_protein_(Gallus_gallus)	1908	0	7.04354	0
chr1	EviAnn	gene	8832563	8923960	.	+	.	LOC_00000070	geneID=LOC_00000070	protein_coding	CGRRF1:_Cell_growth_regulator_with_RING_finger_domain_protein_1_(Homo_sapiens)	438	17.4722	0	0
chr1	EviAnn	gene	8832599	8851658	.	+	.	LOC_00000071	geneID=LOC_00000071	protein_coding	function_unknown	447	0	0	14.7098
chr1	EviAnn	gene	8859194	9040348	.	+	.	LOC_00000072	geneID=LOC_00000072	protein_coding	SAMD4A:_Protein_Smaug_homolog_1_(Homo_sapiens)	2118	0	6.28089	0
chr1	EviAnn	gene	9084758	9134060	.	-	.	LOC_00000073	geneID=LOC_00000073	protein_coding	GCH1:_GTP_cyclohydrolase_1_(Homo_sapiens)	765	0	20.7656	0
chr1	EviAnn	gene	9148255	9199371	.	-	.	LOC_00000074	geneID=LOC_00000074	protein_coding	WDHD1:_WD_repeat_and_HMG-box_DNA-binding_protein_1_(Homo_sapiens)	3381	4.43789	2.16047	4.392
chr1	EviAnn	gene	9211165	9212475	.	+	.	LOC_00000075	geneID=LOC_00000075	protein_coding	SOCS4:_Suppressor_of_cytokine_signaling_4_(Bos_taurus)	1311	4.15728	3.58554	7.14227
chr1	EviAnn	gene	9238559	9253496	.	+	.	LOC_00000076	geneID=LOC_00000076	protein_coding	Mapk1ip1l:_MAPK-interacting_and_spindle-stabilizing_protein-like_(Mus_musculus)	726	8.51034	29.6517	5.63637
chr1	EviAnn	gene	9263309	9266912	.	-	.	LOC_00000077	geneID=LOC_00000077	protein_coding	function_unknown	390	0	0	0
chr1	EviAnn	gene	9264024	9300546	.	+	.	LOC_00000078	geneID=LOC_00000078	protein_coding	Lgals3:_Galectin-3_(Rattus_norvegicus)	786.75	0	0	7.0427
chr1	EviAnn	gene	9302288	9331752	.	-	.	LOC_00000079	geneID=LOC_00000079	protein_coding	DLGAP5:_Disks_large-associated_protein_5_(Homo_sapiens)	1695	18.6729	24.0986	25.4471
chr1	EviAnn	gene	9314737	9323022	.	-	.	LOC_00000080	geneID=LOC_00000080	protein_coding	LINE-1_retrotransposable_element_ORF2_protein_(Homo_sapiens)	1041	77.5256	37.664	32.7733
chr1	EviAnn	gene	9331790	9338874	.	+	.	LOC_00000081	geneID=LOC_00000081	protein_coding	Imp3:_U3_small_nucleolar_ribonucleoprotein_protein_IMP3_(Mus_musculus)	564	0	10.4928	0
chr1	EviAnn	gene	9348097	9430438	.	+	.	LOC_00000083	geneID=LOC_00000083	protein_coding	FBXO34:_F-box_only_protein_34_(Homo_sapiens)	1692	9.3548	27.0498	10.3833
chr1	EviAnn	gene	9348212	9427137	.	+	.	LOC_00000084	geneID=LOC_00000084	protein_coding	function_unknown	297	0	29.4946	0
chr1	EviAnn	gene	9373606	9421494	.	+	.	LOC_00000082	geneID=LOC_00000082	protein_coding	function_unknown	669	56.8598	33.088	40.9629
chr1	EviAnn	gene	9434502	9447802	.	+	.	LOC_00000085	geneID=LOC_00000085	protein_coding	CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)	3144	115.419	172.695	158.054
chr1	EviAnn	gene	9478041	9498091	.	-	.	LOC_00000086	geneID=LOC_00000086	protein_coding	ATG14:_Beclin_1-associated_autophagy-related_key_regulator_(Homo_sapiens)	1140	14.6649	12.332	12.6078
chr1	EviAnn	gene	9499964	9511495	.	-	.	LOC_00000087	geneID=LOC_00000087	protein_coding	tbpl2:_TATA_box-binding_protein-like_2_(Xenopus_laevis)	927	0	10.2341	0
chr1	EviAnn	gene	9516850	9537815	.	-	.	LOC_00000088	geneID=LOC_00000088	protein_coding	ACTR10:_Actin-related_protein_10_(Bos_taurus)	760.5	0	0	0
chr1	EviAnn	gene	9672369	9838680	.	+	.	LOC_00000089	geneID=LOC_00000089	protein_coding	Slc35f4:_Solute_carrier_family_35_member_F4_(Mus_musculus)	1434	15.0141	0	0
chr1	EviAnn	gene	9844504	9863098	.	+	.	LOC_00000090	geneID=LOC_00000090	protein_coding	CCDC198:_Factor_associated_with_metabolism_and_energy_(Homo_sapiens)	894	0	0	0
chr1	EviAnn	gene	9867851	9908238	.	-	.	XLOC_001634U_lncRNA	geneID=XLOC_001634U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr1	EviAnn	gene	9870379	9892481	.	-	.	LOC_00000091	geneID=LOC_00000091	protein_coding	NAA30:_N-alpha-acetyltransferase_30_(Homo_sapiens)	879	6.68161	23.1853	11.5122
chr1	EviAnn	gene	9963297	9978964	.	-	.	LOC_00000092	geneID=LOC_00000092	protein_coding	AP5M1:_AP-5_complex_subunit_mu-1_(Homo_sapiens)	1461	0	3.16617	0
chr1	EviAnn	gene	9978474	10013989	.	+	.	LOC_00000093	geneID=LOC_00000093	protein_coding	EXOC5:_Exocyst_complex_component_5_(Homo_sapiens)	1975.5	0	0	2.63896
chr1	EviAnn	gene	10493483	10507227	.	+	.	LOC_00000094	geneID=LOC_00000094	protein_coding	Otx2:_Homeobox_protein_OTX2_(Mus_musculus)	897	0	0	0
chr1	EviAnn	gene	10608907	10756671	.	-	.	LOC_00000095	geneID=LOC_00000095	protein_coding	Tmem260:_Protein_O-mannosyl-transferase_TMEM260_(Mus_musculus)	1281	0	64.9584	9.19077
chr1	EviAnn	gene	10852434	10989612	.	-	.	LOC_00000096	geneID=LOC_00000096	protein_coding	PELI2:_E3_ubiquitin-protein_ligase_pellino_homolog_2_(Homo_sapiens)	1263	0	0	0
chr1	EviAnn	gene	11162119	11302291	.	-	.	LOC_00000097	geneID=LOC_00000097	protein_coding	KTN1:_Kinectin_(Gallus_gallus)	3550.5	0	4.62351	1.10018
chr1	EviAnn	gene	11162170	11301873	.	-	.	LOC_00000098	geneID=LOC_00000098	protein_coding	function_unknown	255	27355	30738.8	20239
chr1	EviAnn	gene	11327463	11363330	.	+	.	LOC_00000099	geneID=LOC_00000099	protein_coding	Psma3:_Proteasome_subunit_alpha_type-3_(Mus_musculus)	687	45.7426	23.9423	6.82967
chr1	EviAnn	gene	11363606	11443684	.	+	.	LOC_00000100	geneID=LOC_00000100	protein_coding	ARID4A:_AT-rich_interactive_domain-containing_protein_4A_(Homo_sapiens)	3437.88	37.7928	12.1756	12.1638
chr1	EviAnn	gene	11446637	11450730	.	+	.	LOC_00000101	geneID=LOC_00000101	protein_coding	function_unknown	558	996.515	771.919	929.182
chr1	EviAnn	gene	11448142	11454964	.	+	.	LOC_00000102	geneID=LOC_00000102	protein_coding	TOMM20L:_TOMM20-like_protein_1_(Homo_sapiens)	447	0	29.8728	44.1293
chr1	EviAnn	gene	11451761	11464310	.	-	.	LOC_00000103	geneID=LOC_00000103	protein_coding	Timm9:_Mitochondrial_import_inner_membrane_translocase_subunit_Tim9_(Rattus_norvegicus)	135	256.897	0	0
chr1	EviAnn	gene	11464308	11579132	.	+	.	LOC_00000104	geneID=LOC_00000104	protein_coding	TALPID3:_TALPID3_protein_(Gallus_gallus)	3768	0	4.51325	0
chr1	EviAnn	gene	11528419	11545885	.	-	.	LOC_00000105	geneID=LOC_00000105	protein_coding	function_unknown	363	356.023	608.278	187.132
chr1	EviAnn	gene	11643092	11645830	.	+	.	LOC_00000106	geneID=LOC_00000106	protein_coding	DACT1:_Dapper_homolog_1_(Homo_sapiens)	1344	0	10.4521	0
chr1	EviAnn	gene	12027608	12045169	.	-	.	LOC_00000107	geneID=LOC_00000107	protein_coding	KCNK16:_Potassium_channel_subfamily_K_member_16_(Homo_sapiens)	501	14.2304	35.6398	29.6367
chr1	EviAnn	gene	12177619	12177723	.	-	.	LOC_00000108	geneID=LOC_00000108	protein_coding	function_unknown	99	0	0	0
chr1	EviAnn	gene	12219145	12363161	.	+	.	LOC_00000109	geneID=LOC_00000109	protein_coding	DAAM2:_Disheveled-associated_activator_of_morphogenesis_2_(Homo_sapiens)	3231	0	0	0
chr1	EviAnn	gene	12390349	12423022	.	+	.	LOC_00000112	geneID=LOC_00000112	protein_coding	JKAMP:_JNK1/MAPK8-associated_membrane_protein_(Homo_sapiens)	1845	76.514	65.7883	211.465
chr1	EviAnn	gene	12391432	12406863	.	-	.	LOC_00000110	geneID=LOC_00000110	protein_coding	L3HYPDH:_Trans-3-hydroxy-L-proline_dehydratase_(Homo_sapiens)	1074.82	26.1975	33.6585	78.3309
chr1	EviAnn	gene	12391572	12405790	.	-	.	LOC_00000111	geneID=LOC_00000111	protein_coding	function_unknown	333	0	0	72.3842
chr1	EviAnn	gene	12417679	12494736	.	-	.	LOC_00000113	geneID=LOC_00000113	protein_coding	Ccdc175:_Coiled-coil_domain-containing_protein_175_(Mus_musculus)	2217	2.31947	9.95975	11.9296
chr1	EviAnn	gene	12500590	12687816	.	-	.	LOC_00000114	geneID=LOC_00000114	protein_coding	RTN1:_Reticulon-1_(Pan_troglodytes)	1508.4	0	0	0
chr1	EviAnn	gene	12713357	12806894	.	+	.	LOC_00000115	geneID=LOC_00000115	protein_coding	LRRC9:_Leucine-rich_repeat-containing_protein_9_(Homo_sapiens)	4515	0	0.93637	0
chr1	EviAnn	gene	12834541	12861121	.	+	.	LOC_00000116	geneID=LOC_00000116	protein_coding	pcnx4:_Pecanex-like_protein_4_(Xenopus_laevis)	2177.98	70.9349	58.8807	47.5821
chr1	EviAnn	gene	12859925	12898824	.	-	.	LOC_00000117	geneID=LOC_00000117	protein_coding	DHRS7:_Dehydrogenase/reductase_SDR_family_member_7_(Homo_sapiens)	1008	39.5924	34.2671	14.6008
chr1	EviAnn	gene	12899949	12902745	.	-	.	LOC_00000118	geneID=LOC_00000118	protein_coding	function_unknown	396	102.528	75.8148	53.8711
chr1	EviAnn	gene	12936873	12994195	.	+	.	LOC_00000119	geneID=LOC_00000119	protein_coding	PPM1A:_Protein_phosphatase_1A_(Bos_taurus)	1109.25	0	10.1955	0
chr1	EviAnn	gene	13152991	13166476	.	+	.	LOC_00000120	geneID=LOC_00000120	protein_coding	SIX6:_Homeobox_protein_SIX6_(Homo_sapiens)	750	0	56.8142	0
chr1	EviAnn	gene	13233630	13241986	.	-	.	LOC_00000121	geneID=LOC_00000121	protein_coding	SIX1:_Homeobox_protein_SIX1_(Lagothrix_lagotricha)	852	0	18.0861	0
chr1	EviAnn	gene	13296379	13320019	.	-	.	LOC_00000122	geneID=LOC_00000122	protein_coding	Six4:_Homeobox_protein_SIX4_(Mus_musculus)	1880	0	7.43187	0
chr1	EviAnn	gene	13326776	13495427	.	+	.	LOC_00000123	geneID=LOC_00000123	protein_coding	MNAT1:_CDK-activating_kinase_assembly_factor_MAT1_(Homo_sapiens)	798.375	0	0	31.4527
chr1	EviAnn	gene	13450115	13506981	.	-	.	LOC_00000125	geneID=LOC_00000125	protein_coding	TRMT5:_tRNA_(guanine(37)-N(1))-methyltransferase_(Bos_taurus)	1416	11.4229	13.1252	9.80845
chr1	EviAnn	gene	13463918	13506911	.	-	.	LOC_00000124	geneID=LOC_00000124	protein_coding	function_unknown	396	123.034	181.15	107.742
chr1	EviAnn	gene	13506809	13587676	.	+	.	LOC_00000126	geneID=LOC_00000126	protein_coding	Slc38a6:_Solute_carrier_family_38_member_6_(Rattus_norvegicus)	1563	17.0326	8.79873	20.4661
chr1	EviAnn	gene	13634755	13637267	.	+	.	XLOC_000054U_lncRNA	geneID=XLOC_000054U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr1	EviAnn	gene	13717847	13868823	.	+	.	LOC_00000127	geneID=LOC_00000127	protein_coding	PRKCH:_Protein_kinase_C_eta_type_(Homo_sapiens)	2049	0	4.34172	0
chr1	EviAnn	gene	13986936	14054955	.	+	.	LOC_00000128	geneID=LOC_00000128	protein_coding	HIF1A:_Hypoxia-inducible_factor_1-alpha_(Gallus_gallus)	1932	10.7765	11.1586	10.7325
chr1	EviAnn	gene	14063018	14094863	.	+	.	LOC_00000129	geneID=LOC_00000129	protein_coding	SNAPC1:_snRNA-activating_protein_complex_subunit_1_(Macaca_fascicularis)	1113	0	0	0
chr1	EviAnn	gene	14174319	14217696	.	+	.	LOC_00000130	geneID=LOC_00000130	protein_coding	SYT16:_Synaptotagmin-16_(Homo_sapiens)	1704.6	0	3.38809	0
chr1	EviAnn	gene	14583615	14905766	.	-	.	LOC_00000131	geneID=LOC_00000131	protein_coding	KCNH5:_Voltage-gated_delayed_rectifier_potassium_channel_KCNH5_(Homo_sapiens)	2970	0	1.45462	0
chr1	EviAnn	gene	14976431	15081960	.	+	.	LOC_00000132	geneID=LOC_00000132	protein_coding	RHOJ:_Rho-related_GTP-binding_protein_RhoJ_(Homo_sapiens)	633	0	0	0
chr1	EviAnn	gene	15095560	15100031	.	-	.	LOC_00000133	geneID=LOC_00000133	protein_coding	GPHB5:_Glycoprotein_hormone_beta-5_(Homo_sapiens)	393	0	0	0
chr1	EviAnn	gene	15133054	15240112	.	-	.	LOC_00000134	geneID=LOC_00000134	protein_coding	PPP2R5E:_Serine/threonine-protein_phosphatase_2A_56_kDa_regulatory_subunit_epsilon_isoform_(Homo_sapiens)	1327.5	0	0	0
chr1	EviAnn	gene	15210685	15236307	.	+	.	LOC_00000135	geneID=LOC_00000135	protein_coding	function_unknown	495	593.878	420.851	515.394
chr1	EviAnn	gene	15276402	15316257	.	-	.	LOC_00000137	geneID=LOC_00000137	protein_coding	gag:_Gag_polyprotein_(Fragment)_(Avian_spleen_necrosis_virus)	483	0	132.281	13.0456
chr1	EviAnn	gene	15277659	15278873	.	-	.	LOC_00000136	geneID=LOC_00000136	protein_coding	WDR89:_WD_repeat-containing_protein_89_(Bos_taurus)	1152	14.4862	8.34235	12.4533
