"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","SRR2889291","SRR2889292","SRR2889293","Fmean","value"
"NC_052532.1","BestRefSeq%2CGnomon","gene",1391668,1435859,".","-",".","gene-UBE2H","Name=UBE2H","protein_coding","Dbxref=CGNC:6039,GeneID:416678",552,11.4388,16.9306,19.324,15.8978,3.9907552284039
"NC_052532.1","BestRefSeq","gene",1437164,1445984,".","-",".","gene-ZC3HC1","Name=ZC3HC1","protein_coding","Dbxref=CGNC:6057,GeneID:416679",1455,2.20969,3.93381,5.05951,3.73433666666667,1.90085199865021
"NC_052532.1","Gnomon","gene",1446346,1461717,".","+",".","gene-KLHDC10","Name=KLHDC10","protein_coding","Dbxref=CGNC:53164,GeneID:427683",1182,6.88993,5.33951,6.96272,6.39738666666667,2.67748268433018
"NC_052532.1","Gnomon","gene",1471505,1483339,".","-",".","gene-TMEM209","Name=TMEM209","protein_coding","Dbxref=CGNC:50319,GeneID:416681",1683,1.75601,1.11665,1.64677,1.50647666666667,0.591178327665212
"NC_052532.1","BestRefSeq%2CGnomon","gene",1508573,1516897,".","-",".","gene-CEP41","Name=CEP41","protein_coding","Dbxref=CGNC:6138,GeneID:416684",921,0.498206,0.894644,0.755696,0.716182,-0.481601835426175
"NC_052532.1","Gnomon","gene",1517053,1522237,".","+",".","gene-MEST","Name=MEST","protein_coding","Dbxref=CGNC:6146,GeneID:427684",966.137,4.00108,5.83737,2.54325,4.12723333333333,2.04517500348355
"NC_052532.1","Gnomon","gene",1522137,1541139,".","-",".","gene-COPG2","Name=COPG2","protein_coding","Dbxref=CGNC:50322,GeneID:416685",2442.49,6.37699,7.3201,7.61481,7.10396666666667,2.82862481226973
"NC_052532.1","Gnomon","gene",1552251,1556861,".","+",".","gene-IL15RA","Name=IL15RA","protein_coding","Dbxref=CGNC:50323,GeneID:416686",642,0.779605,1.53952,0.789517,1.036214,0.0513219806849283
"NC_052532.1","BestRefSeq%2CGnomon","gene",1557871,1582322,".","-",".","gene-FBXO18","Name=FBXO18","protein_coding","Dbxref=CGNC:6188,GeneID:416687",3039,5.66046,6.39232,7.14732,6.40003333333333,2.67807941912974
"NC_052532.1","BestRefSeq%2CGnomon","gene",1582457,1598992,".","+",".","gene-ANKRD16","Name=ANKRD16","protein_coding","Dbxref=CGNC:6194,GeneID:416688",1119,4.56087,2.65463,3.80796,3.67448666666667,1.87754271656603
"NC_052532.1","BestRefSeq%2CGnomon","gene",1600031,1614891,".","+",".","gene-GDI1","Name=GDI1","protein_coding","Dbxref=CGNC:49512,GeneID:395854",1347,51.2264,48.4363,61.3258,53.6628333333333,5.74585132406716
"NC_052532.1","Gnomon","gene",1600984,1648496,".","-",".","gene-FAM208B","Name=FAM208B","protein_coding","Dbxref=CGNC:50324,GeneID:416689",7629,2.03296,2.78751,3.81646,2.87897666666667,1.52555609629256
"NC_052532.1","BestRefSeq%2CGnomon","gene",1649743,1666207,".","+",".","gene-ASB13","Name=ASB13","protein_coding","Dbxref=CGNC:6365,GeneID:416691",837,5.86895,7.86129,10.1772,7.96914666666667,2.99442524922469
"NC_052532.1","BestRefSeq%2CGnomon","gene",1675662,1727670,".","-",".","gene-NET1","Name=NET1","protein_coding","Dbxref=CGNC:6397,GeneID:416693",1627.17,8.98133,10.8118,8.83293,9.54202,3.25429471020302
"NC_052532.1","BestRefSeq","gene",1736945,1743451,".","+",".","gene-TUBAL3","Name=TUBAL3","protein_coding","Dbxref=CGNC:50327,GeneID:416694",1380,0.156282,0.309116,0.315769,0.260389,-1.94125959100996
"NC_052532.1","Gnomon","gene",1765103,1860279,".","-",".","gene-LOC416696","Name=LOC416696","protein_coding","Dbxref=CGNC:50329,GeneID:416696",7473,0.157691,0.104062,0.106062,0.122605,-3.02791027957714
"NC_052532.1","Gnomon","gene",1880051,1894790,".","+",".","gene-SLC35B4","Name=SLC35B4","protein_coding","Dbxref=CGNC:6418,GeneID:416698",996,3.63309,4.04012,4.36172,4.01164333333333,2.00419334470761
"NC_052532.1","BestRefSeq","gene",1959621,2369443,".","-",".","gene-EXOC4","Name=EXOC4","protein_coding","Dbxref=CGNC:6429,GeneID:416700",2847,8.13176,8.75269,9.35986,8.74810333333333,3.12897026172198
"NC_052532.1","Gnomon","gene",2187139,2191146,".","+",".","gene-LOC121109261","Name=LOC121109261","protein_coding","Dbxref=CGNC:89127,GeneID:121109261",1440,0.522026,0,0.301079,0.274368333333333,-1.86581411475887
"NC_052532.1","Gnomon","gene",2201044,2204145,".","+",".","gene-LOC101750035","Name=LOC101750035","protein_coding","Dbxref=CGNC:69491,GeneID:101750035",1440,0.521139,0,0.380768,0.300635666666667,-1.73391191773325
"NC_052532.1","Gnomon","gene",2209308,2217099,".","+",".","gene-LOC101749355","Name=LOC101749355","protein_coding","Dbxref=CGNC:68827,GeneID:101749355",1299,0,0.165424,0.169016,0.11148,-3.165143187333
"NC_052532.1","Gnomon","gene",2511431,2721092,".","+",".","gene-CHCHD3","Name=CHCHD3","protein_coding","Dbxref=CGNC:4892,GeneID:418435",711.8,47.8157,55.3304,49.4741,50.8734,5.66883961132543
"NC_052532.1","Gnomon","gene",2555652,2556957,".","-",".","gene-LOC121109715","Name=LOC121109715","protein_coding","Dbxref=CGNC:89581,GeneID:121109715",621,0.407106,0.401904,0,0.26967,-1.89073305999746
"NC_052532.1","Gnomon","gene",2594898,2596684,".","-",".","gene-LOC107054320","Name=LOC107054320","protein_coding","Dbxref=CGNC:77298,GeneID:107054320",624,0,0.39938,0.409747,0.269709,-1.89052443078983
"NC_052532.1","Gnomon","gene",2783385,2786052,".","-",".","gene-LOC121109412","Name=LOC121109412","protein_coding","Dbxref=CGNC:89278,GeneID:121109412",903,0.906778,0,0,0.302259333333333,-1.72614120637799
"NC_052532.1","Gnomon","gene",2830517,3284954,".","+",".","gene-PLXNA4","Name=PLXNA4","protein_coding","Dbxref=CGNC:4879,GeneID:427941",5313.05,30.4892,26.3041,42.4854,33.0929,5.04844981845969
"NC_052532.1","BestRefSeq%2CGnomon","gene",3637221,3677378,".","+",".","gene-PODXL","Name=PODXL","protein_coding","Dbxref=CGNC:49459,GeneID:395755",1716,6.87619,5.47381,7.93629,6.76209666666667,2.75747064023658
"NC_052532.1","BestRefSeq%2CGnomon","gene",3685581,3784871,".","-",".","gene-MKLN1","Name=MKLN1","protein_coding","Dbxref=CGNC:4784,GeneID:418250",2202,5.43651,4.26601,5.29941,5.00064333333333,2.32211370970833
"NC_052532.1","BestRefSeq%2CGnomon","gene",4008646,4020411,".","+",".","gene-K123","Name=K123","protein_coding","Dbxref=CGNC:49525,GeneID:395873",831,2.25543,1.11429,0.855576,1.408432,0.494089911152683
"NC_052532.1","Gnomon","gene",4060981,4127133,".","+",".","gene-PFKFB3","Name=PFKFB3","protein_coding","Dbxref=CGNC:4755,GeneID:418247",1476,0.579932,1.86413,1.90388,1.449314,0.535370194733653
"NC_052532.1","Gnomon","gene",4060981,4073646,".","+",".","gene-RBM17","Name=RBM17","protein_coding","Dbxref=CGNC:4762,GeneID:418248",1206,13.2852,12.2412,16.1785,13.9016333333333,3.79718249319336
"NC_052532.1","Gnomon","gene",4208579,4263385,".","-",".","gene-PRKCQ","Name=PRKCQ","protein_coding","Dbxref=CGNC:57974,GeneID:776459",2145,0.578452,0.763079,0.389345,0.576958666666667,-0.793460127023485
"NC_052532.1","Gnomon","gene",4467485,4583186,".","-",".","gene-SFMBT2","Name=SFMBT2","protein_coding","Dbxref=CGNC:7051,GeneID:425485",2682,2.58319,2.78167,3.29772,2.88752666666667,1.52983427005774
"NC_052532.1","BestRefSeq%2CGnomon","gene",4737265,4767481,".","+",".","gene-LOC419112","Name=LOC419112","protein_coding","Dbxref=CGNC:66335,GeneID:419112",803,0,0.352826,0,0.117608666666667,-3.08793371756751
"NC_052532.1","Gnomon","gene",4769260,4816728,".","-",".","gene-ITIH5","Name=ITIH5","protein_coding","Dbxref=CGNC:5201,GeneID:419111",2862,2.76654,2.66824,4.94045,3.45841,1.79010891290832
"NC_052532.1","BestRefSeq%2CGnomon","gene",4823798,4848977,".","+",".","gene-ITIH2","Name=ITIH2","protein_coding","Dbxref=CGNC:5157,GeneID:419110",2847,641.197,901.347,695.708,746.084,9.54319425934521
"NC_052532.1","Gnomon","gene",4850472,4865306,".","-",".","gene-KIN","Name=KIN","protein_coding","Dbxref=CGNC:5108,GeneID:419109",1170,1.69561,1.49024,2.27805,1.8213,0.864968579022461
"NC_052532.1","BestRefSeq%2CGnomon","gene",4865363,4872155,".","+",".","gene-ATP5C1","Name=ATP5C1","protein_coding","Dbxref=CGNC:5096,GeneID:419108",842.18,169.485,198.947,188.008,185.48,7.5351198215998
"NC_052532.1","BestRefSeq%2CGnomon","gene",4874712,4988615,".","+",".","gene-TAF3","Name=TAF3","protein_coding","Dbxref=CGNC:5084,GeneID:419107",2793,5.3135,6.55443,9.18376,7.01723,2.81090164963131
"NC_052532.1","BestRefSeq%2CGnomon","gene",5010557,5039662,".","+",".","gene-GATA3","Name=GATA3","protein_coding","Dbxref=CGNC:5080,GeneID:419106",1146,0.192933,0.190755,0.328594,0.237427333333333,-2.07444206304779
"NC_052532.1","BestRefSeq","gene",6366812,6562688,".","+",".","gene-CELF2","Name=CELF2","protein_coding","Dbxref=CGNC:49047,GeneID:374111",1467,1.02181,0.721861,0.294906,0.679525666666667,-0.557400050188464
"NC_052532.1","BestRefSeq%2CGnomon","gene",6621627,6732265,".","-",".","gene-USP6NL","Name=USP6NL","protein_coding","Dbxref=CGNC:50919,GeneID:419104",2526,1.05249,1.12154,2.1249,1.43297666666667,0.519015118212512
"NC_052532.1","BestRefSeq","gene",6752074,6756798,".","+",".","gene-ECHDC3","Name=ECHDC3","protein_coding","Dbxref=CGNC:5051,GeneID:419098",873,51.2603,55.9051,48.3518,51.8390666666667,5.69596783842832
"NC_052532.1","Gnomon","gene",6774546,6799359,".","+",".","gene-PROSER2","Name=PROSER2","protein_coding","Dbxref=CGNC:5059,GeneID:419101",1410,3.81417,3.77218,6.78148,4.78927666666667,2.25980777950769
"NC_052532.1","Gnomon","gene",6805166,6855424,".","-",".","gene-UPF2","Name=UPF2","protein_coding","Dbxref=CGNC:5054,GeneID:419100",3819,2.62216,3.16605,3.91636,3.23485666666667,1.69370178922849
"NC_052532.1","Gnomon","gene",6864852,6881758,".","+",".","gene-DHTKD1","Name=DHTKD1","protein_coding","Dbxref=CGNC:2685,GeneID:426076",2769,45.5416,81.0448,54.2729,60.2864333333333,5.91376147404705
"NC_052532.1","BestRefSeq%2CGnomon","gene",6888413,6904045,".","+",".","gene-SEC61A2","Name=SEC61A2","protein_coding","Dbxref=CGNC:10485,GeneID:426369",1469.32,3.93434,6.67888,5.30591,5.30637666666667,2.40772708714685
"NC_052532.1","BestRefSeq","gene",6904751,6916347,".","-",".","gene-NUDT5","Name=NUDT5","protein_coding","Dbxref=CGNC:52764,GeneID:426368",663,221.353,272.121,307.802,267.092,8.06119295446668
"NC_052532.1","Gnomon","gene",6916395,6954045,".","+",".","gene-CDC123","Name=CDC123","protein_coding","Dbxref=CGNC:10487,GeneID:426366",1008,5.37357,6.41838,9.31461,7.03552,2.81465705796026
"NC_052532.1","Gnomon","gene",6978363,7205166,".","+",".","gene-CAMK1D","Name=CAMK1D","protein_coding","Dbxref=CGNC:52484,GeneID:425522",1004.59,7.41808,3.74545,9.74474,6.96942333333333,2.80103928901217
"NC_052532.1","Gnomon","gene",7213796,7255281,".","-",".","gene-CCDC3","Name=CCDC3","protein_coding","Dbxref=CGNC:13134,GeneID:769832",864,0.537872,0.265758,0.272008,0.358546,-1.47976987215381
"NC_052532.1","BestRefSeq%2CGnomon","gene",7280547,7300290,".","+",".","gene-OPTN","Name=OPTN","protein_coding","Dbxref=CGNC:10284,GeneID:374079",1669.36,12.2757,7.62798,13.2802,11.0612933333333,3.46744817634591
"NC_052532.1","Gnomon","gene",7303803,7320191,".","+",".","gene-MCM10","Name=MCM10","protein_coding","Dbxref=CGNC:53688,GeneID:429525",2610,0.312793,0.50078,0.710423,0.507998666666667,-0.977103384496048
"NC_052532.1","Gnomon","gene",7323426,7335163,".","-",".","gene-PHYH","Name=PHYH","protein_coding","Dbxref=CGNC:10813,GeneID:426601",1020,43.9426,49.7683,47.7713,47.1607333333333,5.55951424679574
"NC_052532.1","BestRefSeq%2CGnomon","gene",7342745,7366627,".","-",".","gene-SEPHS1","Name=SEPHS1","protein_coding","Dbxref=CGNC:10819,GeneID:426612",1179,19.2359,21.9741,24.9124,22.0408,4.46210468427223
"NC_052532.1","BestRefSeq%2CGnomon","gene",7379569,7427704,".","-",".","gene-BEND7","Name=BEND7","protein_coding","Dbxref=CGNC:5047,GeneID:419037",1293,3.6995,4.8224,6.28644,4.93611333333333,2.30337551919578
"NC_052532.1","Gnomon","gene",7439503,7456716,".","+",".","gene-PRPF18","Name=PRPF18","protein_coding","Dbxref=CGNC:5036,GeneID:419036",1029,5.68258,5.83348,9.91006,7.14204,2.83633621396319
"NC_052532.1","Gnomon","gene",7458558,7816662,".","-",".","gene-FRMD4A","Name=FRMD4A","protein_coding","Dbxref=CGNC:50902,GeneID:419035",2963.78,3.82887,3.2501,6.12485,4.40127333333333,2.13792097055079
"NC_052532.1","Gnomon","gene",7880753,7943918,".","-",".","gene-FAM107B","Name=FAM107B","protein_coding","Dbxref=CGNC:10491,GeneID:426376",443.936,1.95203,0.391995,1.18208,1.17536833333333,0.233112935004394
"NC_052532.1","BestRefSeq","gene",8026709,8037636,".","+",".","gene-HSPA14","Name=HSPA14","protein_coding","Dbxref=CGNC:5014,GeneID:418802",1518,3.3729,3.19705,3.40692,3.32562333333333,1.73362477538855
"NC_052532.1","BestRefSeq","gene",8039132,8048882,".","+",".","gene-SUV39H2","Name=SUV39H2","protein_coding","Dbxref=CGNC:52742,GeneID:426314",1224,3.39995,3.18495,1.26575,2.61688333333333,1.38784960716268
"NC_052532.1","BestRefSeq%2CGnomon","gene",8049148,8059758,".","-",".","gene-DCLRE1C","Name=DCLRE1C","protein_coding","Dbxref=CGNC:10415,GeneID:430764",2145,0.67486,0.581733,0.237541,0.498044666666667,-1.00565296004628
"NC_052532.1","Gnomon","gene",8076832,8083888,".","+",".","gene-TMEM243","Name=TMEM243","protein_coding","Dbxref=CGNC:5004,GeneID:418647",288,2.74934,3.62504,5.6262,4.00019333333333,2.00006972857522
"NC_052532.1","BestRefSeq%2CGnomon","gene",8083881,8112305,".","-",".","gene-DMTF1","Name=DMTF1","protein_coding","Dbxref=CGNC:50816,GeneID:418646",1936.23,3.66062,3.9548,4.10383,3.90641666666667,1.96584583833736
"NC_052532.1","Gnomon","gene",8110215,8112690,".","-",".","gene-LOC121108084","Name=LOC121108084","protein_coding","Dbxref=CGNC:87962,GeneID:121108084",627,0.402006,0,0,0.134002,-2.8996735616032
"NC_052532.1","Gnomon","gene",8146271,8239574,".","+",".","gene-ELAPOR2","Name=ELAPOR2","protein_coding","Dbxref=CGNC:4983,GeneID:418645",2943,0.757692,1.02244,0.764764,0.848298666666667,-0.237355800549849
"NC_052532.1","BestRefSeq%2CGnomon","gene",8899181,9041982,".","+",".","gene-SEMA3D","Name=SEMA3D","protein_coding","Dbxref=CGNC:4949,GeneID:396332",2286,2.25125,1.9629,1.82077,2.01164,1.00837214575736
"NC_052532.1","BestRefSeq%2CGnomon","gene",9286630,9576166,".","+",".","gene-SEMA3A","Name=SEMA3A","protein_coding","Dbxref=CGNC:4946,GeneID:395825",2319,0.354724,0.614208,1.43243,0.800454,-0.32110959767828
"NC_052532.1","BestRefSeq%2CGnomon","gene",10427697,10787262,".","+",".","gene-CACNA2D1","Name=CACNA2D1","protein_coding","Dbxref=CGNC:6436,GeneID:768444",3234,0.249541,0,0.18889,0.146143666666667,-2.77454078552836
